epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.586,0.4905,0.99203,1,0.03514,0.00041336,0.00041336,0.00041336
2,23.9279,0.1105,0.89641,1,0.26802,0.000821809,0.000821809,0.000821809
3,32.2465,0.09658,0.9761,1,0.07116,0.00122201,0.00122201,0.00122201
4,40.4295,0.08477,0.95219,1,0.13176,0.00121287,0.00121287,0.00121287
5,48.6191,0.10548,0.98008,1,0.05966,0.0012005,0.0012005,0.0012005
6,56.7825,0.10702,0.98805,1,0.03005,0.00118812,0.00118812,0.00118812
7,64.9445,0.06829,0.98805,1,0.04053,0.00117575,0.00117575,0.00117575
8,73.1072,0.06644,0.98406,1,0.03799,0.00116337,0.00116337,0.00116337
9,81.2745,0.0372,0.97211,1,0.08297,0.001151,0.001151,0.001151
10,89.5396,0.07261,0.99602,1,0.00886,0.00113863,0.00113863,0.00113863
11,97.7903,0.03409,0.99602,1,0.00373,0.00112625,0.00112625,0.00112625
12,106.005,0.02644,1,1,0.00475,0.00111388,0.00111388,0.00111388
13,114.246,0.03506,1,1,0.00458,0.0011015,0.0011015,0.0011015
14,122.496,0.02431,1,1,0.00032,0.00108913,0.00108913,0.00108913
15,130.739,0.01737,0.99602,1,0.0037,0.00107675,0.00107675,0.00107675
16,138.991,0.01819,0.99602,1,0.0115,0.00106437,0.00106437,0.00106437
17,147.241,0.01822,0.99203,1,0.01478,0.001052,0.001052,0.001052
18,155.489,0.02335,0.99602,1,0.0094,0.00103962,0.00103962,0.00103962
19,163.693,0.03224,1,1,0.00386,0.00102725,0.00102725,0.00102725
20,171.959,0.0299,1,1,0.00227,0.00101488,0.00101488,0.00101488
21,180.204,0.02075,1,1,0.00191,0.0010025,0.0010025,0.0010025
22,188.431,0.01532,1,1,0.00023,0.000990125,0.000990125,0.000990125
23,196.653,0.01427,1,1,0.00076,0.00097775,0.00097775,0.00097775
24,204.826,0.02781,1,1,0.00195,0.000965375,0.000965375,0.000965375
25,212.999,0.02308,1,1,0.00263,0.000953,0.000953,0.000953
26,221.279,0.02885,1,1,0.00261,0.000940625,0.000940625,0.000940625
27,229.582,0.02445,1,1,0.0007,0.00092825,0.00092825,0.00092825
28,237.835,0.01879,1,1,0.00114,0.000915875,0.000915875,0.000915875
29,246.043,0.00684,1,1,0.00144,0.0009035,0.0009035,0.0009035
30,254.312,0.00713,1,1,0.00069,0.000891125,0.000891125,0.000891125
