epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.9854,0.60575,0.97633,1,0.11511,0.000368155,0.000368155,0.000368155
2,30.4102,0.13937,0.93787,1,0.12238,0.000731177,0.000731177,0.000731177
3,41.5766,0.12708,0.97337,1,0.08816,0.00108687,0.00108687,0.00108687
4,52.7383,0.15389,0.97041,1,0.07257,0.001078,0.001078,0.001078
5,63.7396,0.13469,0.98521,1,0.03694,0.001067,0.001067,0.001067
6,74.8692,0.09342,0.99112,1,0.02412,0.00105601,0.00105601,0.00105601
7,85.9524,0.07695,0.99408,1,0.01684,0.00104501,0.00104501,0.00104501
8,97.0573,0.05278,0.99112,1,0.02837,0.00103401,0.00103401,0.00103401
9,108.123,0.05003,0.99408,1,0.01098,0.00102301,0.00102301,0.00102301
10,119.252,0.05294,0.99704,1,0.01718,0.00101201,0.00101201,0.00101201
11,130.326,0.04196,0.99704,1,0.00743,0.00100101,0.00100101,0.00100101
12,141.523,0.0315,0.99704,1,0.0052,0.000990012,0.000990012,0.000990012
13,152.584,0.05244,1,1,0.001,0.000979013,0.000979013,0.000979013
14,163.855,0.02431,1,1,0.00017,0.000968014,0.000968014,0.000968014
15,175.078,0.03015,0.99408,1,0.01229,0.000957015,0.000957015,0.000957015
16,186.321,0.02596,1,1,0.00136,0.000946016,0.000946016,0.000946016
17,197.515,0.04905,0.99112,1,0.01563,0.000935018,0.000935018,0.000935018
18,208.758,0.05996,0.99112,1,0.03101,0.000924019,0.000924019,0.000924019
19,219.948,0.03125,1,1,0.00223,0.00091302,0.00091302,0.00091302
20,231.272,0.02799,1,1,0.00192,0.000902021,0.000902021,0.000902021
21,242.576,0.02725,0.99408,1,0.03783,0.000891022,0.000891022,0.000891022
22,253.983,0.02284,1,1,0.00061,0.000880023,0.000880023,0.000880023
23,265.276,0.01819,1,1,0.00167,0.000869024,0.000869024,0.000869024
24,276.701,0.01547,1,1,0.00081,0.000858025,0.000858025,0.000858025
25,288.023,0.01668,1,1,0.00191,0.000847026,0.000847026,0.000847026
26,299.301,0.02162,1,1,0.00247,0.000836027,0.000836027,0.000836027
27,310.707,0.00851,1,1,9e-05,0.000825029,0.000825029,0.000825029
28,322.105,0.03409,1,1,1e-05,0.00081403,0.00081403,0.00081403
29,333.358,0.01489,1,1,0.00067,0.000803031,0.000803031,0.000803031
30,344.646,0.02453,1,1,0.00033,0.000792032,0.000792032,0.000792032
31,356.012,0.0193,1,1,9e-05,0.000781033,0.000781033,0.000781033
32,367.433,0.01568,1,1,7e-05,0.000770034,0.000770034,0.000770034
33,378.972,0.01686,1,1,0.0002,0.000759035,0.000759035,0.000759035
34,390.51,0.01076,1,1,0.00261,0.000748036,0.000748036,0.000748036
35,402.049,0.01628,0.99704,1,0.00827,0.000737037,0.000737037,0.000737037
36,413.452,0.01686,0.99704,1,0.00364,0.000726038,0.000726038,0.000726038
37,424.998,0.02306,1,1,0.00079,0.00071504,0.00071504,0.00071504
38,436.749,0.01359,1,1,3e-05,0.000704041,0.000704041,0.000704041
39,448.486,0.03802,1,1,0.00039,0.000693042,0.000693042,0.000693042
40,460.016,0.01022,1,1,0.00043,0.000682043,0.000682043,0.000682043
41,471.67,0.007,1,1,0.00012,0.000671044,0.000671044,0.000671044
42,483.373,0.01097,1,1,9e-05,0.000660045,0.000660045,0.000660045
43,494.94,0.00664,1,1,1e-05,0.000649046,0.000649046,0.000649046
44,506.63,0.00249,1,1,0,0.000638047,0.000638047,0.000638047
45,518.424,0.0111,1,1,6e-05,0.000627048,0.000627048,0.000627048
46,530.013,0.00741,1,1,0.00197,0.000616049,0.000616049,0.000616049
47,541.648,0.00671,1,1,5e-05,0.000605051,0.000605051,0.000605051
48,553.344,0.00909,1,1,2e-05,0.000594052,0.000594052,0.000594052
49,564.867,0.00672,1,1,3e-05,0.000583053,0.000583053,0.000583053
50,576.51,0.00937,1,1,3e-05,0.000572054,0.000572054,0.000572054
51,588.109,0.01318,1,1,9e-05,0.000561055,0.000561055,0.000561055
52,600.054,0.00603,1,1,0.0001,0.000550056,0.000550056,0.000550056
53,612.027,0.0041,1,1,3e-05,0.000539057,0.000539057,0.000539057
