epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,38.3027,0.9581,0.71786,1,0.68327,0.000413732,0.000413732,0.000413732
2,62.5952,0.64229,0.66786,1,0.89166,0.00074819,0.00074819,0.00074819
3,87.3871,0.46021,0.76429,1,0.72282,0.00100015,0.00100015,0.00100015
4,113.922,0.47006,0.93571,1,0.19545,0.00087875,0.00087875,0.00087875
5,139.789,0.39321,0.94286,1,0.16355,0.000755,0.000755,0.000755
6,164.412,0.3154,0.95714,1,0.10374,0.00063125,0.00063125,0.00063125
7,190.009,0.25085,0.97143,1,0.0835,0.0005075,0.0005075,0.0005075
8,216.591,0.25782,0.96071,1,0.10026,0.00038375,0.00038375,0.00038375
9,240.718,0.22674,0.98929,1,0.04361,0.00026,0.00026,0.00026
10,266.962,0.20435,0.98571,1,0.04003,0.00013625,0.00013625,0.00013625
