epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5046,0.87087,5.18121,0.01564,0.62546,0.68715,0.68752,0.55219,0.7469,6.84899,0.02155,0.00041336,0.00041336,0.00041336
2,54.0243,0.91014,3.17014,0.01674,0.77655,0.7945,0.83887,0.66081,0.85175,3.80603,0.02562,0.000821809,0.000821809,0.000821809
3,72.389,0.91223,1.94159,0.01697,0.78752,0.74707,0.84589,0.66951,0.83312,2.27163,0.02467,0.00122201,0.00122201,0.00122201
4,90.767,0.93061,1.32317,0.01737,0.77926,0.8179,0.85491,0.62292,1.01688,1.53679,0.03376,0.00121287,0.00121287,0.00121287
5,108.807,0.90156,0.99155,0.01671,0.93649,0.90723,0.97348,0.77911,0.72992,0.86577,0.02187,0.0012005,0.0012005,0.0012005
6,127.146,0.871,0.79179,0.01581,0.90101,0.93888,0.97698,0.76599,0.84021,0.71939,0.02579,0.00118812,0.00118812,0.00118812
7,149.633,0.85333,0.70216,0.0157,0.8379,0.8764,0.91855,0.73262,0.77946,0.67749,0.024,0.00117575,0.00117575,0.00117575
8,169.964,0.85741,0.648,0.01558,0.91516,0.93922,0.97449,0.81168,0.64677,0.49252,0.01831,0.00116337,0.00116337,0.00116337
9,187.976,0.8224,0.57204,0.01484,0.95627,0.92136,0.98274,0.81823,0.6771,0.44111,0.01933,0.001151,0.001151,0.001151
10,205.626,0.83681,0.58455,0.01571,0.92221,0.95524,0.98434,0.79676,0.7242,0.47501,0.02158,0.00113863,0.00113863,0.00113863
11,223.605,0.82871,0.54114,0.01519,0.97143,0.9323,0.98796,0.82168,0.68523,0.34991,0.01954,0.00112625,0.00112625,0.00112625
12,241.416,0.82485,0.50479,0.0152,0.964,0.95398,0.98895,0.82283,0.62703,0.30458,0.01755,0.00111388,0.00111388,0.00111388
13,259.383,0.7938,0.46982,0.01451,0.95325,0.98791,0.99167,0.81451,0.67621,0.29007,0.02005,0.0011015,0.0011015,0.0011015
14,277.657,0.80513,0.47759,0.01446,0.92973,0.92671,0.9771,0.81197,0.63067,0.35638,0.01824,0.00108913,0.00108913,0.00108913
15,295.728,0.78717,0.45666,0.01413,0.95448,0.97133,0.98929,0.82207,0.66417,0.29949,0.01938,0.00107675,0.00107675,0.00107675
16,313.907,0.76565,0.43324,0.01385,0.94778,0.96374,0.98805,0.81773,0.65336,0.29578,0.01863,0.00106437,0.00106437,0.00106437
17,332.317,0.76603,0.41594,0.01378,0.96323,0.96451,0.99077,0.82381,0.6445,0.29155,0.01868,0.001052,0.001052,0.001052
18,350.278,0.73459,0.38774,0.01309,0.92234,0.97179,0.98746,0.82872,0.58,0.27784,0.01697,0.00103962,0.00103962,0.00103962
19,368.386,0.73884,0.39741,0.01334,0.98225,0.96428,0.99362,0.83114,0.64098,0.24615,0.0183,0.00102725,0.00102725,0.00102725
20,386.512,0.75599,0.40192,0.01347,0.9406,0.95861,0.99115,0.81696,0.63078,0.31421,0.01832,0.00101488,0.00101488,0.00101488
21,404.862,0.74209,0.39988,0.01314,0.97439,0.97567,0.99199,0.82223,0.62772,0.23536,0.01862,0.0010025,0.0010025,0.0010025
22,423.347,0.73798,0.36968,0.01344,0.98,0.95169,0.99169,0.8362,0.60343,0.25217,0.01709,0.000990125,0.000990125,0.000990125
23,441.859,0.72954,0.37289,0.01291,0.90807,0.88461,0.9181,0.77571,0.60961,0.43535,0.01786,0.00097775,0.00097775,0.00097775
24,459.915,0.71684,0.37044,0.01264,0.98142,0.9421,0.9922,0.84233,0.5657,0.23,0.0163,0.000965375,0.000965375,0.000965375
25,478.12,0.70594,0.36501,0.01242,0.96771,0.98121,0.99319,0.8364,0.5831,0.23711,0.0171,0.000953,0.000953,0.000953
26,496.638,0.7201,0.34799,0.01291,0.90723,0.87381,0.96,0.81899,0.57676,0.40879,0.01653,0.000940625,0.000940625,0.000940625
27,514.648,0.70521,0.35766,0.01264,0.98594,0.98367,0.99425,0.8634,0.552,0.19959,0.01553,0.00092825,0.00092825,0.00092825
28,532.657,0.70656,0.3397,0.0126,0.98953,0.9665,0.99401,0.85574,0.55502,0.20886,0.01646,0.000915875,0.000915875,0.000915875
29,550.823,0.69149,0.33616,0.01238,0.98723,0.96094,0.99433,0.85358,0.56499,0.2083,0.01623,0.0009035,0.0009035,0.0009035
