epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.783,0.75318,9.90436,0.01818,0.60638,0.54102,0.59853,0.50619,0.58872,4.18744,0.01507,0.000469624,0.000469624,0.000469624
2,28.1687,0.79034,6.82384,0.0198,0.80177,0.84653,0.9043,0.76055,0.68782,2.29008,0.01861,0.000852308,0.000852308,0.000852308
3,36.5746,0.7893,4.54347,0.01973,0.75675,0.82317,0.87278,0.70297,0.74764,0.9451,0.02051,0.00114068,0.00114068,0.00114068
4,44.842,0.75156,2.98028,0.0183,0.79695,0.86449,0.93135,0.74383,0.79061,0.51288,0.02226,0.00100459,0.00100459,0.00100459
5,53.1261,0.69408,1.98519,0.01658,0.94015,0.87086,0.97147,0.82579,0.66069,0.41846,0.01737,0.000863116,0.000863116,0.000863116
6,61.4496,0.68507,1.42405,0.01647,0.94952,0.89622,0.97444,0.85018,0.58075,0.30043,0.0149,0.000721645,0.000721645,0.000721645
7,69.7724,0.59654,1.08941,0.01443,0.91529,0.89709,0.97642,0.86365,0.52709,0.28278,0.01348,0.000580174,0.000580174,0.000580174
8,78.131,0.53391,0.89357,0.0124,0.95284,0.88344,0.96869,0.83535,0.56583,0.29689,0.0154,0.000438703,0.000438703,0.000438703
9,86.5523,0.53672,0.79802,0.01225,0.93158,0.98807,0.98687,0.87414,0.50018,0.26098,0.01315,0.000297232,0.000297232,0.000297232
10,94.8832,0.48606,0.72755,0.01117,0.91374,0.95949,0.98647,0.8882,0.47746,0.2465,0.01167,0.000155761,0.000155761,0.000155761
