epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,664.752,0.78948,9.95393,0.01847,0.00384,0.97992,0.61235,0.46611,0.74645,8.43487,0.02043,0.000469624,0.000469624,0.000469624
2,1325.35,0.84018,6.81579,0.02078,0.76127,0.79492,0.89844,0.69998,0.84705,4.81006,0.02425,0.000852308,0.000852308,0.000852308
3,1962.08,0.79813,4.45195,0.01927,0.82015,0.84683,0.9311,0.76121,0.78427,2.95671,0.02101,0.00114068,0.00114068,0.00114068
4,2581.11,0.77341,2.86606,0.0187,0.79026,0.84191,0.93633,0.78863,0.75963,1.93183,0.01922,0.00100459,0.00100459,0.00100459
5,3210.48,0.70126,1.90245,0.01703,0.83242,0.92341,0.95576,0.81478,0.63806,1.25072,0.01674,0.000863116,0.000863116,0.000863116
6,3844.37,0.66058,1.38189,0.01633,0.89204,0.93848,0.97294,0.81421,0.65429,1.02036,0.0174,0.000721645,0.000721645,0.000721645
7,4463.32,0.60305,1.04591,0.01466,0.94667,0.97027,0.98896,0.86001,0.55965,0.76815,0.01453,0.000580174,0.000580174,0.000580174
8,5097.13,0.55475,0.86058,0.01313,0.9074,0.96556,0.98236,0.87536,0.51156,0.64444,0.01277,0.000438703,0.000438703,0.000438703
9,5726.62,0.50654,0.75865,0.01184,0.98551,0.95489,0.99167,0.86804,0.54678,0.59956,0.01424,0.000297232,0.000297232,0.000297232
10,6349.33,0.48971,0.68696,0.01145,0.98943,0.9486,0.9914,0.89395,0.507,0.57243,0.01291,0.000155761,0.000155761,0.000155761
