epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,48.8165,1.1611,11.0894,0.63457,5.54195,0.02352,17.5249,0.47529,0.66055,0.62356,0.46111,1e-05,0.00245,0,0,1.02333,9.31519,0.53985,6.37658,0.03094,0,0.00041336,0.00041336,0.00041336
2,85.5993,1.18158,9.68384,0.51897,3.41652,0.02321,8.52216,0.61205,0.71927,0.73439,0.49289,0.01268,0.01114,0.00063,7e-05,1.21311,7.96846,0.43949,4.09687,0.03775,0,0.000821809,0.000821809,0.000821809
3,120.728,1.18701,9.12222,0.4786,2.31529,0.0236,7.08026,0.62889,0.73301,0.73805,0.47639,0.28162,0.02652,0.01174,0.0014,1.34324,7.86562,0.4462,2.79591,0.04193,0,0.00122201,0.00122201,0.00122201
4,154.484,1.21636,8.81456,0.44087,1.7382,0.02457,6.56847,0.78936,0.83954,0.86951,0.61254,0.20214,0.1967,0.12827,0.02141,1.10219,6.80643,0.41635,1.84727,0.03369,0,0.00121287,0.00121287,0.00121287
5,188.106,1.16833,8.39393,0.39642,1.32603,0.02294,5.85507,0.78652,0.89242,0.89366,0.61391,0.17213,0.15181,0.09542,0.01518,1.11361,6.5169,0.37726,1.29616,0.03489,0,0.0012005,0.0012005,0.0012005
6,222.055,1.11185,8.0884,0.36956,1.05215,0.0212,5.39873,0.81032,0.86908,0.89695,0.64395,0.24498,0.22282,0.14645,0.02504,1.0367,6.35513,0.3165,1.02531,0.03098,0,0.00118812,0.00118812,0.00118812
7,256.714,1.13875,7.82406,0.3627,0.97019,0.02221,5.16046,0.76266,0.8844,0.90686,0.66145,0.2776,0.20566,0.1258,0.01694,1.00396,6.24963,0.33184,0.91047,0.03041,0,0.00117575,0.00117575,0.00117575
8,290.414,1.08414,7.67514,0.34694,0.85401,0.02067,4.84411,0.84704,0.89156,0.93235,0.68254,0.13618,0.14436,0.06324,0.00879,0.97516,6.36273,0.31908,0.71242,0.02921,0,0.00116337,0.00116337,0.00116337
9,323.92,1.06052,7.54491,0.33863,0.74939,0.02029,4.6557,0.87333,0.91797,0.95629,0.69736,0.36784,0.31801,0.26154,0.05527,0.99432,5.38854,0.32012,0.62563,0.03006,0,0.001151,0.001151,0.001151
10,357.514,1.08119,7.42208,0.33576,0.73226,0.02124,4.62487,0.87943,0.90056,0.95469,0.70655,0.30938,0.2803,0.21462,0.03791,0.94652,5.5026,0.31059,0.57634,0.02831,0,0.00113863,0.00113863,0.00113863
11,391.006,1.0355,7.21362,0.31535,0.68729,0.01986,4.34626,0.90063,0.94155,0.97368,0.69842,0.24166,0.24736,0.16954,0.0342,1.03981,5.94274,0.32053,0.54265,0.03214,0,0.00112625,0.00112625,0.00112625
12,426.433,1.05517,7.23991,0.31482,0.64878,0.02045,4.31478,0.88213,0.92247,0.95534,0.67945,0.38672,0.34697,0.29008,0.06704,1.06764,5.25911,0.3041,0.54237,0.03315,0,0.00111388,0.00111388,0.00111388
13,461.779,1.02706,7.02388,0.3037,0.61801,0.01982,4.03371,0.93643,0.94122,0.98656,0.77077,0.39785,0.37023,0.30747,0.07208,0.79172,5.32875,0.30121,0.41095,0.02311,0,0.0011015,0.0011015,0.0011015
14,497.134,1.03935,7.03647,0.30436,0.6174,0.01976,4.0521,0.94701,0.92411,0.98246,0.72502,0.34048,0.34432,0.30023,0.06988,0.97274,5.02961,0.30331,0.4361,0.02936,0,0.00108913,0.00108913,0.00108913
15,532.619,1.01252,6.91132,0.30121,0.58197,0.01928,3.89986,0.91702,0.95933,0.98317,0.69393,0.40898,0.37426,0.32075,0.08211,0.99223,5.00603,0.2761,0.44337,0.03011,0,0.00107675,0.00107675,0.00107675
16,567.921,0.99475,6.71085,0.29549,0.56132,0.01886,3.77186,0.93393,0.96538,0.98722,0.7592,0.42196,0.37841,0.34787,0.09407,0.83242,4.79891,0.28642,0.39141,0.02431,0,0.00106437,0.00106437,0.00106437
17,604.65,0.98724,6.748,0.29428,0.5462,0.01888,3.68589,0.93657,0.92413,0.97931,0.76686,0.43288,0.36293,0.34314,0.07943,0.81585,5.14147,0.28801,0.37282,0.02385,0,0.001052,0.001052,0.001052
