epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,1568.19,1.39901,10.6589,0.52292,10.6212,0.03828,20.9517,0.62789,0.40795,0.42783,0.22894,0,0,0,0,1.19555,10.5989,0.32015,7.12688,0.03478,0,0.000469624,0.000469624,0.000469624
2,3163.82,1.20587,9.02803,0.28245,7.10737,0.03196,10.5968,0.90215,0.53588,0.82856,0.51402,0.33947,0.00877,0.0002,2e-05,1.41021,10.1621,0.22793,4.68001,0.04281,0,0.000852308,0.000852308,0.000852308
3,4776.51,1.13421,8.10625,0.2535,4.68553,0.02986,8.87014,0.85379,0.7285,0.87788,0.54682,0,0,0,0,1.36903,9.30369,0.21296,3.21085,0.04034,0,0.00114068,0.00114068,0.00114068
4,6359.63,1.1439,7.52617,0.24836,3.06775,0.0306,8.13435,0.81652,0.89675,0.93534,0.68765,0.00189,0.00402,0.00026,3e-05,1.09062,8.14888,0.22086,2.05912,0.03204,0,0.00100459,0.00100459,0.00100459
5,7996.19,1.13274,6.8241,0.23647,2.07805,0.02997,7.51397,0.87717,0.86819,0.95204,0.7057,0.07,0.11901,0.03565,0.00441,1.00918,6.43006,0.20692,1.51196,0.0284,0,0.000863116,0.000863116,0.000863116
6,9645.18,1.00135,6.41792,0.22778,1.55096,0.02692,7.05545,0.88142,0.92831,0.97335,0.69296,0.11261,0.15862,0.05786,0.00821,0.99071,6.78224,0.20598,1.14831,0.02951,0,0.000721645,0.000721645,0.000721645
7,11336.8,0.92284,5.94596,0.22158,1.2087,0.02443,6.51415,0.87991,0.91239,0.968,0.73984,0.38702,0.4079,0.30913,0.04142,0.83928,5.57976,0.20214,0.9488,0.02389,0,0.000580174,0.000580174,0.000580174
8,13051.5,0.88045,5.69519,0.21655,1.02529,0.02271,6.02621,0.97556,0.89472,0.97806,0.7797,0.46602,0.38068,0.34024,0.0599,0.82844,5.29599,0.20303,0.83307,0.02366,0,0.000438703,0.000438703,0.000438703
9,14770.3,0.88098,5.64634,0.21065,0.91349,0.0223,5.78085,0.96146,0.94156,0.98506,0.76691,0.38311,0.36004,0.28406,0.05217,0.9135,5.42744,0.19955,0.77686,0.02682,0,0.000297232,0.000297232,0.000297232
10,16409.4,0.81185,5.31667,0.20963,0.83828,0.02133,5.47382,0.99131,0.91176,0.98091,0.80544,0.5106,0.47527,0.43651,0.09752,0.70779,4.81134,0.20177,0.70289,0.01933,0,0.000155761,0.000155761,0.000155761
