epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4591,1.448,10.7474,0.54437,10.7824,0.04011,21.1817,0.72202,0.42845,0.52513,0.30859,0,0,0,0,1.16726,10.1208,0.30785,3.41207,0.03316,0,0.000469624,0.000469624,0.000469624
2,46.1712,1.18114,8.91228,0.29283,7.07754,0.03109,10.5341,0.68403,0.70044,0.78728,0.48705,0,0,0,0,1.1526,10.5858,0.2314,2.08862,0.03344,0,0.000852308,0.000852308,0.000852308
3,63.7958,1.28973,8.10353,0.25865,4.85237,0.03482,9.08506,0.85695,0.85298,0.90291,0.50502,0,0,0,0,1.61769,10.2201,0.22748,1.22441,0.05127,0,0.00114068,0.00114068,0.00114068
4,81.4138,1.29644,7.57056,0.25173,3.26706,0.03481,8.24939,0.78741,0.86682,0.89367,0.57023,0,0,0,0,1.40308,10.3667,0.21147,0.72241,0.04487,0,0.00100459,0.00100459,0.00100459
5,99.0665,1.11618,7.21509,0.24178,2.23136,0.02981,7.75771,0.92891,0.83907,0.95037,0.71361,0.03937,0.05189,0.00694,0.00122,0.98899,7.59462,0.20587,0.54835,0.02887,0,0.000863116,0.000863116,0.000863116
6,116.698,0.991,6.4499,0.22901,1.61311,0.02621,7.08179,0.89366,0.91072,0.96218,0.73546,0.16586,0.14363,0.07429,0.01036,0.83889,6.62362,0.20583,0.46268,0.02407,0,0.000721645,0.000721645,0.000721645
7,134.368,0.93902,6.09095,0.22165,1.27952,0.02458,6.67946,0.89047,0.89729,0.95689,0.73456,0.30025,0.31032,0.18537,0.02898,0.87966,5.56809,0.20083,0.43629,0.02518,0,0.000580174,0.000580174,0.000580174
8,152,0.88592,5.71279,0.2206,1.077,0.02302,6.10095,0.93428,0.93847,0.98041,0.77176,0.46522,0.43374,0.36044,0.06653,0.82511,5.12435,0.20787,0.3909,0.02317,0,0.000438703,0.000438703,0.000438703
9,169.705,0.83078,5.33874,0.21293,0.92866,0.02125,5.60465,0.93145,0.97243,0.9753,0.78806,0.47933,0.45088,0.39292,0.07865,0.77904,4.87096,0.2131,0.36603,0.02188,0,0.000297232,0.000297232,0.000297232
10,187.38,0.80539,5.05966,0.20767,0.84835,0.02087,5.28223,0.90641,0.98449,0.97926,0.79445,0.52576,0.48164,0.4256,0.09696,0.74009,4.76211,0.2094,0.34732,0.02103,0,0.000155761,0.000155761,0.000155761
