image,total length_status,head width_status,head length_status,inter ocular distance_status,right antenna length_status,left antenna length_status,thorax width_status,thorax length_status,abdomen width_status,abdomen length_status,intertegular distance_status,left hind wing length_status,right hind wing length_status,left hind wing width_status,right hind wing width_status,left fore wing length_status,right fore wing length_status,left fore wing width_status,right fore wing width_status,left hind leg length_status,left hind leg femur length_status,left hind leg tibia length_status,left hind leg tarsus length_status,right hind leg length_status,right hind leg femur length_status,right hind leg tibia length_status,right hind leg tarsus length_status,total length_px,head width_px,head length_px,inter ocular distance_px,right antenna length_px,left antenna length_px,thorax width_px,thorax length_px,abdomen width_px,abdomen length_px,intertegular distance_px,left hind wing length_px,right hind wing length_px,left hind wing width_px,right hind wing width_px,left fore wing length_px,right fore wing length_px,left fore wing width_px,right fore wing width_px,left hind leg length_px,left hind leg femur length_px,left hind leg tibia length_px,left hind leg tarsus length_px,right hind leg length_px,right hind leg femur length_px,right hind leg tibia length_px,right hind leg tarsus length_px
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\hawaii_beetles_images\individual_specimens\01\IMG_0093_specimen_1_MECKON_NEON.BET.D20.000001.png,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,316.518,69.66,34.696,50.359,119.013,128.592,98.478,75.113,149.656,206.71,39.84,,,,,204.789,206.393,77.737,65.087,,,,,,,,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\hawaii_beetles_images\individual_specimens\01\IMG_0093_specimen_3_MECKON_NEON.BET.D20.000004.png,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,298.769,59.13,40.723,39.328,116.364,123.663,77.494,76.96,121.201,181.087,34.358,,,,,179.342,179.22,68.969,51.511,,,70.455,48.522,,,,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\hawaii_beetles_images\individual_specimens\01\IMG_0095_specimen_2_MECKON_NEON.BET.D20.000007.png,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,279.133,58.757,38.561,43.249,127.038,128.799,83.111,65.011,118.184,175.561,40.534,,,,,177.445,177.894,64.634,55.961,,,,,,,65.459,33.984
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\hawaii_beetles_images\individual_specimens\01\IMG_0095_specimen_3_MECKON_NEON.BET.D20.000010.png,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,379.854,73.912,44.189,52.102,154.019,153.991,101.131,81.834,155.277,253.831,45.075,,,,,240.04,241.526,85.635,67.77,,,,,,,101.337,61.556
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\hawaii_beetles_images\individual_specimens\01\IMG_0109_specimen_1_MECKON_NEON.BET.D20.000011.png,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,332.008,68.461,43.789,49.513,145.611,126.456,94.423,79.172,139.827,209.047,38.366,,,,,206.502,204.046,75.599,63.938,,,,,,,,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\hawaii_beetles_images\individual_specimens\01\IMG_0109_specimen_2_MECKON_NEON.BET.D20.000017.png,non_measurable,measurable,non_measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,,66.242,,48.882,146.502,135.251,99.609,67.49,137.216,214.57,36.333,,,,,209.157,206.697,72.419,61.361,,,,,,,,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\hawaii_beetles_images\individual_specimens\01\IMG_0109_specimen_3_MECKON_NEON.BET.D20.000026.png,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,377.838,69.184,73.042,48.773,54.138,109.311,90.361,83.566,140.501,221.23,50.983,,,,,220.22,222.251,79.004,54.931,,,,,,,,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\hawaii_beetles_images\individual_specimens\01\IMG_0110_specimen_1_MECKON_NEON.BET.D20.000035.png,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,358.875,66.99,54.02,49.871,136.814,100.477,93.131,78.99,143.769,225.865,50.649,,,,,218.006,220.388,81.249,54.995,,,,,,,,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\hawaii_beetles_images\individual_specimens\01\IMG_0110_specimen_2_MECKON_NEON.BET.D20.000036.png,non_measurable,measurable,non_measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,,72.284,,53.242,73.958,98.787,90.496,64.16,131.562,247.426,47.348,,,,,213.612,212.727,87.614,41.722,,,,,,,,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\hawaii_beetles_images\individual_specimens\01\IMG_0110_specimen_3_MECKON_NEON.BET.D20.000050.png,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,325.012,60.656,52.911,39.349,91.872,115.135,81.275,72.046,139.934,200.055,46.078,,,,,198.623,193.892,76.726,52.196,,,,,,,,
