image,total length_status,head width_status,head length_status,inter ocular distance_status,right antenna length_status,left antenna length_status,thorax width_status,thorax length_status,abdomen width_status,abdomen length_status,intertegular distance_status,left hind wing length_status,right hind wing length_status,left hind wing width_status,right hind wing width_status,left fore wing length_status,right fore wing length_status,left fore wing width_status,right fore wing width_status,left hind leg length_status,left hind leg femur length_status,left hind leg tibia length_status,left hind leg tarsus length_status,right hind leg length_status,right hind leg femur length_status,right hind leg tibia length_status,right hind leg tarsus length_status,total length_px,head width_px,head length_px,inter ocular distance_px,right antenna length_px,left antenna length_px,thorax width_px,thorax length_px,abdomen width_px,abdomen length_px,intertegular distance_px,left hind wing length_px,right hind wing length_px,left hind wing width_px,right hind wing width_px,left fore wing length_px,right fore wing length_px,left fore wing width_px,right fore wing width_px,left hind leg length_px,left hind leg femur length_px,left hind leg tibia length_px,left hind leg tarsus length_px,right hind leg length_px,right hind leg femur length_px,right hind leg tibia length_px,right hind leg tarsus length_px
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\luomus_beetles_pictures\01\EB6.000.jpg,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,measurable,measurable,1075.554,244.662,216.29,160.468,669.648,612.205,305.572,198.007,398.569,661.256,138.85,,,,,667.975,660.851,198.096,192.853,,,349.371,282.498,,,334.357,314.242
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\luomus_beetles_pictures\01\EB6.001.jpg,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,measurable,measurable,1213.831,271.902,230.104,183.874,677.33,523.822,347.861,214.666,474.829,769.061,149.177,,,,,754.865,753.209,254.939,219.517,,,348.119,305.025,,,371.015,302.548
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\luomus_beetles_pictures\01\EB6.004.jpg,measurable,non_measurable,measurable,non_measurable,measurable,measurable,non_measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,measurable,measurable,198.669,,38.129,,82.377,114.655,,33.23,,127.31,,,,,,123.342,123.395,,,,,63.86,55.506,,,54.191,55.694
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\luomus_beetles_pictures\01\EB6.006.jpg,measurable,non_measurable,measurable,non_measurable,measurable,measurable,non_measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,measurable,measurable,243.715,,46.482,,74.098,100.691,,45.926,,151.306,,,,,,148.237,146.314,,,,,74.849,61.537,,,69.997,65.344
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\luomus_beetles_pictures\01\EB6.007.jpg,measurable,non_measurable,measurable,non_measurable,measurable,measurable,non_measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,measurable,measurable,232.414,,46.67,,109.493,126.79,,44.128,,141.616,,,,,,138.876,136.812,,,,,72.218,33.943,,,67.202,57.073
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\luomus_beetles_pictures\01\EB6.00A.jpg,measurable,non_measurable,measurable,non_measurable,measurable,measurable,non_measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,measurable,measurable,218.108,,41.675,,121.926,124.257,,40.679,,135.753,,,,,,130.207,128.639,,,,,68.341,63.372,,,58.786,58.207
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\luomus_beetles_pictures\01\EB6.00C.jpg,measurable,non_measurable,measurable,non_measurable,measurable,measurable,non_measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,measurable,measurable,234.822,,45.49,,80.982,106.817,,41.899,,147.434,,,,,,138.761,135.739,,,,,69.554,51.335,,,61.741,49.983
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\luomus_beetles_pictures\01\EB6.00E.jpg,measurable,non_measurable,measurable,non_measurable,measurable,measurable,non_measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,measurable,measurable,319.964,,60.653,,158.212,188.302,,53.605,,205.706,,,,,,205.598,201.399,,,,,99.939,99.068,,,91.765,83.783
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\luomus_beetles_pictures\01\EB6.00F.jpg,measurable,non_measurable,measurable,non_measurable,measurable,measurable,non_measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,measurable,measurable,390.363,,64.009,,169.901,211.983,,64.275,,262.079,,,,,,245.886,242.641,,,,,116.458,72.488,,,117.776,102.883
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\luomus_beetles_pictures\01\EB6.00G.jpg,measurable,non_measurable,measurable,non_measurable,measurable,measurable,non_measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,measurable,measurable,355.207,,56.006,,171.437,156.57,,63.922,,235.278,,,,,,235.733,233.483,,,,,104.034,91.002,,,95.332,77.319
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\luomus_beetles_pictures\01\EB6.00H.jpg,measurable,non_measurable,measurable,non_measurable,measurable,measurable,non_measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,measurable,measurable,363.664,,56.041,,167.571,208.545,,63.073,,244.55,,,,,,239.82,237.31,,,,,117.459,103.713,,,101.885,102.178
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\luomus_beetles_pictures\01\EB6.00J.jpg,measurable,non_measurable,measurable,non_measurable,measurable,measurable,non_measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,measurable,measurable,332.122,,67.299,,147.104,177.201,,47.795,,217.027,,,,,,215.22,206.553,,,,,104.133,82.333,,,92.765,70.396
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\luomus_beetles_pictures\01\EB6.00K.jpg,measurable,non_measurable,measurable,non_measurable,measurable,measurable,non_measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,measurable,measurable,351.203,,69.613,,164.45,185.38,,54.492,,227.098,,,,,,222.777,208.294,,,,,102.658,74.606,,,89.827,93.776
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\luomus_beetles_pictures\01\EB6.00L.jpg,measurable,non_measurable,measurable,non_measurable,measurable,measurable,non_measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,measurable,measurable,304.229,,57.511,,157.386,142.743,,48.59,,198.129,,,,,,195.371,189.768,,,,,98.192,87.667,,,82.799,72.264
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\luomus_beetles_pictures\01\EB6.00M.jpg,measurable,non_measurable,measurable,non_measurable,measurable,measurable,non_measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,measurable,measurable,320.34,,58.87,,120.394,104.46,,53.821,,207.649,,,,,,206.664,204.155,,,,,95.924,66.619,,,87.02,70.491
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\luomus_beetles_pictures\01\EB6.00N.jpg,measurable,non_measurable,measurable,non_measurable,measurable,measurable,non_measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,measurable,measurable,309.305,,54.815,,100.543,103.834,,52.12,,202.37,,,,,,198.202,193.627,,,,,91.882,56.604,,,79.129,34.632
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\luomus_beetles_pictures\01\EB6.00P.jpg,measurable,non_measurable,measurable,non_measurable,measurable,measurable,non_measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,measurable,measurable,291.046,,41.472,,98.401,114.42,,50.212,,199.362,,,,,,198.203,195.502,,,,,96.451,74.633,,,91.632,66.884
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\luomus_beetles_pictures\01\EB6.00Q.jpg,measurable,non_measurable,measurable,non_measurable,measurable,measurable,non_measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,measurable,measurable,279.781,,52.586,,96.86,94.226,,43.246,,183.948,,,,,,179.118,175.428,,,,,83.984,68.864,,,66.293,74.076
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\luomus_beetles_pictures\01\EB6.00S.jpg,measurable,non_measurable,measurable,non_measurable,measurable,measurable,non_measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,measurable,measurable,253.775,,47.343,,105.073,112.136,,37.96,,168.472,,,,,,166.943,164.798,,,,,78.808,61.479,,,71.795,59.985
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\luomus_beetles_pictures\01\EB6.00T.jpg,measurable,non_measurable,measurable,non_measurable,measurable,measurable,non_measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,154.82,,25.985,,39.985,34.312,,27.037,,101.797,,,,,,97.063,96.007,,,,,,,,,33.597,38.18
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\luomus_beetles_pictures\01\EB6.00V.jpg,measurable,non_measurable,measurable,non_measurable,measurable,measurable,non_measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,measurable,measurable,175.805,,34.728,,44.474,36.971,,31.965,,109.111,,,,,,102.456,100.078,,,,,37.16,40.678,,,30.144,38.997
