image,total length_status,head width_status,head length_status,inter ocular distance_status,right antenna length_status,left antenna length_status,thorax width_status,thorax length_status,abdomen width_status,abdomen length_status,intertegular distance_status,left hind wing length_status,right hind wing length_status,left hind wing width_status,right hind wing width_status,left fore wing length_status,right fore wing length_status,left fore wing width_status,right fore wing width_status,left hind leg length_status,left hind leg femur length_status,left hind leg tibia length_status,left hind leg tarsus length_status,right hind leg length_status,right hind leg femur length_status,right hind leg tibia length_status,right hind leg tarsus length_status,total length_px,head width_px,head length_px,inter ocular distance_px,right antenna length_px,left antenna length_px,thorax width_px,thorax length_px,abdomen width_px,abdomen length_px,intertegular distance_px,left hind wing length_px,right hind wing length_px,left hind wing width_px,right hind wing width_px,left fore wing length_px,right fore wing length_px,left fore wing width_px,right fore wing width_px,left hind leg length_px,left hind leg femur length_px,left hind leg tibia length_px,left hind leg tarsus length_px,right hind leg length_px,right hind leg femur length_px,right hind leg tibia length_px,right hind leg tarsus length_px
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\02\Ammobates_muticus_F_001.jpg,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,3045.185,938.95,668.723,600.075,516.329,663.863,1031.56,907.062,1025.973,1469.399,653.687,1590.691,,,,2263.287,2113.058,707.191,652.961,,,,,,,,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\02\Ammobates_muticus_M_001.jpg,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,2855.857,918.031,546.649,583.769,897.299,897.739,1006.178,1065.992,996.12,1243.216,682.792,1765.49,1699.881,,,2494.085,2387.379,687.084,817.317,1555.343,405.372,519.583,630.388,1376.806,497.672,339.33,539.805
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\02\Ammobates_opacus_F_001.jpg,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,3852.049,1230.3,791.701,738.085,494.059,1087.321,1449.791,1469.17,1356.772,1591.178,915.276,,,,,,2734.077,,,,,610.827,822.004,,,,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\02\Ammobates_oraniensis_F_001.jpg,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,2749.232,895.882,422.597,561.534,901.917,921.813,1070.021,1014.61,979.53,1312.025,702.092,,,,,2123.406,2112.981,,,,,,623.836,,,,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\02\Ammobates_oraniensis_M_001.jpg,measurable,non_measurable,measurable,non_measurable,measurable,measurable,non_measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,measurable,2580.062,,434.614,,751.278,709.726,,909.69,956.927,1235.757,643.105,,,,,2134.201,2179.093,,616.604,,,,648.204,,,,729.878
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\02\Ammobates_punctatus_F_001.jpg,non_measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,non_measurable,,803.668,668.351,517.378,321.815,663.394,1003.88,831.69,944.06,,568.036,,,,,1985.613,2022.554,,,,,,,,,361.066,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\02\Ammobates_punctatus_M_001.jpg,measurable,measurable,measurable,non_measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,4078.023,1274.61,618.181,,892.704,1279.176,1524.066,1537.823,1514.705,1922.019,1488.757,2041.574,2118.538,520.246,549.227,,,1035.363,,,,,,,,,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\02\Ammobates_rufiventris_F_001.jpg,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,2509.859,786.634,593.169,472.861,925.185,878.165,987.087,929.283,,987.408,568.884,,,,,2135.998,1955.24,,,,426.821,,,,,,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\02\Ammobates_rufiventris_M_001.jpg,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,3398.828,938.059,541.984,594.113,957.432,1253.449,1280.045,1258.285,1159.527,1598.559,786.45,1714.288,1869.839,,,2740.903,2617.662,,,,,287.136,,,,,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\02\Ammobates_sanguineus_M_001.jpg,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,3321.306,938.506,768.192,562.703,919.847,948.869,1077.199,1228.415,934.191,1324.699,682.922,,,,,2210.104,2267.644,,,,,,,,,,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\02\Ammobates_similis_F_001.jpg,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,2756.55,853.208,538.1,540.328,1016.558,894.942,1019.223,1054.881,954.11,1163.569,660.269,,,,,2056.786,2042.891,,,,,430.205,,,,,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\02\Ammobates_similis_M_001.jpg,measurable,measurable,measurable,non_measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,3698.277,963.352,830.634,,966.343,1162.524,1162.798,1230.673,1060.98,1636.971,762.853,,,,,2539.139,2515.188,,,,,,,,,,798.005
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\02\Ammobates_verhoeffi_F_001.jpg,measurable,measurable,measurable,non_measurable,non_measurable,measurable,measurable,measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,2259.496,764.032,504.243,,,267.993,798.005,790.659,,964.594,539.563,,,,,1588.309,,,,,,,,,,270.976,328.14
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\02\Ammobates_verhoeffi_M_001.jpg,measurable,measurable,measurable,non_measurable,measurable,measurable,measurable,measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,2337.625,821.726,428.015,,961.319,962.136,950.189,865.031,,1044.579,585.087,,,,,1938.241,1987.763,,,,,238.737,,,,,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\02\Ammobates_vinctus_F_001.jpg,non_measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,,840.202,600.963,559.028,869.135,911.185,957.382,935.992,903.54,,595.598,,,,,1978.749,2025.138,,,,,,,,,,
