image,total length_status,head width_status,head length_status,inter ocular distance_status,right antenna length_status,left antenna length_status,thorax width_status,thorax length_status,abdomen width_status,abdomen length_status,intertegular distance_status,left hind wing length_status,right hind wing length_status,left hind wing width_status,right hind wing width_status,left fore wing length_status,right fore wing length_status,left fore wing width_status,right fore wing width_status,left hind leg length_status,left hind leg femur length_status,left hind leg tibia length_status,left hind leg tarsus length_status,right hind leg length_status,right hind leg femur length_status,right hind leg tibia length_status,right hind leg tarsus length_status,total length_px,head width_px,head length_px,inter ocular distance_px,right antenna length_px,left antenna length_px,thorax width_px,thorax length_px,abdomen width_px,abdomen length_px,intertegular distance_px,left hind wing length_px,right hind wing length_px,left hind wing width_px,right hind wing width_px,left fore wing length_px,right fore wing length_px,left fore wing width_px,right fore wing width_px,left hind leg length_px,left hind leg femur length_px,left hind leg tibia length_px,left hind leg tarsus length_px,right hind leg length_px,right hind leg femur length_px,right hind leg tibia length_px,right hind leg tarsus length_px
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\01\Afranthidium_carduele_F_001.jpg,non_measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,non_measurable,,1169.225,396.112,688.109,852.626,527.757,1221.624,1032.281,1199.817,,847.079,,,,,,,,,,,,,,,457.355,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\01\Afranthidium_carduele_M_001.jpg,non_measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,,1006.303,547.937,579.766,550.57,757.256,1129.618,864.077,1091.994,,919.27,,,,,,,,,,,,,,,,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\01\Afranthidium_schulthessii_F_001.jpg,non_measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,,988.512,355.109,662.013,376.617,522.425,1042.168,881.267,999.578,,873.303,,,,,,,,,,,,,,,451.382,547.876
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\01\Afranthidium_schulthessii_M_001.jpg,non_measurable,measurable,measurable,measurable,non_measurable,measurable,measurable,measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,,1249.401,499.885,775.397,,638.469,1241.672,999.77,1242.266,,1132.884,,,,,,,,,,,,,,,,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\01\Aglaoapis_tridentata_F_002.jpg,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,3722.523,1101.899,831.697,695.496,874.825,954.685,1147.163,1129.282,1128.957,1761.544,1003.165,,,,,,,,,,,,,,,,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\01\Aglaoapis_tridentata_M_002_grey.jpg,non_measurable,measurable,measurable,non_measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,measurable,non_measurable,,866.752,325.531,,968.696,956.025,1032.771,928.185,862.723,,771.478,,,,,,,,,,,541.243,481.938,,,458.791,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\01\Amegilla_albigena_M_001.jpg,non_measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,,1077.358,514.271,645.269,926.5,975.906,946.06,799.273,1164.737,,1055.375,,,,,,,,,,,,,,,,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\01\Amegilla_canifrons_F_001.jpg,non_measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,,1156.491,621.057,767.498,733.173,737.487,1299.943,1052.665,,,1220.413,,,,,2381.392,2315.203,704.655,771.229,,,,,,,,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\01\Amegilla_canifrons_M_001.jpg,non_measurable,measurable,measurable,measurable,measurable,non_measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,measurable,non_measurable,measurable,non_measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,measurable,measurable,,995.746,375.659,578.822,873.993,,1146.723,888.787,1175.524,,,,1230.25,,105.665,,1808.693,,387.324,,,651.558,900.129,,,566.136,871.219
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\01\Amegilla_fasciata_F_002_grey.jpg,non_measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,,1048.854,397.566,616.462,721.403,400.353,1181.59,1140.04,1184.072,,934.019,,,,,,,,,,,,,,,,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\01\Amegilla_fasciata_M_001.jpg,non_measurable,measurable,measurable,measurable,measurable,non_measurable,measurable,measurable,measurable,non_measurable,measurable,measurable,non_measurable,measurable,non_measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,measurable,measurable,,898.708,362.057,485.181,937.914,,891.003,678.312,1000.089,,934.164,1170.114,,372.347,,1682.107,,588.04,,,,469.811,609.732,,,518.321,767.95
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\01\Amegilla_garrula_M_001.jpg,non_measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,,1041.838,776.223,598.638,1030.445,910.918,1329.414,1003.812,1242.218,,1033.408,,,,,,,,,,,,,,,,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\01\Amegilla_ochroleuca_F_001.jpg,non_measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,non_measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,,984.362,534.178,585.346,283.874,700.179,1207.36,944.125,,,1092.851,,,,,1932.536,,649.655,683.666,,,,,,,,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\01\Amegilla_ochroleuca_M_001.jpg,non_measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,,1010.412,380.701,586.688,807.776,960.22,1174.138,1020.112,1215.672,,1032.307,,,,,,,,,,,,,,,,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\01\Amegilla_quadrifasciata_F_001.jpg,non_measurable,measurable,measurable,measurable,non_measurable,measurable,measurable,measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,measurable,measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,,1145.078,378.644,698.52,,529.256,1306.839,1145.589,1377.607,,1166.087,,,,,1921.03,2102.26,852.268,,,,,,,,,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\01\Amegilla_quadrifasciata_M_001.jpg,non_measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,,1158.084,323.877,683.207,1000.853,1049.715,1389.228,1073.217,1319.966,,1212.262,,,,,,,,,,,,,,,,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\01\Amegilla_salviae_F_001.jpg,non_measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,non_measurable,measurable,non_measurable,measurable,non_measurable,measurable,non_measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,,869.68,332.655,459.039,396.935,387.713,971.841,749.582,,,767.561,,1090.554,,279.408,,1467.045,,587.517,,,,,,,,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\01\Amegilla_savignyi_F_001.jpg,non_measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,,1098.933,405.19,690.453,457.286,623.637,1306.889,1143.091,1331.612,,1054.101,,,,,,,,,,,,,,,,
C:\Users\tombe\Documents\_MLE\CV-for-GRIT\databases\orbit_bees\selected_images\01\Amegilla_savignyi_M_001.jpg,non_measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,measurable,non_measurable,measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,non_measurable,,1108.887,397.379,684.701,999.538,1099.852,1278.882,1148.982,1322.714,,1046.373,,,,,,,,,,,,,,,,
