,head-top,head-left,head-right,neck,left-eye,right-eye,right-antenna-0,left-antenna-0,thorax-left,thorax-right,thorax-bottom,left-forewing-base,right-forewing-base,right-hindwing-base,left-hindwing-base,body-left,body-right,body-tip,left-leg-0,right-leg-0,coleoptera,diptera,hymenoptera,lepidoptera,right-antenna-1,right-antenna-2,left-antenna-1,left-antenna-2,left-forewing-tip,left-forewing-front,left-forewing-rear,right-forewing-tip,right-forewing-front,right-forewing-rear,left-hindwing-tip,left-hindwing-front,left-hindwing-rear,right-hindwing-tip,right-hindwing-front,right-hindwing-rear,left-leg-1,left-leg-2,left-leg-3,right-leg-1,right-leg-2,right-leg-3
total length,0.03536641433737971,0.05682826314971159,0.060742066037312026,0.03035930616073544,0.07303828278828117,0.06925006580913852,0.04813193049699107,0.04172299550174877,0.03758447652700409,0.03607810603040666,0.027453601091556565,0.03291008726581613,0.025992517600681466,0.052012242992834586,0.04503782284191788,0.05637529738182636,0.05444867565983932,0.042860893611458936,0.03726870985553505,0.03302158324460035,0.07838154464417056,0.010155003656523076,0.005357018124633034,0.009623095189897651,,,,,,,,,,,,,,,,,,,,,,
head width,0.09885225602830018,0.09294189473588858,0.09373468744522952,0.12731235213309958,0.10512465207966865,0.17391647464835996,0.08618206476067695,0.09386934166652496,,,,,,,,,,,,,0.0778996251903623,0.012205207390719274,0.03313202611782394,0.004829417803345923,,,,,,,,,,,,,,,,,,,,,,
head length,0.030637481545812403,0.12246408319978615,0.13308573111073688,0.03498199149967719,0.09162575062488498,0.12544543158221017,0.042798925423669774,0.03414222306042696,0.026406759606313727,0.031031901395646586,0.03000478224650694,0.032496998787419316,0.04085746919000625,0.07825518033317462,0.06352767692036707,,,,,,0.006608140921002957,0.002657862095271523,0.008093881110303743,0.0648777293467828,,,,,,,,,,,,,,,,,,,,,,
inter ocular distance,0.08859755270219459,0.08681310158152504,0.1083853370388987,0.10317874353321205,0.1145380862621137,0.19903024348271142,0.0776685334053261,0.09396090539968219,,,,,,,,,,,,,0.06343540306724235,0.03086911591395688,0.026400612774641553,0.0071223648384954215,,,,,,,,,,,,,,,,,,,,,,
right antenna length,0.07425299346252873,0.05448256318825967,0.05368192869326334,0.04126862362994333,0.0592416703371123,0.05935628077254143,0.16806402185291278,0.12693759681261524,,,,,,,,,,,,,0.022061619265783296,0.008327939729713966,0.006454635865594876,0.005461770902494029,0.18789446886707117,0.13251388662016564,,,,,,,,,,,,,,,,,,,,
left antenna length,0.07585550135502,0.053276343307207485,0.04869611507459199,0.042356483593621375,0.06562733499212298,0.06192426809392756,0.11761913122158534,0.1706937381858821,,,,,,,,,,,,,0.013710215325469071,0.013711491558502034,0.008069928272726241,0.005040745794827129,,,0.1739248892679704,0.1494938139565462,,,,,,,,,,,,,,,,,,
thorax width,,,,0.08520473809214278,,,,,0.0816853263875328,0.09402547518660999,0.08007021254582955,0.06086714259786309,0.06779487368000657,0.1202941639357012,0.13637529534284357,,,,,,0.1481120734752005,0.10406456543303645,0.007632029563053711,0.013874103760179805,,,,,,,,,,,,,,,,,,,,,,
abdomen width,,,,,,,,,,,0.06881818154129038,,,,,0.1501247816705753,0.13841206797726538,0.10399622186517851,0.15576882645725448,0.19260330060664743,0.10020358651339686,0.013832052503969452,0.004807714559200305,0.07143326630522197,,,,,,,,,,,,,,,,,,,,,,
abdomen length,,,,0.049546729142455205,,,,,0.06277362272385392,0.05272773722540335,0.043519335364739294,0.04542902992952023,0.040603151433421844,0.059204610109276495,0.0685038456433291,0.10143934640095181,0.08772243825542325,0.09885049973175664,0.05215695517477251,0.041954958388347584,0.09714373855824204,0.046719512263817924,0.025693315579839324,0.026011174074849434,,,,,,,,,,,,,,,,,,,,,,
intertegular distance,,,,0.01753829334015671,,,,,0.02328322209627032,0.015358283272990944,0.025459918168728838,0.030184775607147715,0.018462121075087035,0.09827959571798849,0.09440861262857067,,,,,,0.1397476335637539,0.03217011200727162,0.0024322824555750105,0.00979834238346766,,,,,0.10527038731860656,0.03854379561858765,0.06079258937421555,0.1662601216156153,0.030218461289150508,0.09179145246681558,,,,,,,,,,,,
left hind wing length,,,,0.006466083674319532,,,,,0.006243376028262292,0.010554940070378742,0.007248552656232474,0.005042202891863337,0.014271308540005509,0.1350931352025584,0.14541445886376614,,,,,,0.015881461917317426,0.013811443813376657,0.003806287693525599,0.10025521802632084,,,,,,,,,,,0.1454535315294524,0.18409931223006432,0.20635868686255646,,,,,,,,,
