image_name,group,n_conservees_sans_filtrage,n_valides_conservees_sans_filtrage,n_conservees_seuil_conf_min,n_valides_conservees_seuil_conf_min,n_conservees_rf_related,n_valides_conservees_rf_related
IMG_0093_specimen_1_MECKON_NEON.BET.D20.000001,coleoptera,26,14,11,11,14,14
IMG_0093_specimen_3_MECKON_NEON.BET.D20.000004,coleoptera,26,16,12,12,14,14
IMG_0095_specimen_2_MECKON_NEON.BET.D20.000007,coleoptera,26,16,15,15,15,14
IMG_0095_specimen_3_MECKON_NEON.BET.D20.000010,coleoptera,26,16,14,14,13,13
IMG_0109_specimen_1_MECKON_NEON.BET.D20.000011,coleoptera,26,14,13,13,12,12
IMG_0109_specimen_2_MECKON_NEON.BET.D20.000017,coleoptera,26,12,13,12,14,12
IMG_0109_specimen_3_MECKON_NEON.BET.D20.000026,coleoptera,26,14,11,11,15,14
IMG_0110_specimen_1_MECKON_NEON.BET.D20.000035,coleoptera,26,14,13,13,13,13
IMG_0110_specimen_2_MECKON_NEON.BET.D20.000036,coleoptera,26,12,10,10,12,12
IMG_0110_specimen_3_MECKON_NEON.BET.D20.000050,coleoptera,26,14,14,14,14,14
IMG_0111_specimen_1_MECKON_NEON.BET.D20.000055,coleoptera,26,14,14,14,15,14
IMG_0111_specimen_2_MECKON_NEON.BET.D20.000058,coleoptera,26,13,11,11,12,12
IMG_0111_specimen_3_MECKON_NEON.BET.D20.000060,coleoptera,26,14,14,14,13,13
IMG_0111_specimen_4_MECKON_NEON.BET.D20.000071,coleoptera,26,14,12,12,14,14
IMG_0112_specimen_1_MECKON_NEON.BET.D20.000072,coleoptera,26,18,11,11,14,14
IMG_0112_specimen_2_MECKON_NEON.BET.D20.000085,coleoptera,26,14,11,11,14,14
IMG_0112_specimen_3_MECKON_NEON.BET.D20.000086,coleoptera,26,12,13,11,14,12
IMG_0112_specimen_4_MECKON_NEON.BET.D20.000089,coleoptera,26,14,10,10,14,14
IMG_0113_specimen_1_MECKON_NEON.BET.D20.000090,coleoptera,26,14,13,13,14,14
IMG_0113_specimen_2_MECKON_NEON.BET.D20.000103,coleoptera,26,12,14,10,15,11
IMG_0113_specimen_3_MECKON_NEON.BET.D20.000115,coleoptera,26,16,11,11,13,13
IMG_0113_specimen_4_MECKON_NEON.BET.D20.000122,coleoptera,26,15,12,12,14,14
IMG_0114_specimen_1_MECKON_NEON.BET.D20.000125,coleoptera,26,14,11,11,14,14
IMG_0114_specimen_2_MECKON_NEON.BET.D20.000130,coleoptera,26,14,13,13,14,14
IMG_0114_specimen_3_MECKON_NEON.BET.D20.000133,coleoptera,26,14,12,12,14,14
IMG_0114_specimen_4_MECKON_NEON.BET.D20.000139,coleoptera,26,14,12,12,14,14
IMG_0115_specimen_1_MECKON_NEON.BET.D20.000144,coleoptera,26,14,12,12,14,14
IMG_0115_specimen_2_MECKON_NEON.BET.D20.000146,coleoptera,26,14,12,12,14,14
IMG_0115_specimen_3_MECKON_NEON.BET.D20.000150,coleoptera,26,14,12,12,14,14
IMG_0115_specimen_4_MECKON_NEON.BET.D20.000157,coleoptera,26,15,17,14,16,13
IMG_0116_specimen_1_MECKON_NEON.BET.D20.000160,coleoptera,26,17,17,17,14,14
IMG_0116_specimen_2_MECKON_NEON.BET.D20.000163,coleoptera,26,14,15,13,15,13
IMG_0116_specimen_3_MECKON_NEON.BET.D20.000164,coleoptera,26,14,14,14,14,14
IMG_0117_specimen_1_MECKON_NEON.BET.D20.000191,coleoptera,26,12,10,10,12,11
IMG_0117_specimen_2_MECKON_NEON.BET.D20.000192,coleoptera,26,14,13,13,14,14
IMG_0117_specimen_3_MECKON_NEON.BET.D20.000193,coleoptera,26,14,12,12,14,14
IMG_0117_specimen_4_MECKON_NEON.BET.D20.000204,coleoptera,26,15,11,11,14,14
IMG_0118_specimen_1_MECKON_NEON.BET.D20.000214,coleoptera,26,14,10,10,14,14
IMG_0118_specimen_2_MECKON_NEON.BET.D20.000215,coleoptera,26,14,13,13,14,14
IMG_0118_specimen_3_MECKON_NEON.BET.D20.000224,coleoptera,26,10,14,10,15,10
IMG_0118_specimen_4_MECKON_NEON.BET.D20.000227,coleoptera,26,12,16,12,15,11
IMG_0119_specimen_1_MECKON_NEON.BET.D20.000228,coleoptera,26,14,13,13,14,14
IMG_0119_specimen_2_MECKON_NEON.BET.D20.000252,coleoptera,26,16,15,14,13,13
IMG_0119_specimen_3_MECKON_NEON.BET.D20.000262,coleoptera,26,12,12,12,14,12
IMG_0119_specimen_4_MECKON_NEON.BET.D20.000263,coleoptera,26,14,12,12,14,14
IMG_0121_specimen_1_MECKON_NEON.BET.D20.000265,coleoptera,26,13,10,9,13,12
IMG_0121_specimen_2_MECKON_NEON.BET.D20.000285,coleoptera,26,13,11,10,14,13
IMG_0121_specimen_3_MECKON_NEON.BET.D20.000295,coleoptera,26,16,13,13,14,14
IMG_0123_specimen_1_MECKON_NEON.BET.D20.000300,coleoptera,26,17,16,16,13,13
IMG_0123_specimen_2_MECKON_NEON.BET.D20.000308,coleoptera,26,14,14,14,14,14
IMG_0123_specimen_3_MECKON_NEON.BET.D20.000331,coleoptera,26,14,8,8,13,13
IMG_0123_specimen_4_MECKON_NEON.BET.D20.000332,coleoptera,26,13,12,12,14,13
IMG_0124_specimen_1_MECKON_NEON.BET.D20.000342,coleoptera,26,15,8,8,14,14
IMG_0124_specimen_2_MECKON_NEON.BET.D20.000343,coleoptera,26,16,13,13,14,14
IMG_0124_specimen_3_MECKON_NEON.BET.D20.000344,coleoptera,26,14,13,13,14,14
IMG_0124_specimen_4_MECKON_NEON.BET.D20.000348,coleoptera,26,13,15,12,13,12
IMG_0125_specimen_1_MECKON_NEON.BET.D20.000352,coleoptera,26,10,12,9,14,10
IMG_0125_specimen_2_MECKON_NEON.BET.D20.000353,coleoptera,26,14,14,13,14,13
IMG_0125_specimen_3_MECKON_NEON.BET.D20.000374,coleoptera,26,16,12,12,13,13
IMG_0125_specimen_4_MECKON_NEON.BET.D20.000377,coleoptera,26,14,10,10,13,13
IMG_0126_specimen_1_BLAKIL_NEON.BET.D20.000015,coleoptera,26,16,16,13,14,14
IMG_0126_specimen_2_BLAKIL_NEON.BET.D20.000016,coleoptera,26,14,16,14,13,13
IMG_0126_specimen_3_BLAKIL_NEON.BET.D20.000117,coleoptera,26,16,13,13,15,15
IMG_0126_specimen_4_BLAKIL_NEON.BET.D20.000380,coleoptera,26,14,14,12,14,13
IMG_0127_specimen_1_BLAKIL_NEON.BET.D20.000381,coleoptera,26,18,14,14,13,13
IMG_0127_specimen_2_BLAKIL_NEON.BET.D20.000382,coleoptera,26,16,12,12,14,14
IMG_0127_specimen_3_BLAKIL_NEON.BET.D20.000491,coleoptera,26,15,14,14,15,15
IMG_0127_specimen_4_BLAKIL_NEON.BET.D20.000492,coleoptera,26,14,14,14,14,14
IMG_0128_specimen_1_BLAKIL_NEON.BET.D20.000572,coleoptera,26,14,14,14,13,13
IMG_0128_specimen_2_BLAKIL_NEON.BET.D20.000658,coleoptera,26,13,13,11,13,13
IMG_0128_specimen_3_BLAKIL_NEON.BET.D20.001717,coleoptera,26,14,15,14,14,13
IMG_0128_specimen_4_BLAKIL_NEON.BET.D20.001808,coleoptera,26,14,15,14,15,13
IMG_0129_specimen_1_BLAHAW_NEON.BET.D20.000014,coleoptera,26,15,15,12,13,12
IMG_0130_specimen_1_BLAHAW_NEON.BET.D20.000286,coleoptera,26,14,12,12,14,14
IMG_0130_specimen_2_BLAHAW_NEON.BET.D20.000287,coleoptera,26,12,9,7,12,8
IMG_0130_specimen_3_BLAHAW_NEON.BET.D20.000487,coleoptera,26,13,14,12,14,13
IMG_0131_specimen_1_BLAHAW_NEON.BET.D20.000794,coleoptera,26,13,9,9,10,9
IMG_0131_specimen_2_BLAHAW_NEON.BET.D20.001098,coleoptera,26,14,14,11,14,13
IMG_0131_specimen_3_BLAHAW_NEON.BET.D20.001099,coleoptera,26,13,11,11,13,13
IMG_0132_specimen_1_BLAHAW_NEON.BET.D20.001265,coleoptera,26,16,14,13,15,13
IMG_0132_specimen_2_BLAHAW_NEON.BET.D20.001578,coleoptera,26,17,15,15,14,14
IMG_0132_specimen_3_BLAHAW_NEON.BET.D20.001583,coleoptera,26,15,13,13,12,12
IMG_0133_specimen_1_BLAHAW_NEON.BET.D20.001606,coleoptera,26,14,13,13,15,14
IMG_0133_specimen_2_BLAHAW_NEON.BET.D20.001644,coleoptera,26,14,14,14,12,12
IMG_0134_specimen_1_MECKAR_NEON.BET.D20.000186,coleoptera,26,14,13,13,14,14
IMG_0134_specimen_2_MECKAR_NEON.BET.D20.000187,coleoptera,26,13,13,12,14,13
IMG_0134_specimen_3_MECKAR_NEON.BET.D20.000350,coleoptera,26,12,16,12,12,10
IMG_0134_specimen_4_MECKAR_NEON.BET.D20.000609,coleoptera,26,16,15,14,16,16
IMG_0136_specimen_1_MECKAR_NEON.BET.D20.000657,coleoptera,26,14,13,12,11,11
IMG_0136_specimen_2_MECKAR_NEON.BET.D20.000701,coleoptera,26,16,17,16,15,15
IMG_0136_specimen_3_MECKAR_NEON.BET.D20.000702,coleoptera,26,14,10,10,14,14
IMG_0136_specimen_4_MECKAR_NEON.BET.D20.000828,coleoptera,26,14,14,14,12,12
IMG_0138_specimen_1_MECKAR_NEON.BET.D20.000830,coleoptera,26,14,16,14,16,14
IMG_0138_specimen_2_MECKAR_NEON.BET.D20.000977,coleoptera,26,14,13,13,14,14
IMG_0138_specimen_3_MECKAR_NEON.BET.D20.001305,coleoptera,26,16,15,14,17,16
IMG_0139_specimen_1_MECKAR_NEON.BET.D20.000978,coleoptera,26,14,12,11,14,13
EA1.0HJ,lepidoptera,26,18,15,15,18,18
EA1.0IU,lepidoptera,26,17,13,13,18,17
EA1.0OZ,lepidoptera,26,17,16,15,15,14
EA1.0P3,lepidoptera,26,18,17,17,18,18
EA1.0PX,lepidoptera,26,14,16,13,17,14
EA1.0VD,lepidoptera,26,16,17,15,16,16
EA1.0VZ,lepidoptera,26,16,13,11,16,16
EA1.0WH,lepidoptera,26,18,17,17,18,18
EA1.0WV,lepidoptera,26,16,17,15,16,16
EA1.0Y5,lepidoptera,26,16,18,16,16,16
EA1.114,lepidoptera,26,15,18,15,17,15
EA1.12N,lepidoptera,26,15,16,15,15,14
EA1.16A,lepidoptera,26,16,18,16,17,16
EA1.16W,lepidoptera,26,16,17,16,16,16
EA1.182,lepidoptera,26,18,15,14,15,14
EA1.19C,lepidoptera,26,16,15,14,16,16
EA1.19G,lepidoptera,26,15,14,14,16,15
EA1.1DF,lepidoptera,26,16,16,14,16,16
EA1.1F2,lepidoptera,26,16,17,16,16,16
EA1.1G5,lepidoptera,26,18,16,16,17,17
EA1.1HC,lepidoptera,26,14,13,12,14,14
EA1.1M4,lepidoptera,26,14,17,14,16,14
EA1.1MM,lepidoptera,26,17,16,16,15,15
EA1.1N2,lepidoptera,26,16,17,15,16,15
EA1.1N4,lepidoptera,26,17,17,16,16,15
EA1.1QS,lepidoptera,26,18,15,15,18,18
EA1.1RG,lepidoptera,26,18,16,16,18,18
EA1.1RV,lepidoptera,26,18,14,14,18,18
EA1.1SX,lepidoptera,26,18,18,18,18,18
EA1.1UK,lepidoptera,26,18,17,17,16,16
EA1.1VZ,lepidoptera,26,18,17,17,16,16
EA1.1YX,lepidoptera,26,15,15,15,14,14
EA1.1ZW,lepidoptera,26,12,12,12,13,12
EA1.20T,lepidoptera,26,15,16,15,14,14
