measure,model,n,prevalence_unmeasurable,mcc,average_precision,average_precision_norm,accuracy,accuracy_unmeasurable,accuracy_measurable,balanced_accuracy,precision_unmeasurable,threshold_median,tn,fp,fn,tp
total length,rf_related,1199,0.2610508757297748,0.46609148153403035,0.6597188397641016,0.5395066465882142,0.7798165137614679,0.6741214057507987,0.8171557562076749,0.7456385809792367,0.5656836461126006,0.4005732823345411,724,162,102,211
head width,rf_related,1199,0.23436196830692244,0.6845371920937805,0.8239550283035457,0.7700676241132367,0.8932443703085905,0.6227758007117438,0.9760348583877996,0.7994053295497716,0.8883248730964467,0.5910141373214127,896,22,106,175
head length,rf_related,1199,0.1451209341117598,0.6016820371608876,0.7129625859107364,0.6642362346409493,0.9040867389491243,0.632183908045977,0.9502439024390243,0.7912139052425007,0.6832298136645962,0.5203708583182883,974,51,64,110
inter ocular distance,rf_related,1199,0.2677231025854879,0.6791020348587806,0.8268968063822199,0.7636096478955371,0.8798999165971643,0.6261682242990654,0.9726651480637813,0.7994166861814234,0.8933333333333333,0.5742727799805594,854,24,120,201
right antenna length,rf_related,1199,0.1501251042535446,0.49294618664668444,0.5722541699905491,0.496695534660126,0.8824020016680567,0.48333333333333334,0.9528949950932286,0.718114164213281,0.6444444444444445,0.5553271947948025,971,48,93,87
left antenna length,rf_related,1199,0.12510425354462051,0.5090430955852363,0.5749685720385553,0.5141919140841066,0.8999165971643036,0.5133333333333333,0.9551954242135366,0.734264378773435,0.6209677419354839,0.5185148004397037,1002,47,73,77
thorax width,rf_related,1199,0.16847372810675562,0.7446887637901358,0.8587670034620362,0.8301520934312752,0.932443703085905,0.7029702970297029,0.9789368104312939,0.8409535537304984,0.8711656441717791,0.6190297083072331,976,21,60,142
abdomen width,rf_related,1199,0.2176814011676397,0.6604573632407267,0.8354319269299206,0.7896405974296107,0.8857381150959133,0.7203065134099617,0.9317697228144989,0.8260381181122303,0.746031746031746,0.49542608122891824,874,64,73,188
abdomen length,rf_related,1199,0.12510425354462051,0.3611122506047339,0.4097767489555008,0.3253787626288327,0.7731442869057548,0.7066666666666667,0.782650142993327,0.7446584048299969,0.31736526946107785,0.30470670579524706,821,228,44,106
intertegular distance,rf_related,1199,0.14929107589658047,0.8709624022593159,0.937448261763492,0.9264710449553205,0.9683069224353628,0.8268156424581006,0.9931372549019608,0.9099764486800307,0.9548387096774194,0.5443989085822825,1013,7,31,148
left hind wing length,rf_related,1199,0.737281067556297,0.9287549494273796,0.9983827643752026,0.9938442364630726,0.9724770642201835,0.9830316742081447,0.9428571428571428,0.9629444085326437,0.979706877113867,0.436792547916842,297,18,15,869
right hind wing length,rf_related,1199,0.7339449541284404,0.8963016608267401,0.9968825116858718,0.9882825439227596,0.9599666388657214,0.9829545454545454,0.896551724137931,0.9397531347962382,0.9632516703786191,0.39768392475802733,286,33,15,865
left hind wing width,rf_related,1199,0.7589658048373644,0.9170188209560197,0.9958662739298973,0.9828500430517194,0.969140950792327,0.9736263736263736,0.9550173010380623,0.964321837332218,0.985539488320356,0.5016721771828068,276,13,24,886
right hind wing width,rf_related,1199,0.749791492910759,0.9247938913586495,0.9971623601970042,0.9886588995873602,0.9716430358632193,0.978865406006674,0.95,0.964432703003337,0.9832402234636871,0.5760708937170942,285,15,19,880
left fore wing length,rf_related,1199,0.16597164303586323,0.5856722082462219,0.6155164908540809,0.539004272534043,0.8398665554628857,0.8793969849246231,0.832,0.8556984924623116,0.5102040816326531,0.24072997176602212,832,168,24,175
right fore wing length,rf_related,1199,0.16597164303586323,0.5258764625096666,0.6383446337948419,0.5663752159200154,0.8381984987489575,0.7537688442211056,0.855,0.8043844221105527,0.5084745762711864,0.2560413496815367,855,145,49,150
