,feature,importance
2,head length px,93.0
5,left antenna length px,87.0
3,inter ocular distance px,68.0
4,right antenna length px,62.0
26,right hind leg tarsus length px,55.0
24,right hind leg femur length px,53.0
14,right hind wing width px,52.0
20,left hind leg femur length px,52.0
8,abdomen width px,47.0
17,left fore wing width px,43.0
18,right fore wing width px,40.0
1,head width px,35.0
0,total length px,34.0
13,left hind wing width px,34.0
21,left hind leg tibia length px,33.0
25,right hind leg tibia length px,31.0
19,left hind leg length px,31.0
9,abdomen length px,30.0
15,left fore wing length px,29.0
11,left hind wing length px,27.0
16,right fore wing length px,24.0
22,left hind leg tarsus length px,22.0
12,right hind wing length px,22.0
23,right hind leg length px,21.0
6,thorax width px,15.0
10,intertegular distance px,11.0
7,thorax length px,9.0
