epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2233,1.95003,11.6601,0.70985,2.55313,2.3479,0.98892,1,0.995,0.80266,0,0,0,0,0.7788,11.8567,0.68834,0.89787,1.6084,0.00018,0.00018,0.00018
2,12.7489,1.09283,11.7936,0.69563,0.64651,1.57464,0.87533,0.94737,0.95985,0.5535,0,0,0,0,1.34322,11.8635,0.68092,0.8015,2.46502,0.000376238,0.000376238,0.000376238
3,15.236,1.02905,11.6794,0.67324,0.59988,1.51439,0.98618,1,0.995,0.54953,0,0,0,0,1.61962,11.7769,0.65001,0.81835,2.93897,0.000568516,0.000568516,0.000568516
4,17.7362,1.00521,11.6637,0.6571,0.59965,1.49331,0.457,0.68421,0.44644,0.1988,0,0,0,0,1.65512,11.6097,0.64943,1.40154,3.45099,0.000756834,0.000756834,0.000756834
5,20.2322,1.07295,11.6134,0.64468,0.72592,1.5319,0.11825,0.68421,0.09434,0.03669,0,0,0,0,2.18586,11.8211,0.63359,54.1082,5.20221,0.000941192,0.000941192,0.000941192
6,22.7295,0.98939,11.6592,0.63275,0.66983,1.48202,0.36677,0.78947,0.34837,0.08147,0,0,0,0,2.64812,11.6731,0.57121,10.045,5.26242,0.00112159,0.00112159,0.00112159
7,25.2011,1.02328,11.5656,0.6137,0.63696,1.46348,0.17309,0.82638,0.1598,0.06781,0,0,0,0,1.92563,11.7164,0.4589,16.0421,3.39944,0.00129803,0.00129803,0.00129803
8,27.7018,1.0792,11.5479,0.59697,0.65859,1.57975,0.66065,0.57895,0.74854,0.27827,0,0,0,0,1.91323,11.7361,0.52369,1.94092,3.14207,0.00147051,0.00147051,0.00147051
9,30.2406,1.02928,11.5501,0.59738,0.64969,1.47132,0.40212,0.36842,0.21406,0.08917,0,0,0,0,2.5013,11.6364,0.55134,2.64991,5.00899,0.00163902,0.00163902,0.00163902
10,32.7175,1.0483,11.5583,0.57177,0.64986,1.51099,0.05937,0.84211,0.05816,0.01968,0,0,0,0,2.16557,11.6495,0.42741,196.267,3.32342,0.00180358,0.00180358,0.00180358
11,35.1791,1.19285,11.5405,0.55171,0.74106,1.64476,0.48257,0.68731,0.55993,0.20289,0,0,0,0,2.18314,11.8864,0.56166,4.53258,4.30499,0.001802,0.001802,0.001802
