epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.45294,1.9861,11.7071,0.70231,2.89265,2.3278,0.98136,0.95,0.99262,0.68716,0,0,0,0,1.08614,11.9004,0.68941,0.78028,1.8684,0.00018,0.00018,0.00018
2,11.1196,0.95208,11.6367,0.65309,0.59896,1.43149,0.72539,0.55,0.64678,0.33899,0,0,0,0,1.90045,11.8527,0.66282,1.73988,2.96146,0.000376238,0.000376238,0.000376238
3,13.7181,0.87515,11.6232,0.60944,0.58815,1.32925,0.31347,0.55,0.34877,0.07906,0,0,0,0,3.12814,11.8295,0.61875,3.30101,5.50417,0.000568516,0.000568516,0.000568516
4,16.3079,0.89718,11.5556,0.56672,0.58605,1.34753,0.35096,0.65,0.33818,0.12521,0,0,0,0,2.45651,11.695,0.54646,3.53945,4.87252,0.000756834,0.000756834,0.000756834
5,18.8783,0.98715,11.6027,0.53753,0.58256,1.39936,0,0,0,0,0,0,0,0,4.64514,11.9163,1.10053,4.01605,49.3621,0.000941192,0.000941192,0.000941192
6,21.4644,0.95076,11.6484,0.50377,0.57846,1.38338,0.51602,0.6,0.47236,0.21613,0,0,0,0,2.50719,11.7457,0.53395,2.4436,3.57111,0.00112159,0.00112159,0.00112159
7,24.0209,0.88076,11.5731,0.49121,0.53774,1.33482,0.25183,0.2,0.13382,0.04383,0,0,0,0,3.17827,11.8869,0.50258,3.63263,4.33182,0.00129803,0.00129803,0.00129803
8,26.5892,0.9075,11.4742,0.48308,0.60903,1.35809,0.45094,0.15,0.13111,0.02785,0,0,0,0,3.71373,11.8422,0.53415,1.94324,4.89054,0.00147051,0.00147051,0.00147051
9,29.195,0.96506,11.5796,0.47221,0.62848,1.37736,0.23091,0.4,0.17647,0.05133,0,0,0,0,3.04962,11.7853,0.52015,2.92051,3.46972,0.00163902,0.00163902,0.00163902
10,31.7998,0.94938,11.3422,0.46347,0.6235,1.38696,0.01245,0.15,0.00189,0.00025,0,0,0,0,4.63104,11.7782,0.65823,91.311,8.91303,0.00180358,0.00180358,0.00180358
11,34.38,0.81334,11.4621,0.45589,0.57067,1.26927,0.59751,0.55,0.4483,0.1352,0,0,0,0,3.00379,11.7513,0.48105,1.86544,3.97482,0.001802,0.001802,0.001802
12,36.9784,0.90664,11.4284,0.44379,0.60693,1.37719,0.71457,0.9,0.75935,0.41019,0,0,0,0,1.44803,11.9296,0.31368,6.61999,3.43947,0.0017822,0.0017822,0.0017822
13,39.5744,0.93536,11.3248,0.43937,0.606,1.38108,0.7591,0.6,0.73833,0.47679,0,0,0,0,1.38013,11.5712,0.41898,4.44796,2.43815,0.0017624,0.0017624,0.0017624
14,42.1736,0.93894,11.3337,0.4434,0.59692,1.3827,0.78284,0.8,0.87454,0.44297,0,0,0,0,1.60352,11.6461,0.31652,2.26845,3.69203,0.0017426,0.0017426,0.0017426
15,44.7326,0.85992,11.3053,0.43373,0.58557,1.33842,0.97419,0.9,0.97583,0.73551,0,0,0,0,0.93799,11.6551,0.30512,1.47768,1.8021,0.0017228,0.0017228,0.0017228
16,47.3564,0.78739,11.2715,0.42677,0.52187,1.25238,0.90651,0.85,0.91545,0.5959,0,0,0,0,1.13991,11.6238,0.30672,2.85681,1.92082,0.001703,0.001703,0.001703
17,49.9183,0.79361,11.3828,0.43503,0.50853,1.25943,0.8586,0.9,0.95405,0.60999,0,0,0,0,1.23636,11.1389,0.36344,1.76439,2.0037,0.0016832,0.0016832,0.0016832
18,52.5015,0.86002,11.2946,0.42343,0.55353,1.32814,0.92885,0.65297,0.72856,0.46682,0,0,0,0,1.32076,11.8343,0.37209,4.37212,2.56026,0.0016634,0.0016634,0.0016634
19,55.0731,0.82959,11.1514,0.42866,0.5484,1.25385,1,0.84663,0.94794,0.58988,0,0,0,0,1.36665,11.7311,0.38909,1.15622,2.41339,0.0016436,0.0016436,0.0016436
20,57.6592,0.78994,11.1253,0.42803,0.53751,1.24336,0.87584,0.75,0.80122,0.37367,0,0,0,0,1.60223,11.3385,0.42026,1.00837,3.58073,0.0016238,0.0016238,0.0016238
21,60.2209,0.78434,10.9785,0.4179,0.50755,1.25757,0.45969,0.5,0.26269,0.12691,0,0,0,0,2.15919,11.6489,0.56701,1.30015,4.56358,0.001604,0.001604,0.001604
