epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.479,1.38098,22.8255,0.65482,0.95147,1.57859,0.78815,0.98611,0.95734,0.67522,0,0,0,0,1.09392,22.026,0.4599,0.99164,1.5547,0.000650794,0.000650794,0.000650794
2,25.1944,1.11277,20.9748,0.52041,0.68486,1.30882,0.11563,0.13253,0.02893,0.01258,0,0,0,0,3.58357,23.6285,0.76291,6.12309,4.34561,0.00130442,0.00130442,0.00130442
3,34.8323,1.10082,20.0565,0.44234,0.69328,1.28985,0.83808,0.86747,0.92844,0.65285,0,0,0,0,1.02437,22.2751,0.23984,2.54417,1.47797,0.00194484,0.00194484,0.00194484
4,44.4516,1.06519,18.9696,0.42321,0.63999,1.29544,0.92656,0.9759,0.98678,0.75461,0,0,0,0,0.89397,20.2246,0.24861,0.90178,1.33759,0.0019406,0.0019406,0.0019406
5,54.107,1.04987,18.774,0.39872,0.64025,1.27506,0.95241,0.96455,0.99188,0.72933,0.01501,0.01205,0.0003,3e-05,0.97088,17.5653,0.27026,0.76501,1.37039,0.0019208,0.0019208,0.0019208
6,63.7189,1.00023,17.5372,0.38965,0.6092,1.25047,0.98348,1,0.99476,0.78012,0.13116,0.10843,0.02986,0.00325,0.80335,14.474,0.27033,0.59382,1.20991,0.001901,0.001901,0.001901
7,73.4083,0.99203,16.7865,0.38905,0.56569,1.22173,0.95332,1,0.99164,0.77164,0.03071,0.03614,0.00117,0.00013,0.79221,14.328,0.27602,0.47708,1.24535,0.0018812,0.0018812,0.0018812
8,82.99,1.00004,16.7202,0.37016,0.57143,1.24679,0.98664,1,0.99357,0.78403,0.27609,0.24096,0.10404,0.01743,0.73586,12.6139,0.27481,0.48032,1.1519,0.0018614,0.0018614,0.0018614
9,92.6455,0.95205,15.9125,0.36143,0.5594,1.21171,0.98258,1,0.99452,0.79395,0.43572,0.38554,0.255,0.03103,0.75792,12.3216,0.26453,0.5111,1.17819,0.0018416,0.0018416,0.0018416
10,102.306,0.91407,15.5733,0.36288,0.5472,1.20047,0.96341,1,0.98728,0.77708,0.12701,0.12048,0.02634,0.00267,0.80718,13.6494,0.29132,0.53208,1.19546,0.0018218,0.0018218,0.0018218
11,111.938,0.93926,15.2265,0.36016,0.53337,1.21526,0.98808,0.99913,0.99476,0.81419,0.36362,0.3253,0.17124,0.02358,0.70628,11.8919,0.27198,0.4243,1.16168,0.001802,0.001802,0.001802
12,121.586,0.90651,15.1551,0.35427,0.5443,1.19552,0.99809,1,0.995,0.81247,0.1804,0.15663,0.04624,0.00587,0.73453,12.5421,0.27368,0.45723,1.15277,0.0017822,0.0017822,0.0017822
13,131.196,0.91412,14.675,0.34814,0.53221,1.18566,0.98395,1,0.99345,0.76226,0.38526,0.25301,0.13482,0.01988,0.86783,12.138,0.25752,0.47015,1.25379,0.0017624,0.0017624,0.0017624
14,140.802,0.91481,14.5779,0.34412,0.53854,1.20155,0.99597,1,0.995,0.7844,0.57321,0.53012,0.39798,0.07869,0.87606,10.7606,0.26813,0.50393,1.22771,0.0017426,0.0017426,0.0017426
15,150.453,0.87491,14.0839,0.34005,0.51391,1.17363,0.92302,0.98795,0.97973,0.71292,0.52905,0.56627,0.37075,0.06606,0.9303,11.4987,0.26357,0.60317,1.31005,0.0017228,0.0017228,0.0017228
16,160.064,0.88586,14.0809,0.33446,0.50617,1.16937,0.99961,1,0.995,0.82829,0.29115,0.28916,0.13261,0.01852,0.71019,11.6787,0.25546,0.47935,1.13048,0.001703,0.001703,0.001703
17,169.674,0.88603,13.6986,0.3331,0.51926,1.19796,0.81837,0.87952,0.95073,0.60214,0.3323,0.21687,0.12263,0.01854,1.26141,14.204,0.25836,1.5658,1.58905,0.0016832,0.0016832,0.0016832
18,179.271,0.84188,13.5487,0.33592,0.49689,1.16803,0.99756,1,0.995,0.83757,0.54122,0.46988,0.29927,0.04701,0.69464,11.0437,0.27604,0.39975,1.12237,0.0016634,0.0016634,0.0016634
19,188.912,0.85429,13.6017,0.32965,0.5003,1.17064,0.99728,1,0.995,0.82642,0.60395,0.53012,0.37575,0.07809,0.66632,10.5539,0.25965,0.39085,1.1246,0.0016436,0.0016436,0.0016436
20,198.546,0.84325,13.2422,0.32266,0.49349,1.15197,0.99672,1,0.995,0.85326,0.62309,0.54217,0.42781,0.06656,0.6524,10.7079,0.24911,0.40153,1.10279,0.0016238,0.0016238,0.0016238
21,208.198,0.81451,13.2823,0.31614,0.47488,1.13519,0.99937,1,0.995,0.8382,0.81051,0.68675,0.65424,0.14575,0.65482,9.71029,0.26177,0.40106,1.09429,0.001604,0.001604,0.001604
22,217.832,0.83714,12.9983,0.31489,0.47318,1.14881,1,0.99735,0.995,0.81866,0.61291,0.53012,0.36609,0.05228,0.71533,10.8488,0.24835,0.42806,1.13448,0.0015842,0.0015842,0.0015842
23,227.438,0.85047,13.2222,0.31356,0.47857,1.15811,0.99889,1,0.995,0.84155,0.8234,0.72289,0.71085,0.16203,0.65153,9.47307,0.2398,0.38194,1.07785,0.0015644,0.0015644,0.0015644
24,237.052,0.81297,12.7555,0.31558,0.46843,1.13025,0.99898,1,0.995,0.83776,0.8428,0.71055,0.65316,0.15381,0.65363,9.39212,0.2489,0.38101,1.08359,0.0015446,0.0015446,0.0015446
25,246.658,0.82556,12.6105,0.30012,0.46886,1.13957,0.99787,1,0.995,0.85288,0.74478,0.63289,0.54383,0.11331,0.63832,9.75198,0.25482,0.3835,1.07624,0.0015248,0.0015248,0.0015248
26,256.254,0.81241,12.8037,0.3104,0.47494,1.142,0.99377,1,0.995,0.83968,0.82016,0.72289,0.67077,0.15952,0.65864,9.38014,0.24712,0.41029,1.09782,0.001505,0.001505,0.001505
27,265.873,0.80046,12.5816,0.30571,0.46022,1.13611,0.99904,1,0.995,0.83078,0.82743,0.69326,0.65964,0.14857,0.67963,9.6119,0.25362,0.40634,1.09739,0.0014852,0.0014852,0.0014852
28,275.467,0.78537,12.2327,0.30111,0.44792,1.12389,0.99915,1,0.995,0.84926,0.79771,0.6747,0.63657,0.16362,0.65196,9.22543,0.24923,0.38156,1.08369,0.0014654,0.0014654,0.0014654
29,285.107,0.80011,12.4225,0.29222,0.45981,1.1339,0.99629,1,0.995,0.84104,0.81884,0.71084,0.66642,0.16044,0.64899,9.34197,0.26559,0.3957,1.0752,0.0014456,0.0014456,0.0014456
30,294.703,0.80208,12.1893,0.29533,0.4491,1.13808,0.99483,1,0.995,0.85237,0.90235,0.77933,0.75771,0.18719,0.61903,9.16924,0.24401,0.38464,1.0519,0.0014258,0.0014258,0.0014258
31,304.379,0.7702,12.1215,0.28914,0.45304,1.11654,0.99469,1,0.995,0.85906,0.87791,0.75904,0.74415,0.17789,0.61636,8.93427,0.25501,0.3934,1.06296,0.001406,0.001406,0.001406
32,313.982,0.78075,12.0985,0.29134,0.45969,1.13524,0.98621,1,0.99357,0.83582,0.9036,0.79518,0.76987,0.20762,0.65776,8.98125,0.25538,0.40348,1.09915,0.0013862,0.0013862,0.0013862
33,323.627,0.81217,12.0294,0.29127,0.46567,1.13269,0.99776,1,0.995,0.83956,0.81486,0.71084,0.67999,0.146,0.63592,9.37099,0.25285,0.38486,1.07476,0.0013664,0.0013664,0.0013664
34,333.268,0.7766,12.0307,0.28706,0.45856,1.13488,0.98501,1,0.99488,0.87802,0.89333,0.77108,0.78213,0.20472,0.61502,9.04414,0.24996,0.39392,1.06118,0.0013466,0.0013466,0.0013466
35,342.919,0.79443,12.3354,0.28937,0.46195,1.13798,0.99866,1,0.995,0.83425,0.36708,0.33735,0.16375,0.02056,0.66093,10.8376,0.26387,0.37197,1.09372,0.0013268,0.0013268,0.0013268
36,352.531,0.7607,12.2005,0.28511,0.43602,1.10427,0.99858,1,0.995,0.86311,0.81319,0.6988,0.64857,0.1352,0.59362,9.40108,0.26249,0.38071,1.04924,0.001307,0.001307,0.001307
37,362.159,0.73879,11.9919,0.2815,0.43202,1.09822,0.99886,1,0.995,0.856,0.89497,0.75904,0.74667,0.17875,0.59946,9.01409,0.24065,0.36791,1.05235,0.0012872,0.0012872,0.0012872
38,371.767,0.76171,12.0195,0.27672,0.43384,1.1158,0.99946,1,0.995,0.88429,0.80286,0.68693,0.62882,0.15244,0.57627,9.08943,0.26032,0.36266,1.04503,0.0012674,0.0012674,0.0012674
39,381.365,0.75539,11.5919,0.28114,0.42421,1.10744,0.99692,1,0.995,0.86589,0.87416,0.75327,0.70134,0.17736,0.62744,8.90312,0.25414,0.37196,1.07286,0.0012476,0.0012476,0.0012476
40,390.968,0.76825,11.9892,0.2751,0.44558,1.13146,0.99902,1,0.995,0.86637,0.88687,0.75567,0.75311,0.16042,0.63,9.03068,0.25341,0.39775,1.06692,0.0012278,0.0012278,0.0012278
41,400.578,0.77063,11.862,0.27827,0.43875,1.12915,0.99844,1,0.995,0.85865,0.88434,0.77108,0.75077,0.20583,0.61997,8.74505,0.25558,0.38007,1.0608,0.001208,0.001208,0.001208
42,410.194,0.7589,11.9637,0.28008,0.441,1.10847,0.98542,1,0.99488,0.84563,0.84339,0.73494,0.68942,0.17928,0.63052,8.80633,0.24874,0.37236,1.05111,0.0011882,0.0011882,0.0011882
43,419.799,0.74914,11.7372,0.27134,0.42996,1.09926,0.99913,1,0.995,0.88066,0.80359,0.6988,0.61713,0.15874,0.5816,8.91883,0.25702,0.35767,1.03628,0.0011684,0.0011684,0.0011684
44,429.403,0.75359,11.6802,0.27175,0.42796,1.11264,0.9975,1,0.995,0.87245,0.84191,0.73494,0.6866,0.19164,0.57752,8.57967,0.23532,0.34957,1.04543,0.0011486,0.0011486,0.0011486
45,439.021,0.72026,11.3972,0.27543,0.4222,1.09137,0.99721,1,0.995,0.83894,0.86548,0.74699,0.69647,0.22031,0.64035,8.56301,0.25578,0.36659,1.07839,0.0011288,0.0011288,0.0011288
46,448.618,0.724,11.3427,0.27837,0.41168,1.09223,0.99899,1,0.995,0.87804,0.87235,0.74106,0.69917,0.15752,0.57016,8.8883,0.26111,0.35613,1.02214,0.001109,0.001109,0.001109
47,458.237,0.73486,11.695,0.26796,0.4201,1.11052,0.99712,0.98795,0.99476,0.84842,0.8953,0.77108,0.74993,0.19822,0.61065,8.81943,0.26163,0.35934,1.05693,0.0010892,0.0010892,0.0010892
48,467.847,0.70235,11.2364,0.26591,0.40684,1.07768,0.99935,1,0.995,0.86555,0.88712,0.78313,0.76033,0.21274,0.58653,8.59484,0.25261,0.33576,1.02596,0.0010694,0.0010694,0.0010694
49,477.465,0.72958,11.2081,0.26754,0.41358,1.10619,0.9999,1,0.995,0.88172,0.87935,0.75904,0.71145,0.18118,0.57699,8.79068,0.24356,0.33917,1.01015,0.0010496,0.0010496,0.0010496
50,487.071,0.69473,11.0804,0.2709,0.40352,1.07978,0.99798,1,0.995,0.88675,0.92647,0.79518,0.78119,0.22172,0.54806,8.42551,0.23893,0.34147,1.00648,0.0010298,0.0010298,0.0010298
51,497.285,0.7114,11.1839,0.26205,0.40987,1.0976,0.99842,1,0.995,0.83919,0.90522,0.78313,0.76733,0.19558,0.59946,8.61651,0.24744,0.34134,1.05334,0.00101,0.00101,0.00101
52,506.872,0.70123,11.1407,0.2653,0.3947,1.09076,0.99838,1,0.995,0.8773,0.90239,0.77971,0.76823,0.2156,0.55037,8.45529,0.248,0.32884,1.02522,0.0009902,0.0009902,0.0009902
