epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8632,1.49797,23.4627,0.70365,1.74848,1.72474,0.9228,1,0.9724,0.64798,0,0,0,0,0.93466,22.7824,0.67317,0.57879,1.39739,0.00038,0.00038,0.00038
2,17.5539,0.94972,22.6796,0.65985,0.58212,1.22501,0.62876,0.26316,0.28056,0.18245,0,0,0,0,3.70429,23.0487,0.7733,3.46014,4.27358,0.000772278,0.000772278,0.000772278
3,22.3027,0.84604,21.7391,0.615,0.55611,1.20694,0.83749,0.94938,0.92091,0.61338,0,0,0,0,0.94441,23.1657,0.423,1.8028,1.5623,0.00115664,0.00115664,0.00115664
4,26.999,0.89927,20.9823,0.57006,0.58955,1.25823,0.5581,0.13158,0.12969,0.02962,0,0,0,0,3.66124,23.3225,1.62853,3.33086,4.50389,0.00153307,0.00153307,0.00153307
5,31.7216,0.83661,20.6375,0.5327,0.55721,1.16503,0,0,0,0,0,0,0,0,4.9992,24,127.118,50.2685,50.9985,0.00190159,0.00190159,0.00190159
6,36.4269,0.87984,19.6233,0.51095,0.56218,1.18679,0.03641,0.55263,0.03167,0.01249,0,0,0,0,1.60093,20.9772,11.9928,18.4283,5.0379,0.001901,0.001901,0.001901
7,41.1297,0.86215,18.5448,0.5077,0.54338,1.22035,0.88363,0.39986,0.46286,0.29586,0,0,0,0,1.63364,22.5503,6.09151,1.41526,2.06407,0.0018812,0.0018812,0.0018812
8,45.8561,0.8163,17.9764,0.47297,0.52198,1.16413,0.94814,0.96237,0.98177,0.77215,0.02648,0.02632,0.00074,7e-05,0.75942,16.9572,0.36409,0.6717,1.1831,0.0018614,0.0018614,0.0018614
9,50.6105,0.80275,17.467,0.47061,0.53422,1.15238,0.99542,1,0.995,0.80122,0,0,0,0,0.75685,16.2656,0.32328,0.58246,1.13521,0.0018416,0.0018416,0.0018416
10,55.3407,0.80552,16.904,0.46135,0.51843,1.16325,0.99571,1,0.995,0.79955,0,0,0,0,0.75934,14.3661,0.31618,0.58466,1.15801,0.0018218,0.0018218,0.0018218
