epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8464,1.7687,11.3788,0.68976,1.8955,0.03792,21.2713,1,0.99461,0.995,0.52939,0,0,0,0,1.64631,10.8375,0.60676,0.36927,0.04712,0,0.00038,0.00038,0.00038
2,22.1645,1.31779,10.4253,0.59682,0.51614,0.02599,10.6395,0.97093,0.94737,0.9586,0.58731,0,0,0,0,1.45048,10.5415,0.36182,0.35569,0.04223,0,0.000772278,0.000772278,0.000772278
3,29.7297,1.35817,9.69304,0.53409,0.47179,0.02865,7.24161,0.99836,1,0.995,0.69106,0,0,0,0,1.19209,8.99361,0.29629,0.28365,0.03357,0,0.00115664,0.00115664,0.00115664
4,37.1169,1.49307,9.40502,0.48543,0.52888,0.03255,7.05156,1,0.91272,0.98123,0.38425,0,0,0,0,2.03474,10.4844,0.33065,0.57358,0.06507,0,0.00153307,0.00153307,0.00153307
5,44.4221,1.43031,9.53663,0.4447,0.55312,0.02896,6.85496,0.89977,0.94498,0.94431,0.50959,0,0,0,0,1.7348,10.0272,0.29394,0.62605,0.0514,0,0.00190159,0.00190159,0.00190159
6,51.7317,1.4372,8.96548,0.40449,0.55533,0.02851,5.77982,1,0.91078,0.94049,0.4991,0,0,0,0,1.73876,10.4598,0.25588,0.7888,0.05485,0,0.001901,0.001901,0.001901
7,59.1037,1.45711,8.88511,0.39196,0.61606,0.03005,5.8384,0.93585,1,0.98659,0.57461,0,0,0,0,1.55443,9.04042,0.24993,0.84234,0.04241,0,0.0018812,0.0018812,0.0018812
8,66.4897,1.32402,8.35622,0.36982,0.5265,0.02787,5.29968,0.94669,0.97368,0.98555,0.61104,0,0,0,0,1.28574,8.23455,0.29065,0.51858,0.03807,0,0.0018614,0.0018614,0.0018614
9,73.8693,1.46802,8.41043,0.35682,0.53589,0.03055,5.14445,0.94951,0.98986,0.98818,0.59938,0.05309,0.07895,0.00417,0.00062,1.48005,7.7944,0.28636,0.5016,0.04299,0,0.0018416,0.0018416,0.0018416
10,81.266,1.43077,7.92697,0.33913,0.52229,0.02988,4.69009,0.73822,0.44535,0.48513,0.18246,0,0,0,0,3.38609,9.68376,0.47807,5.00142,0.12479,0,0.0018218,0.0018218,0.0018218
11,88.5964,1.43814,7.90479,0.32855,0.53335,0.03034,4.59269,0.95664,0.89474,0.9712,0.56243,0.17731,0.13158,0.05351,0.00663,1.336,5.37141,0.23778,0.48568,0.04078,0,0.001802,0.001802,0.001802
12,95.9372,1.31015,7.86786,0.3381,0.5815,0.02853,4.84055,0.96981,1,0.99244,0.69164,0.06434,0.02632,0.00625,0.00063,1.11124,7.12471,0.27263,0.33522,0.03214,0,0.0017822,0.0017822,0.0017822
