epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,8.87609,2.58357,23.341,0.6986,3.53861,0.07386,36.4648,0.95234,0.99908,0.99024,0.47471,0,0,0,0,1.87164,23.6976,0.6907,0.51556,0.07954,0,0.00018,0.00018,0.00018
2,12.9457,1.33074,23.2181,0.7155,0.58577,0.03589,26.4644,0.63332,0.69122,0.63003,0.13354,0,0,0,0,3.30223,23.5878,0.65664,0.97083,0.12686,0,0.000376238,0.000376238,0.000376238
3,16.9762,1.34934,22.9003,0.6856,0.51368,0.03536,20.6333,0.62797,0.84417,0.5589,0.24341,0,0,0,0,2.17094,23.2416,0.62435,0.84622,0.08738,0,0.000568516,0.000568516,0.000568516
4,21.0107,1.2937,22.5006,0.62218,0.53069,0.03493,17.82,0.64339,0.85,0.72001,0.29089,0,0,0,0,1.99796,23.0681,0.59561,0.98492,0.07765,0,0.000756834,0.000756834,0.000756834
5,25.0406,1.37774,22.4184,0.55648,0.51697,0.03637,14.7282,0.60254,0.83418,0.69291,0.36214,0,0,0,0,1.91629,22.6934,0.51175,0.9985,0.07615,0,0.000941192,0.000941192,0.000941192
6,29.0681,1.43068,22.4814,0.5075,0.50563,0.03891,13.6035,0.84857,0.8,0.82824,0.22411,0,0,0,0,2.68298,23.454,0.44618,1.03332,0.13695,0,0.00112159,0.00112159,0.00112159
7,33.069,1.49428,21.8812,0.48152,0.60156,0.04031,12.5435,0.89477,0.95,0.92954,0.56902,0,0,0,0,1.36095,21.1402,0.41358,0.61208,0.05437,0,0.00129803,0.00129803,0.00129803
8,37.1239,1.50728,21.5144,0.47019,0.68284,0.04091,11.9588,0.94058,0.79195,0.94488,0.43364,0,0,0,0,2.04253,21.6233,0.4036,0.69058,0.0843,0,0.00147051,0.00147051,0.00147051
9,41.1404,1.54945,22.1768,0.44566,0.68018,0.04152,12.1153,0.67849,0.8,0.80697,0.24926,0,0,0,0,2.55286,23.3299,0.46085,1.00369,0.11848,0,0.00163902,0.00163902,0.00163902
10,45.1841,1.5951,22.0009,0.46253,0.72585,0.0444,12.8252,0.4839,0.55,0.47268,0.16379,0,0,0,0,2.02413,22.9158,0.43468,1.84891,0.08087,0,0.00180358,0.00180358,0.00180358
