epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4442,1.64996,10.7553,0.64608,0.97362,0.03089,15.9936,0.98525,0.98795,0.9943,0.43433,0,0,0,0,2.06789,9.66871,0.41146,0.47359,0.06508,0,0.000650794,0.000650794,0.000650794
2,36.9136,1.50892,9.24737,0.45427,0.59774,0.02721,7.20893,0.98762,0.96132,0.98544,0.58848,0,0,0,0,1.43027,8.96956,0.2729,0.51832,0.04119,0,0.00130442,0.00130442,0.00130442
3,52.3145,1.51889,8.61781,0.38802,0.60571,0.0272,6.04621,0.92207,0.90361,0.96793,0.59721,0,0,0,0,1.4396,10.8283,0.24116,0.7125,0.03928,0,0.00194484,0.00194484,0.00194484
4,67.6127,1.5184,8.34834,0.36878,0.63341,0.0273,5.74655,0.90226,0.91566,0.95449,0.60028,0,0,0,0,1.32049,10.5084,0.24987,0.59358,0.03548,0,0.0019406,0.0019406,0.0019406
5,82.9469,1.52041,8.57115,0.35749,0.65678,0.0272,5.74718,0.89773,0.8461,0.90335,0.42631,0,0,0,0,2.01317,10.8338,0.23082,0.95739,0.05959,0,0.0019208,0.0019208,0.0019208
6,98.2407,1.53131,8.05435,0.33399,0.66744,0.02828,5.32556,0.91354,0.95181,0.95508,0.57552,0.10939,0.12048,0.01681,0.0017,1.34798,6.17166,0.25546,0.67355,0.03763,0,0.001901,0.001901,0.001901
7,113.546,1.4428,7.79096,0.33104,0.59648,0.02471,4.85235,0.9583,0.89157,0.97715,0.64655,0.08978,0.08434,0.01713,0.00249,1.18677,6.38783,0.29085,0.4716,0.02917,0,0.0018812,0.0018812,0.0018812
8,128.849,1.40173,7.45924,0.31921,0.57616,0.02515,4.63448,0.93976,0.93981,0.97588,0.62172,0.3121,0.24096,0.13009,0.01913,1.32491,5.78298,0.2446,0.49782,0.03585,0,0.0018614,0.0018614,0.0018614
9,144.147,1.3477,7.27162,0.30183,0.57048,0.02296,4.36905,0.95274,0.97164,0.9772,0.6619,0.11386,0.12048,0.01626,0.00163,1.12152,6.30789,0.25504,0.42437,0.02854,0,0.0018416,0.0018416,0.0018416
10,159.449,1.26539,7.1006,0.30167,0.48368,0.02251,4.32535,0.97079,0.9759,0.99028,0.75748,0.4374,0.38554,0.2073,0.0282,0.89223,5.2698,0.25883,0.32081,0.0219,0,0.0018218,0.0018218,0.0018218
