epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,10.616,2.58367,23.3934,0.69715,3.22154,0.07425,35.75,0.99798,0.94737,0.99024,0.58318,0,0,0,0,1.47077,23.7664,0.68922,0.42535,0.0617,0,0.00018,0.00018,0.00018
2,14.5676,1.39872,23.4539,0.72808,0.59916,0.03851,25.9728,0.99504,1,0.995,0.55381,0,0,0,0,1.63995,23.6299,0.66773,0.43936,0.06469,0,0.000376238,0.000376238,0.000376238
3,18.4809,1.29527,22.9838,0.73241,0.50843,0.03536,21.0296,0.94413,0.88964,0.92289,0.56835,0,0,0,0,1.50988,23.3651,0.6497,0.48724,0.05564,0,0.000568516,0.000568516,0.000568516
4,22.3851,1.45479,22.5955,0.70228,0.56627,0.04115,18.0014,0.99481,1,0.995,0.53907,0,0,0,0,1.61997,22.8857,0.65168,0.38986,0.06548,0,0.000756834,0.000756834,0.000756834
5,26.3052,1.66159,22.9761,0.68071,0.79684,0.04649,17.6233,0.76354,0.68005,0.57812,0.16247,0,0,0,0,2.86741,23.1966,0.76784,0.82697,0.12016,0,0.000941192,0.000941192,0.000941192
6,30.2514,1.52245,22.9952,0.66058,0.81855,0.04247,15.793,0.89633,0.68421,0.84647,0.31629,0,0,0,0,2.41566,23.6629,0.59482,0.69691,0.10736,0,0.00112159,0.00112159,0.00112159
7,34.1535,1.68532,22.1781,0.63089,0.87357,0.04664,13.6552,0.64046,0.52632,0.53622,0.23461,0,0,0,0,2.57878,23.4622,0.58912,2.24746,0.10821,0,0.00129803,0.00129803,0.00129803
8,38.0585,1.83916,22.1468,0.62654,0.86043,0.05303,14.3808,0.62866,0.47368,0.43324,0.07659,0,0,0,0,3.50026,22.7613,0.53022,1.1229,0.18369,0,0.00147051,0.00147051,0.00147051
9,41.9542,1.66501,21.9035,0.62966,0.72342,0.04432,12.6186,0.74541,0.94737,0.85518,0.36704,0,0,0,0,2.07274,23.5485,0.74173,0.83442,0.08375,0,0.00163902,0.00163902,0.00163902
10,45.853,1.60927,21.8729,0.61992,0.68644,0.0433,12.7458,0.77625,0.91352,0.8621,0.36366,0,0,0,0,1.91024,23.3532,0.77783,0.8314,0.08124,0,0.00180358,0.00180358,0.00180358
11,49.7324,1.74271,21.8111,0.61521,0.88903,0.04858,12.657,0.68292,0.90724,0.8181,0.32914,0,0,0,0,2.04716,21.2541,0.64999,1.14736,0.08158,0,0.001802,0.001802,0.001802
12,53.6459,1.51814,21.2076,0.61121,0.70776,0.04132,11.6309,0.64407,0.85756,0.74457,0.3245,0,0,0,0,1.78167,21.9778,0.55763,1.33911,0.07255,0,0.0017822,0.0017822,0.0017822
13,57.5167,1.545,21.5599,0.59816,0.69808,0.0416,11.487,0.89824,0.92979,0.95863,0.4386,0,0,0,0,1.98158,20.9553,0.61006,1.02198,0.07961,0,0.0017624,0.0017624,0.0017624
14,61.4235,1.5778,21.2464,0.60257,0.73971,0.04288,11.1448,0.85889,0.89474,0.92868,0.3256,0,0,0,0,1.93674,22.1731,0.53111,0.88789,0.08283,0,0.0017426,0.0017426,0.0017426
15,65.3091,1.78019,20.9273,0.60275,0.78595,0.05139,11.7366,0.63962,0.68421,0.67928,0.27849,0,0,0,0,2.26512,20.4725,0.5778,1.15029,0.09304,0,0.0017228,0.0017228,0.0017228
16,69.2202,1.61898,20.9933,0.58835,0.74049,0.04289,11.0121,0.81686,0.93936,0.90187,0.46048,0,0,0,0,1.62222,21.7581,0.47793,0.89083,0.06563,0,0.001703,0.001703,0.001703
17,73.0959,1.55941,20.7553,0.59233,0.67499,0.04106,10.1842,0.81756,0.94359,0.92255,0.30728,0,0,0,0,2.14199,20.1036,0.5263,0.79431,0.08604,0,0.0016832,0.0016832,0.0016832
18,77.0024,1.60701,20.5971,0.57288,0.70385,0.04339,10.5357,0.89933,0.94063,0.93752,0.40844,0,0,0,0,1.93477,19.4756,0.48464,0.62133,0.08048,0,0.0016634,0.0016634,0.0016634
