epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.59541,2.06332,11.7071,0.71503,3.12198,2.30287,0.98198,0.95,0.98667,0.69246,0,0,0,0,1.05687,11.9202,0.69285,1.00848,1.71966,0.00018,0.00018,0.00018
2,10.305,0.92302,11.6394,0.66988,0.65108,1.40302,0.77509,0.9,0.86458,0.56408,0,0,0,0,1.4323,11.8881,0.6605,1.51855,2.3924,0.000376238,0.000376238,0.000376238
3,12.8508,0.81722,11.619,0.61345,0.558,1.28542,1,0.75,0.92628,0.67387,0,0,0,0,0.98079,11.8447,0.57887,2.43135,1.74731,0.000568516,0.000568516,0.000568516
4,15.3966,0.81463,11.5808,0.5682,0.56978,1.29587,0.86957,1,0.90326,0.67374,0,0,0,0,0.97315,11.707,0.51056,2.98622,2.1481,0.000756834,0.000756834,0.000756834
5,17.9294,0.85949,11.6586,0.53324,0.58815,1.31529,0.77313,0.8,0.77461,0.43003,0,0,0,0,1.76211,11.6565,0.41998,1.70077,2.24026,0.000941192,0.000941192,0.000941192
6,20.4827,0.85883,11.6901,0.49744,0.58271,1.31549,0.57239,0.4,0.42538,0.13818,0,0,0,0,3.19687,11.8905,0.54628,1.48457,3.24455,0.00112159,0.00112159,0.00112159
7,23.0013,0.81722,11.5779,0.47733,0.52951,1.28694,0.90414,0.8,0.87777,0.53895,0,0,0,0,1.34255,11.7086,0.39329,1.56401,2.00965,0.00129803,0.00129803,0.00129803
8,25.5367,0.8981,11.5296,0.46549,0.63009,1.34219,0.44582,0.35,0.31971,0.15054,0,0,0,0,2.52278,11.7606,0.4284,3.69798,2.85743,0.00147051,0.00147051,0.00147051
9,28.0966,0.89057,11.6277,0.4434,0.61063,1.32564,0.33058,0.4,0.1703,0.05214,0,0,0,0,2.78364,11.785,0.37059,2.71928,4.35973,0.00163902,0.00163902,0.00163902
10,30.6688,0.9241,11.4205,0.43846,0.62411,1.37706,0.58487,0.65,0.57227,0.3521,0,0,0,0,1.51947,11.7378,0.27471,2.68896,2.36873,0.00180358,0.00180358,0.00180358
11,33.1721,0.85114,11.6124,0.43917,0.58776,1.31883,0.57942,0.85,0.77649,0.40496,0,0,0,0,1.73919,11.6659,0.26506,1.60825,2.13271,0.001802,0.001802,0.001802
12,35.6924,0.86324,11.5066,0.42757,0.60045,1.32103,0.48791,0.76252,0.58183,0.15669,0,0,0,0,2.33996,11.8328,0.24594,2.29484,3.1809,0.0017822,0.0017822,0.0017822
13,38.2168,0.83547,11.3163,0.40983,0.5732,1.27942,0.94189,1,0.9569,0.65834,0,0,0,0,0.90874,11.7599,0.27912,1.02779,1.84336,0.0017624,0.0017624,0.0017624
