epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.92051,1.60101,97.7884,0.7163,1.99976,1.76765,0.97288,1,0.99449,0.69335,0,0,0,0,1.10433,94.4782,0.68484,0.94915,1.49707,0.00038,0.00038,0.00038
2,14.8595,1.10554,92.2086,0.69536,0.82619,1.32852,0.94595,0.92105,0.93765,0.59203,0,0,0,0,1.16528,83.1453,0.63706,2.61176,1.63241,0.000772278,0.000772278,0.000772278
3,19.5216,1.03093,88.1026,0.64159,0.77416,1.32845,0.67857,0.5,0.58097,0.17617,0,0,0,0,1.90151,89.51,0.49404,6.65989,2.18519,0.00115664,0.00115664,0.00115664
4,24.1374,1.09534,85.6066,0.59889,0.8505,1.4026,0.48827,0.89474,0.5563,0.16761,0,0,0,0,2.16743,95.6489,0.35403,5.42001,3.63732,0.00153307,0.00153307,0.00153307
5,28.7763,1.08379,84.0265,0.55816,0.79489,1.35857,0.53562,0.88033,0.64718,0.26579,0,0,0,0,2.0246,95.0053,0.29313,4.32009,2.7436,0.00190159,0.00190159,0.00190159
6,33.4276,1.13467,84.8947,0.54291,0.84441,1.38179,0.38343,0.71053,0.5014,0.25333,0,0,0,0,2.6246,91.1742,0.3144,16.1723,3.82145,0.001901,0.001901,0.001901
7,38.0608,1.14427,82.9864,0.53501,0.82377,1.42075,0.8331,0.91957,0.90002,0.45631,0,0,0,0,1.34056,75.8389,0.34371,2.34321,1.70153,0.0018812,0.0018812,0.0018812
8,42.7353,1.0717,75.8295,0.50666,0.7911,1.34694,0.7629,0.84685,0.86338,0.43543,0,0,0,0,1.32201,80.8765,0.31424,1.27993,1.59852,0.0018614,0.0018614,0.0018614
9,47.3893,1.07656,77.0746,0.49674,0.78126,1.35585,0.66852,0.84929,0.73125,0.27053,0,0,0,0,2.16188,84.6493,0.28347,1.80252,2.91377,0.0018416,0.0018416,0.0018416
10,52.0206,1.06986,73.6609,0.47477,0.7684,1.35811,0.89748,0.97368,0.91212,0.53463,0,0,0,0,1.37525,65.4655,0.31329,0.81188,1.96899,0.0018218,0.0018218,0.0018218
11,56.6483,0.9845,70.4383,0.4723,0.7172,1.28647,0.91709,0.97368,0.93246,0.61768,0.07052,0.10526,0.009,0.00102,1.19021,56.0152,0.35218,0.76329,1.50681,0.001802,0.001802,0.001802
12,61.2558,1.02232,67.058,0.47485,0.71236,1.33532,0.99235,1,0.995,0.72053,0.00253,0.02632,0.00012,1e-05,0.84511,53.7388,0.33398,0.55217,1.35804,0.0017822,0.0017822,0.0017822
13,65.9147,0.95425,65.4337,0.45871,0.66494,1.2794,0.92501,1,0.98713,0.70909,0.21244,0.21053,0.05169,0.00572,0.91759,50.5185,0.34884,0.79349,1.42798,0.0017624,0.0017624,0.0017624
14,70.5438,0.94201,66.1755,0.45297,0.6566,1.24202,0.93623,0.97368,0.99021,0.74151,0.23408,0.21053,0.08581,0.01214,0.89701,48.7685,0.34027,0.61261,1.31976,0.0017426,0.0017426,0.0017426
15,75.2202,0.95642,63.0479,0.44539,0.63643,1.27092,0.99706,1,0.995,0.79526,0.36832,0.36842,0.17192,0.02224,0.69199,46.5732,0.34816,0.50991,1.16833,0.0017228,0.0017228,0.0017228
16,79.8996,0.92172,64.306,0.44487,0.63803,1.26766,0.98955,1,0.995,0.75477,0.34475,0.39474,0.18544,0.02389,0.76139,44.7527,0.34298,0.57751,1.18654,0.001703,0.001703,0.001703
