epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.14218,2.07554,23.3569,0.7135,2.95252,2.39246,0.99393,1,0.995,0.69057,0,0,0,0,1.03714,23.7381,0.68955,1.08802,1.92556,0.00018,0.00018,0.00018
2,10.8026,1.11373,23.612,0.70927,0.75857,1.56829,0.99203,1,0.995,0.75838,0,0,0,0,0.84261,23.6786,0.67351,1.9686,1.85655,0.000376238,0.000376238,0.000376238
3,13.2823,0.98118,23.3758,0.68983,0.64931,1.47913,0.94453,1,0.995,0.73059,0,0,0,0,0.86699,23.5011,0.63892,2.18433,1.71102,0.000568516,0.000568516,0.000568516
4,15.7318,1.01395,23.3413,0.66236,0.64621,1.48422,0.76022,1,0.87364,0.57816,0,0,0,0,1.17016,23.2765,0.58011,2.29188,2.16322,0.000756834,0.000756834,0.000756834
5,18.1779,1.00488,23.1696,0.65426,0.67739,1.50597,0.28369,0.73684,0.26744,0.13487,0,0,0,0,1.65955,23.1803,1.35798,13.4666,3.55801,0.000941192,0.000941192,0.000941192
6,20.6178,0.94585,23.2732,0.65011,0.63422,1.44631,0.89992,1,0.98071,0.44373,0,0,0,0,1.5385,23.0988,0.56062,2.40323,2.80985,0.00112159,0.00112159,0.00112159
7,23.0515,0.96771,23.118,0.63681,0.62754,1.44575,0.38192,0.94737,0.41435,0.26043,0,0,0,0,1.21749,23.6142,0.69217,3.71407,2.13329,0.00129803,0.00129803,0.00129803
8,25.4686,1.06548,23.0316,0.61489,0.73585,1.54772,0.46008,0.57895,0.46257,0.15307,0,0,0,0,2.59494,23.3626,0.60717,2.5316,3.29442,0.00147051,0.00147051,0.00147051
9,27.916,1.05114,23.0978,0.61783,0.75491,1.49137,0.67818,0.55541,0.6018,0.20267,0,0,0,0,2.61202,23.2544,0.56416,2.41067,3.51128,0.00163902,0.00163902,0.00163902
10,30.3779,1.10523,22.9221,0.61099,0.76867,1.55498,0.66797,0.89474,0.87748,0.36691,0,0,0,0,1.89911,23.4172,0.53657,2.59582,2.80478,0.00180358,0.00180358,0.00180358
11,32.82,1.13783,22.9024,0.5927,0.75985,1.60391,0.94288,0.86948,0.95608,0.60877,0,0,0,0,1.25651,23.2209,0.50766,1.52173,2.5168,0.001802,0.001802,0.001802
12,35.2686,1.10572,23.0634,0.59418,0.74176,1.51895,0.85508,1,0.96692,0.64186,0,0,0,0,1.30722,23.3844,0.46511,1.64674,2.55211,0.0017822,0.0017822,0.0017822
13,37.7158,1.03425,23.0534,0.59585,0.65208,1.47944,0.93201,0.94737,0.98497,0.71666,0,0,0,0,1.1782,23.4253,0.42656,1.24275,2.29685,0.0017624,0.0017624,0.0017624
14,40.156,0.96484,22.8371,0.57793,0.62292,1.42636,0.94209,1,0.9925,0.5327,0,0,0,0,1.54807,23.2271,0.40888,1.42229,3.10773,0.0017426,0.0017426,0.0017426
15,42.6102,1.04968,22.4679,0.56937,0.71376,1.52451,0.99447,1,0.995,0.70333,0,0,0,0,0.9876,22.3819,0.51242,0.95203,1.93726,0.0017228,0.0017228,0.0017228
16,45.0636,0.99863,22.6446,0.56538,0.69074,1.45351,0.90096,1,0.9875,0.77258,0,0,0,0,0.93092,22.3354,0.53577,0.90212,1.81852,0.001703,0.001703,0.001703
17,47.54,0.94568,22.6469,0.56541,0.62967,1.39851,0.89871,1,0.9827,0.68435,0,0,0,0,0.9199,21.9413,0.45791,1.04103,1.70963,0.0016832,0.0016832,0.0016832
