epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,116.509,1.82766,5.81447,1.14898,0.13016,0.03812,13.0117,0.94846,0.96535,0.98674,0.6759,0.09861,0.07426,0.01086,0.00116,1.76672,4.12933,0.61941,0.10234,0.05689,0,0.000664474,0.000664474,0.000664474
2,221.528,1.90856,5.21594,0.80138,0.12043,0.04006,7.9802,0.97047,0.9762,0.99282,0.6037,0.01442,0.0099,0.00108,0.00011,2.02213,4.11916,0.59596,0.0818,0.06559,0,0.00131796,0.00131796,0.00131796
3,326.374,1.88559,4.97035,0.70723,0.12023,0.03927,7.10808,0.93813,0.90083,0.96891,0.55575,0.3913,0.32178,0.15677,0.02442,2.179,3.59827,0.67694,0.10373,0.07329,0,0.00195825,0.00195825,0.00195825
4,431.279,1.75739,4.65727,0.65019,0.10807,0.03621,6.24037,0.89705,0.93564,0.97767,0.73235,0.50827,0.43069,0.3191,0.05524,1.37621,3.03666,0.59241,0.09438,0.0428,0,0.0019406,0.0019406,0.0019406
5,536.525,1.66507,4.43609,0.61526,0.10512,0.03399,5.63969,0.92907,0.97266,0.98664,0.77238,0.54661,0.39109,0.30005,0.05491,1.27639,3.1691,0.60006,0.06374,0.04038,0,0.0019208,0.0019208,0.0019208
6,641.997,1.55769,4.31069,0.59185,0.09756,0.03119,5.26676,0.9306,0.82673,0.93043,0.63946,0.54863,0.37129,0.32468,0.06644,1.84466,3.26684,0.56703,0.16551,0.06474,0,0.001901,0.001901,0.001901
7,747.612,1.54781,4.1976,0.5775,0.0912,0.03108,4.98072,0.94776,0.9802,0.98538,0.81492,0.56964,0.4505,0.3716,0.07981,1.08901,2.92482,0.52831,0.05485,0.03234,0,0.0018812,0.0018812,0.0018812
8,853.265,1.42116,3.96913,0.54959,0.08272,0.0281,4.31772,0.96534,0.96517,0.99144,0.78477,0.64688,0.54455,0.48995,0.11706,1.25639,2.63387,0.53782,0.05951,0.03907,0,0.0018614,0.0018614,0.0018614
9,959.059,1.35816,3.85223,0.53371,0.07772,0.02666,4.01983,0.98536,0.97525,0.99311,0.8217,0.6054,0.59901,0.51012,0.14511,1.09926,2.51774,0.50008,0.04951,0.03376,0,0.0018416,0.0018416,0.0018416
10,1064.94,1.36559,3.79209,0.52874,0.0758,0.027,3.91038,0.95214,0.98485,0.99289,0.84588,0.71323,0.57921,0.56613,0.1614,0.98813,2.38885,0.49063,0.04641,0.02925,0,0.0018218,0.0018218,0.0018218
