image_name,insect_group,split,total length,head width,head length,inter ocular distance,right antenna length,left antenna length,thorax width,thorax length,abdomen width,abdomen length,intertegular distance,left hind wing length,right hind wing length,left hind wing width,right hind wing width,left fore wing length,right fore wing length,left fore wing width,right fore wing width,left hind leg length,left hind leg femur length,left hind leg tibia length,left hind leg tarsus length,right hind leg length,right hind leg femur length,right hind leg tibia length,right hind leg tarsus length
EB6.000.jpg,coleoptera,train,1075.55,244.67,216.28,160.46,669.64,612.21,305.58,198.01,398.57,661.26,138.85,,,,,667.98,660.85,198.1,192.85,,,349.37,282.5,,,334.37,314.24
EB6.004.jpg,coleoptera,train,198.67,41.74,38.13,25.96,82.38,114.65,51.41,33.22,63.57,127.32,14.68,,,,,123.34,123.4,19.58,44.04,,,63.85,55.51,,,54.19,55.69
EB6.006.jpg,coleoptera,train,243.72,46.97,46.49,27.42,74.09,100.69,54.9,45.93,72.85,151.3,27.38,,,,,148.24,146.32,20.55,51.82,,,74.85,61.53,,,70.0,65.34
EB6.007.jpg,coleoptera,train,232.42,41.04,46.68,21.34,109.5,126.79,49.33,44.12,66.78,141.62,18.45,,,,,138.88,136.81,21.77,45.14,,,72.21,33.94,,,67.2,57.07
EB6.00A.jpg,coleoptera,train,218.11,39.86,41.67,23.32,121.93,124.26,46.43,40.68,59.06,135.75,16.17,,,,,130.2,128.63,16.92,40.25,,,68.34,63.38,,,58.79,58.21
EB6.00C.jpg,coleoptera,train,234.83,45.56,45.5,26.92,80.98,106.82,47.92,41.89,66.55,147.44,18.12,,,,,138.76,135.74,20.05,44.02,,,69.55,51.34,,,61.74,49.98
EB6.00E.jpg,coleoptera,train,319.97,52.93,60.66,46.89,158.21,188.3,86.69,53.6,101.28,205.7,26.92,,,,,205.59,201.4,38.48,61.95,,,99.94,99.07,,,91.77,83.78
EB6.00H.jpg,coleoptera,train,363.67,64.72,56.04,38.02,167.57,208.55,94.42,63.08,124.2,244.55,44.03,,,,,126.64,237.31,122.78,79.35,,,117.46,103.72,,,101.89,102.17
EB6.00J.jpg,coleoptera,train,332.13,58.62,67.31,39.72,147.1,177.2,80.34,47.79,111.58,217.03,35.72,,,,,215.22,206.56,39.97,69.96,,,104.13,82.33,,,92.77,70.4
EB6.00K.jpg,coleoptera,train,351.2,60.69,69.62,39.47,164.45,185.39,80.23,54.49,113.96,227.09,44.32,,,,,222.78,208.3,44.95,68.9,,,102.66,74.61,,,89.83,93.78
EB6.00L.jpg,coleoptera,train,304.23,53.41,57.51,33.68,157.39,142.75,69.74,48.59,97.25,198.13,37.61,,,,,195.36,189.76,35.12,60.56,,,98.2,87.66,,,82.79,72.27
EB6.00M.jpg,coleoptera,train,320.34,56.56,58.86,39.22,120.4,104.46,70.01,53.83,109.29,207.65,33.73,,,,,206.66,204.16,54.04,55.29,,,95.92,66.62,,,87.02,70.49
EB6.00N.jpg,coleoptera,train,309.31,56.68,54.82,32.08,100.54,103.84,57.96,52.12,99.29,202.38,29.61,,,,,198.2,193.63,33.34,64.47,,,91.88,56.6,,,79.13,34.63
EB6.00Q.jpg,coleoptera,train,279.79,44.0,52.59,,96.86,94.23,59.7,43.24,90.26,183.96,28.65,,,,,179.12,175.43,33.1,44.31,,,83.98,68.87,,,66.29,74.08
EB6.00S.jpg,coleoptera,train,253.78,47.58,47.35,27.89,105.08,112.13,52.35,37.96,92.12,168.48,34.56,,,,,166.95,164.81,26.91,39.57,,,78.81,61.48,,,71.8,59.98
EB6.00T.jpg,coleoptera,train,154.82,39.75,25.98,22.57,39.98,34.31,38.1,27.04,42.36,101.8,16.21,,,,,97.07,96.01,19.09,,,,,,,,33.6,38.18
EB6.00V.jpg,coleoptera,train,175.8,42.67,34.73,19.24,44.47,36.97,38.76,31.97,50.45,109.1,18.94,,,,,102.46,100.07,22.19,18.15,,,37.16,40.68,,,30.14,39.0
EB6.010.jpg,coleoptera,train,167.98,38.75,32.69,14.75,37.3,29.9,31.28,28.0,45.98,107.29,14.7,,,,,100.15,100.05,17.7,28.22,,,,,,,47.24,37.28
EB6.013.jpg,coleoptera,train,142.09,41.64,14.21,21.1,37.39,30.17,34.84,28.08,47.37,99.8,15.65,,,,,97.42,95.43,19.61,16.08,,,34.67,32.79,,,27.59,38.47
EB6.016.jpg,coleoptera,train,166.29,41.61,27.52,24.45,46.66,31.44,43.2,35.97,54.11,102.8,18.2,,,,,102.18,98.67,22.3,24.73,,,41.92,29.22,,,36.06,27.14
EB6.018.jpg,coleoptera,train,156.75,43.01,24.36,18.92,46.42,29.38,44.54,29.36,49.03,103.02,17.93,,,,,98.81,100.23,22.08,26.27,,,37.67,34.96,,,30.28,29.6
EB6.019.jpg,coleoptera,train,154.54,43.65,16.33,15.64,41.68,42.29,37.16,30.85,44.96,107.37,17.69,,,,,101.19,98.17,18.82,24.27,,,38.99,40.08,,,36.29,37.2
EB6.01E.jpg,coleoptera,train,143.75,43.53,18.24,22.36,44.99,32.95,36.86,25.21,43.11,100.3,18.22,,,,,95.64,92.58,20.27,22.28,,,34.46,34.95,,,34.41,39.04
EB6.01F.jpg,coleoptera,train,159.65,47.13,25.61,23.59,43.3,39.61,37.11,31.82,47.65,102.22,21.18,,,,,102.05,96.76,18.64,26.02,,,40.35,40.71,,,34.12,39.67
EB6.01G.jpg,coleoptera,train,157.21,44.98,23.14,20.03,49.21,47.65,39.14,30.91,49.06,103.15,20.44,,,,,99.24,97.64,24.09,21.8,,,39.08,40.46,,,32.7,40.54
EB6.01H.jpg,coleoptera,train,153.19,43.64,18.48,21.44,45.06,38.47,40.42,32.8,46.73,101.91,15.49,,,,,100.1,97.03,19.94,27.92,,,38.97,40.75,,,30.33,40.63
