epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,46.517,3.05424,6.25454,1.36882,0.26621,0.09188,19.0651,0.82957,0.81683,0.82822,0.30687,0,0,0,0,3.25579,6.61412,0.91053,0.18125,0.11159,0,0.000660131,0.000660131,0.000660131
2,82.5438,2.81594,5.90534,1.1018,0.2092,0.08247,11.7625,0.56911,0.61881,0.44987,0.12488,0,0,0,0,3.93662,6.37403,0.74757,0.34799,0.16423,0,0.00132023,0.00132023,0.00132023
3,118.443,3.01602,5.83542,0.98418,0.24162,0.09226,11.8009,0.73381,0.70792,0.71847,0.18557,0,0,0,0,3.86352,6.44122,0.78643,0.28065,0.14881,0,0.00197373,0.00197373,0.00197373
4,154.308,2.98744,5.62243,0.89473,0.24388,0.09039,11.0453,0.32581,0.4802,0.30833,0.06711,0,0,0,0,4.55429,5.76797,0.78532,0.54577,0.1898,0,0.0019703,0.0019703,0.0019703
5,190.189,2.87517,5.47211,0.86224,0.25119,0.08566,10.2318,0.2807,0.42887,0.18152,0.04008,0,0,0,0,4.54758,6.15996,0.74823,0.40268,0.20095,0,0.0019604,0.0019604,0.0019604
6,226.178,2.73785,5.36477,0.84178,0.23401,0.08049,9.84034,0.77251,0.81188,0.84569,0.31453,0.00012,0.00495,0,0,3.09117,5.27796,0.59754,0.22583,0.11395,0,0.0019505,0.0019505,0.0019505
7,262.212,2.64737,5.16634,0.78578,0.23841,0.07615,9.08468,0.81051,0.84698,0.89798,0.40573,0,0,0,0,2.72906,4.97503,0.63715,0.17525,0.09565,0,0.0019406,0.0019406,0.0019406
8,298.332,2.54987,4.98574,0.74951,0.22236,0.07361,8.51536,0.91622,0.87624,0.95423,0.41873,0.02653,0.01485,0.00062,6e-05,2.86728,4.58247,0.54605,0.13238,0.09724,0,0.0019307,0.0019307,0.0019307
9,334.47,2.50921,4.80907,0.70939,0.2157,0.07154,7.89091,0.93364,0.89604,0.97199,0.4831,0.06061,0.05446,0.0069,0.00072,2.61511,4.28747,0.5275,0.12718,0.08993,0,0.0019208,0.0019208,0.0019208
10,370.71,2.42953,4.71514,0.68615,0.19641,0.06986,7.57988,0.89529,0.93118,0.96556,0.48158,0.1072,0.07921,0.01185,0.00129,2.57282,4.20834,0.51644,0.12021,0.0878,0,0.0019109,0.0019109,0.0019109
11,406.946,2.38052,4.66262,0.67413,0.19446,0.06787,7.47471,0.85894,0.92079,0.94635,0.50482,0.04698,0.0297,0.0025,0.00025,2.4033,4.39542,0.5356,0.12755,0.07991,0,0.001901,0.001901,0.001901
12,443.219,2.35025,4.4858,0.65862,0.1814,0.06701,7.1002,0.86121,0.86013,0.89841,0.34042,0.15768,0.13861,0.03859,0.00452,3.18601,4.00533,0.53231,0.1594,0.11717,0,0.0018911,0.0018911,0.0018911
13,479.483,2.28249,4.38327,0.66461,0.18536,0.06551,6.82374,0.93175,0.87865,0.96208,0.44908,0.18495,0.17822,0.06271,0.00812,2.67444,3.90854,0.50847,0.12228,0.08975,0,0.0018812,0.0018812,0.0018812
14,515.79,2.30492,4.4158,0.64279,0.18504,0.06491,6.86139,0.91434,0.88614,0.95759,0.39291,0.04598,0.03465,0.00277,0.0003,2.85019,4.29405,0.53365,0.14457,0.10003,0,0.0018713,0.0018713,0.0018713
15,552.064,2.25537,4.35297,0.65039,0.1854,0.06377,6.61646,0.94361,0.91118,0.96482,0.46383,0.26981,0.16337,0.07267,0.00902,2.66843,3.78899,0.53174,0.11869,0.09171,0,0.0018614,0.0018614,0.0018614
16,588.427,2.21098,4.21246,0.62378,0.17484,0.06187,6.35192,0.92038,0.97284,0.98672,0.57739,0.25227,0.17822,0.06188,0.00797,2.24779,3.86277,0.49885,0.08853,0.07358,0,0.0018515,0.0018515,0.0018515
17,624.827,2.19279,4.25539,0.63407,0.1721,0.062,6.52605,0.91628,0.93564,0.98135,0.56442,0.21522,0.17327,0.05494,0.00651,2.16168,3.7032,0.50882,0.10471,0.07037,0,0.0018416,0.0018416,0.0018416
18,661.223,2.13831,4.18106,0.64895,0.16828,0.06041,6.41562,0.92951,0.90594,0.9737,0.56087,0.17934,0.15347,0.03955,0.0057,2.21499,3.91277,0.53198,0.09825,0.0723,0,0.0018317,0.0018317,0.0018317
19,697.584,2.13809,4.14403,0.62853,0.1734,0.05999,6.24756,0.94246,0.89196,0.97769,0.44725,0.19314,0.13861,0.04047,0.00711,2.7838,3.786,0.5194,0.11602,0.0964,0,0.0018218,0.0018218,0.0018218
20,734.065,2.13576,4.08779,0.60965,0.17514,0.05856,6.09424,0.97391,0.9241,0.98536,0.59329,0.2189,0.18812,0.07508,0.00868,2.12779,3.63392,0.49114,0.09562,0.06939,0,0.0018119,0.0018119,0.0018119
21,770.527,2.1087,4.05815,0.61126,0.16476,0.05767,5.78087,0.96688,0.90099,0.97832,0.47232,0.27162,0.25248,0.10123,0.01497,2.77676,3.70789,0.50137,0.11021,0.09777,0,0.001802,0.001802,0.001802
22,806.932,2.06327,4.04907,0.5981,0.16465,0.05714,5.93231,0.95623,0.97343,0.99066,0.59246,0.24871,0.24257,0.09043,0.01203,2.09247,3.65309,0.52396,0.08301,0.0671,0,0.0017921,0.0017921,0.0017921
23,843.461,2.0521,3.96778,0.60342,0.16375,0.05683,5.72792,0.94142,0.88119,0.97002,0.48448,0.47938,0.28713,0.2163,0.03486,2.59469,3.60431,0.52746,0.11404,0.0899,0,0.0017822,0.0017822,0.0017822
24,879.953,2.04467,3.96632,0.58327,0.16122,0.05652,5.67087,0.9679,0.9604,0.98934,0.5963,0.39998,0.35149,0.2256,0.03581,2.08978,3.35625,0.50535,0.07831,0.06678,0,0.0017723,0.0017723,0.0017723
