epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4915,0.81863,3.41886,0.14016,0.44435,0.01648,0.65156,0.99542,0.97872,0.9942,0.84293,0.93503,0.92553,0.93126,0.34441,0.69649,2.844,0.12152,0.22527,0.01349,0,0.000652482,0.000652482,0.000652482
2,32.3212,0.77728,3.31832,0.14279,0.4022,0.01558,0.51464,0.98611,0.98936,0.99418,0.84317,0.91557,0.92293,0.91588,0.33844,0.69576,2.8516,0.12187,0.22375,0.0135,0,0.00128782,0.00128782,0.00128782
3,46.0463,0.76698,3.21965,0.13928,0.37256,0.015,0.40598,0.98943,0.9961,0.99437,0.83899,0.91882,0.92553,0.91742,0.34231,0.70286,2.85788,0.12158,0.22455,0.01368,0,0.00189149,0.00189149,0.00189149
4,59.7834,0.7869,3.32913,0.14071,0.40478,0.01518,0.4541,0.99565,0.98936,0.99489,0.82975,0.91192,0.93617,0.91795,0.3408,0.71952,2.87052,0.12151,0.22671,0.01406,0,0.0018575,0.0018575,0.0018575
5,73.4843,0.77533,3.10005,0.13764,0.40186,0.01557,0.51966,0.99553,1,0.995,0.83123,0.93649,0.9412,0.93496,0.34671,0.71536,2.84998,0.1212,0.22186,0.01402,0,0.00181,0.00181,0.00181
6,87.1973,0.76142,3.48378,0.14407,0.37006,0.01495,0.56628,1,0.9951,0.995,0.83515,0.93993,0.93617,0.93424,0.34305,0.71983,2.87179,0.12156,0.22594,0.01417,0,0.0017625,0.0017625,0.0017625
7,100.943,0.76632,3.29907,0.14078,0.3839,0.01568,0.65988,1,0.99478,0.995,0.83193,0.94349,0.93617,0.93547,0.34466,0.72278,2.8766,0.12165,0.22669,0.01428,0,0.001715,0.001715,0.001715
8,114.636,0.76562,3.23353,0.14063,0.40093,0.01562,0.56443,1,0.9862,0.99489,0.83946,0.93567,0.92839,0.93445,0.34901,0.70512,2.87989,0.12156,0.227,0.01394,0,0.0016675,0.0016675,0.0016675
9,128.376,0.76119,3.31,0.13952,0.37352,0.01528,0.52908,1,0.9846,0.99479,0.84244,0.91594,0.92731,0.92064,0.35001,0.7027,2.87326,0.12161,0.22901,0.0138,0,0.00162,0.00162,0.00162
10,142.096,0.74821,3.25506,0.13673,0.36548,0.01498,0.43143,0.99506,0.97872,0.99469,0.83735,0.94265,0.92553,0.93045,0.34201,0.70977,2.89792,0.12154,0.2261,0.01383,0,0.0015725,0.0015725,0.0015725
11,155.77,0.76367,3.23607,0.14157,0.37108,0.01516,0.46645,0.98939,0.99171,0.99489,0.83107,0.92573,0.92827,0.92126,0.34539,0.71163,2.90356,0.12133,0.239,0.01408,0,0.001525,0.001525,0.001525
12,169.476,0.78441,3.38697,0.1465,0.38303,0.01551,0.54457,0.99706,0.98936,0.99489,0.83138,0.93274,0.92553,0.92146,0.34734,0.71248,2.89105,0.12194,0.23775,0.01408,0,0.0014775,0.0014775,0.0014775
13,183.179,0.78502,3.33699,0.14062,0.40864,0.01583,0.56869,1,0.9944,0.995,0.83297,0.93539,0.92417,0.92136,0.34089,0.71169,2.92303,0.1219,0.24352,0.01404,0,0.00143,0.00143,0.00143
14,196.869,0.76547,3.22801,0.14181,0.36493,0.01515,0.40691,1,0.97129,0.9939,0.82865,0.93395,0.90258,0.91894,0.34935,0.71464,2.8831,0.12183,0.24694,0.01395,0,0.0013825,0.0013825,0.0013825
15,210.571,0.78021,3.28689,0.13924,0.40007,0.01568,0.51179,1,0.98626,0.99422,0.83263,0.93067,0.90426,0.91966,0.34498,0.7184,2.87922,0.12174,0.24363,0.01408,0,0.001335,0.001335,0.001335
16,224.281,0.7476,3.3449,0.14308,0.35561,0.01511,0.54133,0.98653,0.98936,0.99431,0.83146,0.93401,0.90348,0.91909,0.34541,0.71566,2.86236,0.12178,0.24101,0.01408,0,0.0012875,0.0012875,0.0012875
17,237.974,0.76281,3.19667,0.14316,0.37474,0.0149,0.42533,0.98934,1,0.995,0.83137,0.93061,0.91489,0.9197,0.35103,0.71889,2.84625,0.1217,0.2347,0.01408,0,0.00124,0.00124,0.00124
18,251.683,0.74287,3.2276,0.13589,0.38295,0.01444,0.38364,0.99404,0.98936,0.99489,0.82986,0.93516,0.92065,0.92039,0.34631,0.71749,2.88833,0.12194,0.23651,0.01424,0,0.0011925,0.0011925,0.0011925
19,265.368,0.77175,3.33978,0.13764,0.39101,0.01505,0.46254,0.98634,1,0.995,0.83676,0.93467,0.91326,0.92063,0.35005,0.71317,2.89194,0.12167,0.22535,0.01401,0,0.001145,0.001145,0.001145
20,279.074,0.75844,3.2458,0.142,0.37739,0.01512,0.37283,0.98942,0.99484,0.99489,0.83995,0.93512,0.92003,0.9218,0.34528,0.70505,2.89278,0.12162,0.23275,0.01387,0,0.0010975,0.0010975,0.0010975
21,292.791,0.77271,3.16028,0.14026,0.38182,0.01585,0.49437,0.9791,0.99672,0.99469,0.833,0.91508,0.91714,0.92055,0.34818,0.70798,2.88246,0.1217,0.23428,0.01397,0,0.00105,0.00105,0.00105
