epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,9.89428,0.87985,5.0788,0.20039,0.59549,0.02752,5.40163,0.99837,0.97436,0.99357,0.85606,0.83749,0.7929,0.75123,0.15488,0.55134,3.74755,0.22584,0.1791,0.02039,0,0.00038,0.00038,0.00038
2,15.9422,0.86051,5.03964,0.19969,0.53953,0.02636,5.13335,1,0.99334,0.995,0.84658,0.814,0.79487,0.72315,0.15885,0.5415,3.77132,0.2307,0.15594,0.0199,0,0.000761475,0.000761475,0.000761475
3,22.005,0.78967,4.87067,0.20161,0.46224,0.02329,4.65451,0.99855,0.97436,0.99402,0.84483,0.76102,0.74359,0.69113,0.155,0.53629,3.78816,0.23326,0.2237,0.01985,0,0.00112395,0.00112395,0.00112395
4,28.0644,0.85746,4.96807,0.18976,0.49758,0.02635,5.19687,1,0.99019,0.995,0.84571,0.74203,0.74359,0.68218,0.1522,0.54904,3.81732,0.23324,0.17539,0.02035,0,0.00146743,0.00146743,0.00146743
5,34.1421,0.8191,5.00037,0.18921,0.4359,0.02385,4.58752,1,0.9723,0.99357,0.84685,0.7629,0.74254,0.70904,0.15252,0.55272,3.82816,0.23078,0.226,0.0206,0,0.0017919,0.0017919,0.0017919
6,40.2121,0.84529,4.85968,0.19249,0.44353,0.02488,4.66117,0.99553,1,0.995,0.843,0.7964,0.74359,0.70476,0.1381,0.55257,3.83056,0.23032,0.15999,0.02037,0,0.0017625,0.0017625,0.0017625
7,46.3181,0.85138,4.82828,0.18644,0.45158,0.02506,4.59984,0.99177,1,0.995,0.84667,0.78825,0.76371,0.69544,0.14032,0.54019,3.81976,0.23046,0.16476,0.01988,0,0.001715,0.001715,0.001715
8,52.3855,0.78583,4.79303,0.1944,0.43008,0.02271,4.68568,0.99826,1,0.995,0.84299,0.76775,0.76923,0.69778,0.14319,0.54642,3.82569,0.23146,0.15065,0.02018,0,0.0016675,0.0016675,0.0016675
9,58.4442,0.81798,4.98953,0.1853,0.4575,0.02391,4.84167,0.99749,1,0.995,0.84308,0.79225,0.79487,0.71563,0.14878,0.55655,3.81707,0.23219,0.15828,0.02051,0,0.00162,0.00162,0.00162
10,64.5176,0.8016,4.82863,0.19853,0.37613,0.02311,4.64544,0.99792,1,0.995,0.8427,0.79297,0.79487,0.71687,0.14355,0.55105,3.82239,0.2337,0.15839,0.02031,0,0.0015725,0.0015725,0.0015725
11,70.5722,0.76555,4.57748,0.19179,0.40646,0.02333,4.74499,0.99874,1,0.995,0.84209,0.79345,0.79487,0.71545,0.14397,0.55813,3.80801,0.23319,0.15863,0.02061,0,0.001525,0.001525,0.001525
12,76.6215,0.8148,4.98245,0.19149,0.42445,0.02487,4.86151,0.99856,1,0.995,0.8424,0.79368,0.79487,0.71386,0.14466,0.56704,3.80821,0.23424,0.15346,0.02087,0,0.0014775,0.0014775,0.0014775
13,82.6547,0.82646,4.8745,0.18575,0.37118,0.02557,4.98133,0.99887,1,0.995,0.84423,0.79341,0.79487,0.7173,0.14699,0.5602,3.81237,0.23219,0.15454,0.02064,0,0.00143,0.00143,0.00143
14,88.7008,0.77201,4.8479,0.18836,0.37828,0.0227,4.64139,0.9984,1,0.995,0.84652,0.79354,0.79487,0.71558,0.14844,0.54803,3.80245,0.235,0.15277,0.02003,0,0.0013825,0.0013825,0.0013825
15,94.7761,0.81841,4.8641,0.18405,0.41738,0.02445,4.89276,0.99952,1,0.995,0.84151,0.78566,0.76923,0.67233,0.14086,0.55591,3.80554,0.23371,0.15929,0.02032,0,0.001335,0.001335,0.001335
16,100.838,0.77955,4.61795,0.18032,0.38802,0.02366,4.70233,0.99795,1,0.995,0.8415,0.76762,0.76923,0.67108,0.14226,0.55911,3.784,0.23521,0.16143,0.02054,0,0.0012875,0.0012875,0.0012875
17,106.904,0.77536,4.96077,0.18561,0.40368,0.02295,4.83857,0.99765,1,0.995,0.84196,0.78854,0.76503,0.67239,0.14174,0.565,3.77852,0.23237,0.16578,0.02072,0,0.00124,0.00124,0.00124
18,112.957,0.75922,4.74277,0.18856,0.38999,0.02327,4.79632,0.99855,1,0.995,0.8398,0.76804,0.76923,0.67305,0.14152,0.56323,3.77858,0.23459,0.15069,0.02066,0,0.0011925,0.0011925,0.0011925
19,119.009,0.79273,4.95009,0.18271,0.44057,0.02405,5.08097,0.9973,1,0.995,0.84318,0.79263,0.79487,0.72302,0.14815,0.55796,3.77566,0.23518,0.15681,0.02049,0,0.001145,0.001145,0.001145
20,125.076,0.80181,4.69158,0.18547,0.43083,0.02366,4.66065,0.9954,1,0.995,0.84209,0.79114,0.79487,0.70834,0.14514,0.5583,3.78153,0.23508,0.16605,0.02047,0,0.0010975,0.0010975,0.0010975
21,131.179,0.77562,4.88991,0.19368,0.3675,0.0237,4.86576,1,0.99438,0.995,0.8393,0.78874,0.76595,0.6767,0.14442,0.55316,3.78533,0.23542,0.17447,0.02024,0,0.00105,0.00105,0.00105
