epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,7.81329,0.97862,6.46002,0.36996,0.63261,0.03148,7.45216,0.99928,1,0.995,0.85427,0.33219,0.31579,0.16196,0.032,0.62857,4.97043,0.38248,0.18093,0.02301,0,0.00018,0.00018,0.00018
2,11.0328,0.95209,6.25929,0.37635,0.58077,0.03045,7.13565,0.94677,1,0.9925,0.84533,0.29725,0.31579,0.1408,0.02577,0.63019,4.95511,0.3736,0.21312,0.02299,0,0.000370975,0.000370975,0.000370975
3,14.2023,0.94935,6.00607,0.35436,0.64191,0.02863,6.47505,0.99683,1,0.995,0.8304,0.32192,0.31579,0.105,0.01835,0.64488,4.95091,0.37363,0.17078,0.02356,0,0.00055245,0.00055245,0.00055245
4,17.3812,0.93261,6.31967,0.38367,0.60776,0.03025,7.28539,0.99735,1,0.995,0.83356,0.32517,0.31579,0.1159,0.02295,0.6544,4.95603,0.37307,0.1681,0.02392,0,0.000724425,0.000724425,0.000724425
5,20.5467,0.86952,6.00256,0.36041,0.53754,0.02702,6.35659,0.99721,1,0.995,0.83093,0.32323,0.31579,0.11976,0.02605,0.66124,4.95755,0.3711,0.17011,0.02413,0,0.0008869,0.0008869,0.0008869
6,23.6951,0.88316,6.08284,0.37764,0.47619,0.02627,6.22596,0.99726,1,0.995,0.82604,0.37813,0.36842,0.16583,0.03262,0.67128,4.96433,0.37183,0.17217,0.0245,0,0.00103987,0.00103987,0.00103987
7,26.8352,0.91243,5.86851,0.36214,0.57049,0.02839,6.53259,0.99714,1,0.995,0.81721,0.37433,0.36842,0.16361,0.03276,0.67644,4.97575,0.37044,0.17401,0.02471,0,0.00118335,0.00118335,0.00118335
8,29.9618,0.85844,5.75471,0.35798,0.46915,0.02654,6.69332,0.99702,1,0.995,0.81893,0.31617,0.31579,0.13083,0.02847,0.67737,4.97737,0.37028,0.17613,0.02479,0,0.00131732,0.00131732,0.00131732
9,33.0945,0.86029,5.71976,0.32919,0.47959,0.02605,5.7345,0.99453,1,0.995,0.83166,0.31531,0.31579,0.16416,0.03527,0.67622,4.97421,0.36999,0.18906,0.02478,0,0.0014418,0.0014418,0.0014418
10,36.2299,0.867,5.73736,0.33352,0.48713,0.02647,5.98467,1,0.99788,0.995,0.83756,0.32575,0.31579,0.15875,0.03748,0.66881,4.9577,0.36741,0.20379,0.02449,0,0.00155678,0.00155678,0.00155678
11,39.3462,0.93672,5.93621,0.33375,0.50261,0.0279,6.02479,1,0.99245,0.995,0.83656,0.38159,0.36842,0.24802,0.04119,0.66455,4.9033,0.36776,0.2046,0.02436,0,0.001525,0.001525,0.001525
12,42.4922,0.88875,6.03268,0.31727,0.56129,0.02648,5.92405,0.99663,1,0.995,0.8411,0.3998,0.42072,0.30233,0.05273,0.65885,4.95952,0.36463,0.17253,0.02428,0,0.0014775,0.0014775,0.0014775
13,45.6181,0.84505,5.32666,0.31811,0.47412,0.0258,5.99011,0.99666,1,0.995,0.84299,0.37981,0.36842,0.25996,0.04228,0.65683,4.8934,0.36546,0.19657,0.02415,0,0.00143,0.00143,0.00143
