epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1875,0.77725,4.05758,0.21437,0.41623,0.019,1.3035,0.97917,1,0.99422,0.85065,0.93983,0.96,0.95138,0.35357,0.61837,2.61189,0.17459,0.18607,0.01722,0,0.0005,0.0005,0.0005
2,23.8965,0.77259,3.99596,0.21098,0.42577,0.01791,0.98312,0.98033,0.99666,0.99461,0.84641,0.94098,0.95666,0.95049,0.36134,0.62799,2.62422,0.17389,0.19504,0.0174,0,0.000995775,0.000995775,0.000995775
3,31.5792,0.75216,3.71777,0.20233,0.40921,0.01732,0.85314,0.99853,1,0.995,0.84808,0.95876,0.96,0.95378,0.36781,0.63455,2.65398,0.17458,0.16742,0.0177,0,0.00146685,0.00146685,0.00146685
4,39.589,0.70669,3.74222,0.20477,0.37327,0.01593,0.7888,0.99849,1,0.995,0.8515,0.95805,0.96,0.95255,0.36395,0.62277,2.65409,0.17507,0.18181,0.01741,0,0.0018575,0.0018575,0.0018575
5,47.4218,0.74125,3.7075,0.20332,0.39756,0.01703,0.74922,1,0.99707,0.995,0.8521,0.95989,0.95725,0.95173,0.36957,0.6174,2.61664,0.17512,0.18081,0.01732,0,0.00181,0.00181,0.00181
6,55.2221,0.71048,3.53135,0.20087,0.36823,0.01531,0.5854,0.99872,1,0.995,0.84894,0.95865,0.96,0.95212,0.36051,0.62759,2.61637,0.17544,0.17477,0.01771,0,0.0017625,0.0017625,0.0017625
7,62.9808,0.74546,3.59253,0.20458,0.36662,0.0171,0.74374,0.99938,1,0.995,0.84027,0.9593,0.96,0.95297,0.36995,0.6476,2.61634,0.1756,0.17638,0.0184,0,0.001715,0.001715,0.001715
8,70.7034,0.70798,3.5593,0.20181,0.32846,0.01601,0.88871,1,0.99653,0.995,0.83744,0.95986,0.95666,0.95217,0.36917,0.65776,2.60665,0.17586,0.18695,0.01874,0,0.0016675,0.0016675,0.0016675
9,78.4868,0.72703,3.73303,0.19558,0.34938,0.01709,0.87986,0.99797,0.98,0.99461,0.84389,0.95717,0.94,0.95176,0.36199,0.63467,2.62174,0.17578,0.18099,0.01798,0,0.00162,0.00162,0.00162
10,86.2588,0.7132,3.51036,0.19113,0.37816,0.01644,0.84158,1,0.99911,0.995,0.84852,0.95997,0.95918,0.9518,0.36617,0.62416,2.61176,0.17601,0.17296,0.0177,0,0.0015725,0.0015725,0.0015725
