epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5655,2.11129,10.7679,0.61416,1.52544,0.06174,19.7348,0.92786,0.89604,0.91448,0.31031,0,0,0,0,2.20101,10.8606,0.47005,0.73005,0.07829,0,0.000660131,0.000660131,0.000660131
2,60.6762,1.78815,9.77609,0.52943,0.88832,0.0504,11.0685,0.86347,0.87129,0.8797,0.28852,0,0,0,0,2.33707,10.4492,0.38853,0.80389,0.08708,0,0.00131804,0.00131804,0.00131804
3,85.6429,1.78234,9.43353,0.50669,0.91604,0.05184,10.5247,0.77827,0.84158,0.81377,0.25602,0,0,0,0,2.5078,10.1659,0.41477,0.87206,0.09597,0,0.00196715,0.00196715,0.00196715
4,110.646,1.79147,9.09107,0.47003,0.93967,0.05172,9.79069,0.85008,0.82178,0.81254,0.197,0,0,0,0,2.80189,9.24345,0.34037,0.79195,0.11242,0,0.0019604,0.0019604,0.0019604
5,135.65,1.75869,8.76075,0.436,0.90069,0.04991,9.15448,0.89833,0.91857,0.92067,0.33874,0.03251,0.0297,0.00142,0.00016,2.21933,7.83831,0.29312,0.76097,0.07927,0,0.0019472,0.0019472,0.0019472
6,160.731,1.78549,8.59565,0.40293,0.89784,0.05056,8.69667,0.8921,0.83663,0.8713,0.30514,0.01125,0.0099,0.0001,1e-05,2.40837,8.37186,0.30673,0.93345,0.09027,0,0.001934,0.001934,0.001934
7,185.841,1.64757,8.21236,0.36723,0.88628,0.0457,7.89739,0.8678,0.92079,0.93979,0.3426,0.02067,0.0198,0.00047,5e-05,2.26084,7.66894,0.27724,0.75157,0.08374,0,0.0019208,0.0019208,0.0019208
8,210.986,1.63415,8.04448,0.35061,0.83549,0.04502,7.66754,0.94661,0.96555,0.99033,0.43,0.01507,0.01485,0.00023,3e-05,1.89621,7.83703,0.27729,0.49603,0.06524,0,0.0019076,0.0019076,0.0019076
9,236.143,1.60756,7.67782,0.33862,0.84532,0.04396,7.09583,0.93985,0.92819,0.96309,0.43387,0.05672,0.03465,0.00583,0.00063,1.8947,7.09422,0.25619,1.00819,0.06441,0,0.0018944,0.0018944,0.0018944
10,261.39,1.5486,7.59538,0.32629,0.78532,0.04258,6.88289,0.97011,0.96403,0.98813,0.48144,0.1015,0.07921,0.01932,0.00224,1.81527,7.61892,0.245,0.47727,0.05992,0,0.0018812,0.0018812,0.0018812
