epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3273,0.82045,3.42243,0.14028,0.44581,0.01649,0.65638,0.96313,1,0.99329,0.83752,0.89993,0.93617,0.91361,0.34054,0.69204,2.85451,0.12184,0.23351,0.01341,0,0.000652482,0.000652482,0.000652482
2,34.7697,0.78362,3.33403,0.14296,0.39823,0.01569,0.53491,0.98941,0.9936,0.99353,0.83951,0.9239,0.94681,0.92972,0.33577,0.7039,2.85215,0.12257,0.23209,0.01369,0,0.00130282,0.00130282,0.00130282
3,50.0422,0.76635,3.23948,0.13953,0.36938,0.01509,0.42631,0.98942,0.9948,0.99405,0.82897,0.93068,0.93617,0.93134,0.33986,0.70914,2.8845,0.12213,0.23631,0.01396,0,0.00193667,0.00193667,0.00193667
4,65.3227,0.78969,3.34249,0.14074,0.39568,0.01524,0.46982,0.9894,0.99286,0.99395,0.82062,0.92168,0.94681,0.92408,0.34581,0.72947,2.83694,0.12209,0.24094,0.01442,0,0.00192575,0.00192575,0.00192575
5,80.5805,0.77581,3.10585,0.13777,0.38922,0.01557,0.53307,0.98942,0.99479,0.99416,0.81631,0.9259,0.94681,0.93115,0.34195,0.73849,2.85904,0.12238,0.23873,0.0146,0,0.001901,0.001901,0.001901
6,95.8353,0.76884,3.48668,0.14444,0.38533,0.01507,0.59445,0.98943,0.99548,0.99416,0.81813,0.93656,0.94228,0.93118,0.33915,0.74904,2.86811,0.12237,0.23694,0.01501,0,0.00187625,0.00187625,0.00187625
7,111.101,0.77581,3.35339,0.14117,0.39439,0.01585,0.6984,0.98933,0.98649,0.99355,0.82412,0.936,0.93352,0.9307,0.34263,0.72405,2.8915,0.12214,0.23498,0.01435,0,0.0018515,0.0018515,0.0018515
8,126.374,0.7769,3.25731,0.14115,0.39892,0.01578,0.60061,0.98943,0.99624,0.99395,0.82281,0.93662,0.94328,0.93096,0.34204,0.72723,2.85174,0.12178,0.23411,0.01447,0,0.00182675,0.00182675,0.00182675
9,141.706,0.76163,3.32796,0.14088,0.38614,0.01531,0.56128,0.97891,0.98745,0.9926,0.82063,0.91563,0.92362,0.91362,0.33828,0.72379,2.87082,0.12145,0.25754,0.01404,0,0.001802,0.001802,0.001802
10,156.987,0.75202,3.26673,0.13661,0.37443,0.0151,0.46585,0.97352,0.98936,0.99295,0.81712,0.91533,0.93617,0.93016,0.34473,0.73445,2.89151,0.12201,0.24526,0.01444,0,0.00177725,0.00177725,0.00177725
11,172.27,0.76968,3.26238,0.14181,0.37351,0.01526,0.50779,0.96851,0.98149,0.99312,0.81657,0.91606,0.92878,0.93077,0.33864,0.7325,2.81042,0.1226,0.23053,0.01455,0,0.0017525,0.0017525,0.0017525
12,187.568,0.79047,3.41002,0.14642,0.38353,0.01558,0.56233,0.97909,0.99615,0.99405,0.82381,0.91637,0.93254,0.9138,0.33899,0.72785,2.81716,0.12334,0.22543,0.01451,0,0.00172775,0.00172775,0.00172775
13,202.887,0.79422,3.34449,0.14002,0.40651,0.01616,0.60569,0.96872,0.98826,0.99365,0.82249,0.9166,0.93541,0.9312,0.3473,0.7223,2.81892,0.12334,0.22303,0.01435,0,0.001703,0.001703,0.001703
14,218.207,0.77528,3.26282,0.14181,0.37544,0.01545,0.43771,0.95851,0.9832,0.99236,0.82339,0.89003,0.91489,0.91177,0.33577,0.72087,2.84996,0.12233,0.23965,0.01404,0,0.00167825,0.00167825,0.00167825
15,233.54,0.78283,3.30085,0.13976,0.40488,0.01575,0.54542,0.96262,1,0.99288,0.82216,0.90375,0.90426,0.91105,0.33747,0.72776,2.88039,0.12222,0.23521,0.01435,0,0.0016535,0.0016535,0.0016535
16,248.894,0.75629,3.37544,0.14419,0.35936,0.01529,0.57093,0.9573,1,0.99279,0.81955,0.88201,0.92553,0.90894,0.3308,0.72306,2.87083,0.12194,0.23608,0.01428,0,0.00162875,0.00162875,0.00162875
17,264.231,0.77408,3.20187,0.14299,0.3721,0.01516,0.42507,0.95812,0.9735,0.99197,0.81826,0.88566,0.90645,0.90846,0.33705,0.73407,2.84778,0.12215,0.24563,0.0146,0,0.001604,0.001604,0.001604
18,279.56,0.7575,3.25435,0.13578,0.39182,0.01471,0.39893,0.989,0.95671,0.99214,0.81442,0.87564,0.92553,0.90905,0.33717,0.73944,2.87043,0.12253,0.24891,0.01493,0,0.00157925,0.00157925,0.00157925
19,294.964,0.78125,3.34228,0.1377,0.40018,0.01524,0.48098,0.96717,0.98936,0.99279,0.82069,0.8923,0.91489,0.90884,0.33519,0.73948,2.85824,0.12184,0.24942,0.01455,0,0.0015545,0.0015545,0.0015545
20,310.326,0.76702,3.25371,0.14185,0.37359,0.01529,0.38182,0.96742,0.97872,0.99269,0.82386,0.90483,0.90426,0.9093,0.3337,0.7186,2.86527,0.1217,0.23782,0.01415,0,0.00152975,0.00152975,0.00152975
21,325.684,0.78823,3.18806,0.13992,0.3795,0.01611,0.51244,0.96851,0.9816,0.99314,0.82454,0.90557,0.91818,0.91116,0.33172,0.72676,2.84053,0.12262,0.22944,0.01461,0,0.001505,0.001505,0.001505
22,341.074,0.74623,3.13671,0.13731,0.35117,0.01493,0.46619,0.95558,0.97872,0.99207,0.82252,0.90327,0.92553,0.92776,0.33785,0.71861,2.82975,0.12268,0.236,0.01459,0,0.00148025,0.00148025,0.00148025
23,356.438,0.79932,3.36335,0.1397,0.41002,0.01658,0.6627,0.91949,1,0.99095,0.81707,0.87046,0.94681,0.92358,0.33828,0.72949,2.85563,0.12171,0.24802,0.01477,0,0.0014555,0.0014555,0.0014555
24,371.801,0.77578,3.28919,0.14315,0.38053,0.01526,0.51213,0.97891,0.98756,0.99331,0.8245,0.91472,0.91288,0.91167,0.34205,0.73362,2.87947,0.12195,0.23299,0.01489,0,0.00143075,0.00143075,0.00143075
25,387.199,0.76384,3.14415,0.14009,0.3521,0.01504,0.58589,0.96905,0.99941,0.99331,0.82067,0.90838,0.94929,0.94432,0.34112,0.73141,2.88481,0.12159,0.23029,0.01479,0,0.001406,0.001406,0.001406
26,402.58,0.76102,3.23701,0.13845,0.3647,0.01536,0.37255,0.97863,0.9743,0.99312,0.81662,0.92527,0.90426,0.92935,0.34528,0.74024,2.85098,0.12201,0.23944,0.01488,0,0.00138125,0.00138125,0.00138125
27,417.963,0.75359,3.27916,0.14139,0.35429,0.01515,0.47485,0.97829,0.98936,0.99362,0.81683,0.92648,0.93838,0.94434,0.34524,0.7329,2.84112,0.12203,0.23998,0.01478,0,0.0013565,0.0013565,0.0013565
28,433.334,0.74118,3.16188,0.13902,0.35075,0.01511,0.51848,0.97905,0.99437,0.99394,0.82269,0.89925,0.93617,0.92544,0.34539,0.72753,2.86783,0.12133,0.23861,0.01448,0,0.00133175,0.00133175,0.00133175
29,448.743,0.74217,3.22731,0.13532,0.35612,0.0152,0.46459,0.97235,0.97872,0.99291,0.82055,0.89375,0.94681,0.91997,0.34308,0.72475,2.86469,0.12174,0.23985,0.01452,0,0.001307,0.001307,0.001307
30,464.125,0.74768,3.32552,0.1355,0.36656,0.01467,0.41159,0.97324,0.97872,0.9928,0.81765,0.89207,0.94681,0.91928,0.34357,0.75484,2.84535,0.12172,0.2531,0.01554,0,0.00128225,0.00128225,0.00128225
31,479.501,0.76871,3.17203,0.13928,0.36094,0.01557,0.51559,0.97705,0.98936,0.99363,0.81486,0.88668,0.93617,0.91193,0.33995,0.76213,2.88294,0.12194,0.23404,0.01551,0,0.0012575,0.0012575,0.0012575
