epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,11.79,0.88028,5.08661,0.20062,0.59333,0.02753,5.41655,1,0.99626,0.995,0.85724,0.81989,0.81715,0.75709,0.15678,0.55054,3.74543,0.22578,0.15736,0.02038,0,0.00038,0.00038,0.00038
2,18.5827,0.86748,5.07018,0.20158,0.55365,0.02657,5.18104,0.99225,1,0.995,0.85182,0.78849,0.7648,0.69875,0.15238,0.54256,3.80379,0.22634,0.17111,0.01995,0,0.000770348,0.000770348,0.000770348
3,25.3635,0.79465,4.92048,0.20382,0.47682,0.02349,4.71575,1,0.97239,0.99273,0.84035,0.66413,0.66667,0.61462,0.13769,0.5465,3.87265,0.22519,0.25352,0.02018,0,0.0011508,0.0011508,0.0011508
4,32.1589,0.86746,5.04422,0.19208,0.50358,0.02668,5.30057,0.9955,1,0.995,0.84471,0.64899,0.66667,0.56294,0.1187,0.55757,3.97059,0.2245,0.19231,0.02063,0,0.00152134,0.00152134,0.00152134
5,38.8552,0.83024,5.09843,0.19083,0.40532,0.02418,4.70902,1,0.99767,0.995,0.84437,0.71771,0.71712,0.62421,0.13187,0.54747,3.90292,0.22404,0.2104,0.02014,0,0.00188199,0.00188199,0.00188199
6,45.5523,0.85163,4.94487,0.19562,0.39923,0.02507,4.79007,1,0.97414,0.99402,0.83977,0.70913,0.69231,0.58952,0.13046,0.56313,3.87464,0.2307,0.27614,0.02084,0,0.00187625,0.00187625,0.00187625
7,52.3215,0.84327,4.9466,0.18827,0.439,0.02496,4.73624,0.99862,1,0.995,0.84263,0.74209,0.74359,0.64224,0.13772,0.60461,3.85524,0.23199,0.18316,0.0225,0,0.0018515,0.0018515,0.0018515
8,59.0076,0.78417,4.90879,0.19661,0.39729,0.02281,4.79781,0.99655,1,0.995,0.83983,0.76639,0.76923,0.69131,0.13764,0.57758,3.84542,0.23042,0.18221,0.02128,0,0.00182675,0.00182675,0.00182675
9,65.6937,0.81537,5.13118,0.18918,0.44568,0.02411,5.02238,0.9964,1,0.995,0.84194,0.76627,0.76923,0.67094,0.14717,0.57772,3.81954,0.22869,0.18472,0.02136,0,0.001802,0.001802,0.001802
10,72.3905,0.8026,4.95572,0.20192,0.38442,0.02345,4.77762,0.9983,1,0.995,0.83687,0.76758,0.76923,0.66513,0.1443,0.57255,3.8349,0.22797,0.17238,0.02111,0,0.00177725,0.00177725,0.00177725
11,79.1576,0.78352,4.67887,0.19406,0.40217,0.02395,4.86612,1,0.97365,0.99357,0.83747,0.76303,0.74359,0.66183,0.14451,0.56786,3.80984,0.22218,0.32069,0.02096,0,0.0017525,0.0017525,0.0017525
12,85.8974,0.81997,5.06948,0.19019,0.42006,0.02526,4.96511,1,0.97427,0.99314,0.82919,0.73574,0.71795,0.62593,0.14187,0.57694,3.82776,0.22071,0.30504,0.02138,0,0.00172775,0.00172775,0.00172775
13,92.5887,0.82364,4.97513,0.18763,0.39664,0.02569,5.06591,0.99849,1,0.995,0.83706,0.76722,0.76923,0.68118,0.14656,0.59643,3.83126,0.2243,0.22296,0.02233,0,0.001703,0.001703,0.001703
14,99.3063,0.78496,4.97278,0.1896,0.3931,0.02316,4.74963,0.9988,1,0.995,0.84268,0.79363,0.79487,0.70475,0.15438,0.58823,3.74709,0.22935,0.15743,0.02169,0,0.00167825,0.00167825,0.00167825
15,106.066,0.82067,4.99056,0.18608,0.41553,0.02493,5.02236,0.97498,0.99938,0.9945,0.83781,0.7745,0.79487,0.69697,0.15091,0.58101,3.76329,0.22707,0.20877,0.02135,0,0.0016535,0.0016535,0.0016535
16,112.826,0.79627,4.70277,0.18166,0.39018,0.02406,4.7596,0.99696,1,0.995,0.83775,0.76901,0.76923,0.67583,0.15287,0.58091,3.80074,0.22046,0.17983,0.02125,0,0.00162875,0.00162875,0.00162875
17,119.57,0.79244,5.03952,0.18831,0.40971,0.02365,4.93697,1,0.99867,0.995,0.83597,0.76909,0.76864,0.66788,0.14969,0.5818,3.80143,0.21334,0.21352,0.02128,0,0.001604,0.001604,0.001604
18,126.316,0.76418,4.82619,0.19057,0.39272,0.02351,4.87274,1,0.9997,0.995,0.84393,0.76883,0.76923,0.66754,0.14628,0.57743,3.80766,0.2186,0.18077,0.02115,0,0.00157925,0.00157925,0.00157925
19,133.075,0.82046,5.00738,0.18371,0.43168,0.02467,5.15214,0.99735,1,0.995,0.84436,0.76715,0.76923,0.68023,0.14649,0.58367,3.80007,0.22117,0.16819,0.02142,0,0.0015545,0.0015545,0.0015545
20,139.842,0.81764,4.82678,0.18801,0.41957,0.02431,4.77739,0.99771,1,0.995,0.83894,0.76704,0.76923,0.66305,0.13635,0.58588,3.8161,0.2211,0.17114,0.0216,0,0.00152975,0.00152975,0.00152975
21,146.619,0.79294,4.98081,0.19632,0.39895,0.02439,4.95655,1,0.96965,0.99402,0.83138,0.75392,0.71795,0.65174,0.1375,0.59385,3.7899,0.22048,0.24773,0.02204,0,0.001505,0.001505,0.001505
22,153.372,0.77111,4.96281,0.18902,0.4559,0.02298,4.96303,0.99711,1,0.995,0.82917,0.77364,0.76923,0.67577,0.14886,0.60522,3.7595,0.221,0.18037,0.02243,0,0.00148025,0.00148025,0.00148025
23,160.117,0.82233,4.88914,0.18271,0.41737,0.02391,4.71449,1,0.99837,0.995,0.83875,0.71762,0.7168,0.63208,0.14616,0.58753,3.77505,0.21724,0.20866,0.02179,0,0.0014555,0.0014555,0.0014555
24,166.872,0.76303,4.90091,0.18919,0.40013,0.02328,4.76303,1,0.99707,0.995,0.84132,0.74287,0.74085,0.64859,0.14507,0.55365,3.75453,0.21725,0.16165,0.02048,0,0.00143075,0.00143075,0.00143075
25,173.633,0.79154,4.72024,0.19054,0.38346,0.02384,4.65698,0.99551,1,0.995,0.85967,0.76225,0.76923,0.68549,0.14711,0.52965,3.76933,0.21683,0.18631,0.01935,0,0.001406,0.001406,0.001406
26,180.392,0.78777,4.79639,0.18548,0.35678,0.02331,4.66164,0.99938,1,0.995,0.8509,0.74261,0.74359,0.65569,0.14988,0.54897,3.76894,0.21658,0.16858,0.0202,0,0.00138125,0.00138125,0.00138125
27,187.144,0.77644,4.8324,0.18613,0.37708,0.02324,4.65188,0.99877,1,0.995,0.84681,0.74209,0.74359,0.70391,0.14885,0.56591,3.8079,0.21521,0.18076,0.02092,0,0.0013565,0.0013565,0.0013565
28,193.888,0.81435,4.84501,0.17821,0.41786,0.02381,4.54697,1,0.97319,0.99357,0.84896,0.76152,0.74359,0.6732,0.15028,0.56429,3.75903,0.21518,0.27799,0.02093,0,0.00133175,0.00133175,0.00133175
29,200.654,0.79621,4.98613,0.1813,0.39796,0.02364,4.829,0.99687,1,0.995,0.85014,0.76657,0.76923,0.67389,0.15426,0.57256,3.75331,0.22039,0.16733,0.02126,0,0.001307,0.001307,0.001307
30,207.424,0.83411,4.89025,0.181,0.43036,0.02452,4.77617,0.99769,1,0.995,0.84843,0.76563,0.76923,0.6698,0.14945,0.58047,3.76455,0.22353,0.19016,0.02167,0,0.00128225,0.00128225,0.00128225
31,214.19,0.79791,4.90726,0.1911,0.38982,0.02418,4.84453,0.99702,1,0.995,0.85819,0.76683,0.76923,0.67808,0.15935,0.58086,3.73493,0.22395,0.15807,0.02165,0,0.0012575,0.0012575,0.0012575
32,220.958,0.80618,4.69395,0.19362,0.43584,0.02412,4.77576,0.94634,1,0.99326,0.84894,0.72539,0.76923,0.66209,0.15556,0.57699,3.75636,0.22115,0.245,0.02139,0,0.00123275,0.00123275,0.00123275
33,227.729,0.80755,4.94597,0.19353,0.37823,0.02426,4.63479,1,0.97175,0.9945,0.83689,0.74945,0.76705,0.66275,0.15273,0.58931,3.78898,0.21995,0.2125,0.02186,0,0.001208,0.001208,0.001208
34,234.475,0.8194,4.91007,0.18512,0.36906,0.02394,4.68021,0.99867,1,0.995,0.84717,0.74243,0.74359,0.66448,0.14966,0.58632,3.81301,0.21866,0.16426,0.02176,0,0.00118325,0.00118325,0.00118325
35,241.228,0.84248,4.86083,0.1809,0.43293,0.02587,5.00255,0.99873,1,0.995,0.83941,0.75926,0.74359,0.67154,0.1559,0.58937,3.81142,0.21799,0.15626,0.02196,0,0.0011585,0.0011585,0.0011585
36,247.996,0.81406,4.8617,0.1844,0.40778,0.02447,4.8542,0.99852,1,0.995,0.83857,0.77152,0.76923,0.68486,0.15415,0.58423,3.78918,0.21898,0.15593,0.02167,0,0.00113375,0.00113375,0.00113375
37,254.77,0.78263,4.84854,0.18967,0.368,0.02337,4.64558,0.99853,1,0.995,0.83974,0.75002,0.74359,0.65754,0.15643,0.59461,3.77799,0.22327,0.15612,0.02216,0,0.001109,0.001109,0.001109
38,261.53,0.81597,4.84218,0.18426,0.40743,0.02481,4.69902,0.99883,1,0.995,0.8375,0.74256,0.74359,0.63636,0.15036,0.59751,3.76293,0.22384,0.15701,0.02234,0,0.00108425,0.00108425,0.00108425
