epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,9.41361,0.97839,6.46404,0.37072,0.63331,0.03148,7.45963,0.99782,1,0.995,0.85427,0.33114,0.31579,0.15496,0.0306,0.62916,4.97214,0.38318,0.1756,0.0231,0,0.00018,0.00018,0.00018
2,13.0084,0.95147,6.28718,0.38045,0.58523,0.03049,7.18834,0.98337,1,0.995,0.84825,0.30999,0.36842,0.16067,0.02882,0.64274,4.96908,0.37711,0.21801,0.02333,0,0.000375298,0.000375298,0.000375298
3,16.5372,0.9479,6.06681,0.36087,0.64813,0.02866,6.56656,0.99671,1,0.995,0.84082,0.32792,0.31579,0.105,0.0206,0.66077,4.98169,0.38235,0.17838,0.02425,0,0.000565645,0.000565645,0.000565645
4,20.0694,0.93511,6.38821,0.39241,0.61817,0.03032,7.39476,0.99784,1,0.995,0.83784,0.36639,0.36842,0.15341,0.02634,0.67014,5.02345,0.37875,0.19361,0.02469,0,0.000751043,0.000751043,0.000751043
5,23.5901,0.87687,6.03866,0.36458,0.54084,0.02724,6.46188,1,1,0.995,0.8382,0.32855,0.31579,0.1589,0.01699,0.69015,5.1846,0.37827,0.17644,0.02536,0,0.00093149,0.00093149,0.00093149
6,27.1052,0.87907,6.10739,0.37916,0.46405,0.02629,6.30951,0.99648,1,0.995,0.83442,0.31401,0.31579,0.13991,0.01428,0.69761,5.3346,0.38174,0.19394,0.02564,0,0.00110699,0.00110699,0.00110699
7,30.5993,0.91453,5.88337,0.35613,0.54348,0.02814,6.63043,0.9975,1,0.995,0.83647,0.3,0.31579,0.14586,0.01459,0.68898,5.43397,0.38226,0.17844,0.02547,0,0.00127753,0.00127753,0.00127753
8,34.0956,0.85154,5.83233,0.35403,0.45473,0.02655,6.83539,0.99779,1,0.995,0.83808,0.38311,0.36842,0.26194,0.03169,0.68913,5.35473,0.38195,0.17876,0.02544,0,0.00144313,0.00144313,0.00144313
9,37.5923,0.86584,5.79047,0.32986,0.44893,0.02632,5.87714,0.94967,0.9935,0.9925,0.8342,0.44106,0.42105,0.28625,0.03951,0.69248,5.23267,0.37514,0.25782,0.02567,0,0.00160378,0.00160378,0.00160378
10,41.0904,0.87106,5.82401,0.33667,0.44527,0.02664,6.16618,1,0.99349,0.995,0.83369,0.36506,0.36338,0.22759,0.03304,0.69531,5.18928,0.37711,0.22469,0.02585,0,0.00175948,0.00175948,0.00175948
11,44.5764,0.93311,6.01704,0.33201,0.47099,0.02798,6.08934,1,0.98847,0.995,0.82572,0.34261,0.36842,0.21917,0.03342,0.69017,5.17837,0.38289,0.23207,0.02565,0,0.0017525,0.0017525,0.0017525
12,48.0746,0.898,6.11064,0.32323,0.51261,0.02702,6.03179,0.94622,1,0.9925,0.81809,0.38573,0.36842,0.18376,0.03025,0.68201,5.20103,0.40095,0.20739,0.02551,0,0.00172775,0.00172775,0.00172775
13,51.5561,0.84069,5.43984,0.32745,0.45444,0.02543,6.13783,0.99714,1,0.995,0.82721,0.33207,0.31579,0.22287,0.03119,0.67552,5.21605,0.40456,0.19139,0.02532,0,0.001703,0.001703,0.001703
14,55.0517,0.8962,5.76637,0.34429,0.48042,0.02721,6.15086,0.99799,1,0.995,0.83102,0.33307,0.31579,0.17188,0.02906,0.67789,5.12106,0.40917,0.18816,0.02534,0,0.00167825,0.00167825,0.00167825
15,58.5358,0.80023,5.52147,0.35247,0.38583,0.02479,5.89813,0.94728,1,0.9845,0.82402,0.31087,0.31579,0.18431,0.03272,0.6751,5.00639,0.39991,0.258,0.02498,0,0.0016535,0.0016535,0.0016535
16,62.0382,0.87026,5.99612,0.34515,0.42639,0.02653,6.18808,0.99602,0.94737,0.99024,0.82724,0.33743,0.31579,0.2055,0.03596,0.69975,4.96786,0.39773,0.25373,0.02598,0,0.00162875,0.00162875,0.00162875
17,65.5233,0.87523,5.36494,0.32428,0.49964,0.02756,5.9337,1,0.94065,0.9863,0.82168,0.44163,0.42105,0.26333,0.04243,0.68448,4.93786,0.38776,0.32332,0.02551,0,0.001604,0.001604,0.001604
18,69.0184,0.97871,5.82164,0.31963,0.48976,0.02885,6.27288,1,0.99769,0.995,0.82375,0.46572,0.42105,0.25882,0.03967,0.68457,4.94165,0.38185,0.20718,0.02549,0,0.00157925,0.00157925,0.00157925
19,72.4934,0.85033,5.6106,0.3282,0.46124,0.02623,5.94109,1,0.99929,0.995,0.82387,0.46745,0.42105,0.29901,0.04205,0.68342,4.96449,0.38165,0.21373,0.02555,0,0.0015545,0.0015545,0.0015545
20,75.9844,0.81502,5.77599,0.33003,0.41819,0.0243,5.88402,0.99657,0.94737,0.9925,0.81789,0.45688,0.42105,0.25882,0.03838,0.69352,4.96328,0.3833,0.23559,0.02588,0,0.00152975,0.00152975,0.00152975
21,79.4654,0.85993,5.77207,0.34003,0.44339,0.02717,6.07745,1,0.999,0.995,0.83119,0.43923,0.42105,0.26974,0.03947,0.68835,4.95939,0.38557,0.20116,0.02574,0,0.001505,0.001505,0.001505
22,82.9754,0.85374,5.64124,0.30882,0.43452,0.02709,6.16933,1,0.98905,0.995,0.83082,0.39142,0.42105,0.25333,0.03838,0.67162,5.02046,0.38809,0.22239,0.02518,0,0.00148025,0.00148025,0.00148025
23,86.4594,0.90581,5.7467,0.31087,0.49983,0.02904,6.51112,0.99674,1,0.995,0.83493,0.41904,0.42105,0.2061,0.02844,0.67496,4.9647,0.39298,0.19485,0.02525,0,0.0014555,0.0014555,0.0014555
24,89.9645,0.91527,5.59566,0.32583,0.45339,0.02834,5.96886,1,0.89415,0.98555,0.82964,0.40845,0.36842,0.16247,0.02409,0.67362,4.97151,0.39663,0.2753,0.02519,0,0.00143075,0.00143075,0.00143075
25,93.4765,0.85784,5.60567,0.32507,0.49165,0.02641,6.06063,1,0.94608,0.9925,0.83927,0.38572,0.36842,0.15444,0.02202,0.66426,4.96896,0.39673,0.22927,0.02485,0,0.001406,0.001406,0.001406
26,96.9885,0.84046,5.58974,0.33069,0.42758,0.02721,6.2438,0.9949,1,0.995,0.84228,0.3659,0.36842,0.14726,0.02093,0.66101,5.01902,0.39316,0.20504,0.02483,0,0.00138125,0.00138125,0.00138125
27,100.485,0.83491,5.82406,0.33001,0.45395,0.02678,5.94922,0.93787,1,0.9925,0.85497,0.37927,0.36842,0.14194,0.02182,0.65934,5.0195,0.3886,0.24479,0.02469,0,0.0013565,0.0013565,0.0013565
28,103.984,0.80124,5.66684,0.32809,0.42617,0.02447,5.98442,1,0.99647,0.995,0.85933,0.363,0.36842,0.13447,0.01988,0.66243,5.00386,0.39294,0.22542,0.02508,0,0.00133175,0.00133175,0.00133175
29,107.467,0.85193,5.8615,0.31738,0.43874,0.02566,5.90863,0.94615,1,0.9925,0.85676,0.3477,0.36842,0.12868,0.02175,0.66175,4.94271,0.39041,0.22605,0.0251,0,0.001307,0.001307,0.001307
30,110.955,0.88251,6.2332,0.32759,0.44053,0.027,6.36457,0.99629,1,0.995,0.85791,0.36693,0.36842,0.13447,0.02287,0.6605,4.97583,0.38707,0.17808,0.02491,0,0.00128225,0.00128225,0.00128225
31,114.446,0.91084,5.64408,0.32693,0.43194,0.02804,5.95682,0.99664,1,0.995,0.84932,0.47206,0.47368,0.25526,0.03558,0.65871,5.00784,0.38778,0.17102,0.02483,0,0.0012575,0.0012575,0.0012575
32,117.957,0.93411,5.90529,0.31224,0.47011,0.02886,6.30117,0.99707,1,0.995,0.84754,0.47201,0.47368,0.30658,0.03995,0.66194,5.0519,0.38916,0.17324,0.02506,0,0.00123275,0.00123275,0.00123275
33,121.466,0.85633,5.7034,0.34234,0.43317,0.02647,6.02845,0.99961,1,0.995,0.84754,0.47,0.47368,0.31079,0.04278,0.66463,5.04755,0.39293,0.19808,0.02501,0,0.001208,0.001208,0.001208
34,124.978,0.85999,5.4374,0.31785,0.49707,0.02709,6.14366,0.99721,1,0.995,0.85178,0.47221,0.47368,0.29408,0.04064,0.66004,4.97384,0.39159,0.16757,0.025,0,0.00118325,0.00118325,0.00118325
35,128.483,0.86258,5.67123,0.31782,0.43934,0.02699,6.02299,0.99723,1,0.995,0.85178,0.41986,0.42105,0.23974,0.03583,0.6551,4.93984,0.38923,0.16516,0.02488,0,0.0011585,0.0011585,0.0011585
36,131.98,0.89287,5.79851,0.33838,0.48954,0.02755,6.40748,0.99721,1,0.995,0.84753,0.36737,0.36842,0.13447,0.02212,0.65953,4.91962,0.38649,0.16604,0.02489,0,0.00113375,0.00113375,0.00113375
37,135.458,0.86042,5.67987,0.32746,0.42887,0.02725,6.12199,0.99664,1,0.995,0.84178,0.36788,0.36842,0.14194,0.02613,0.65755,4.91266,0.38515,0.1717,0.02484,0,0.001109,0.001109,0.001109
38,138.946,0.91686,5.52856,0.31668,0.50209,0.02791,5.92739,1,0.99394,0.995,0.834,0.41759,0.42105,0.17895,0.0299,0.65996,4.90997,0.3873,0.19948,0.02489,0,0.00108425,0.00108425,0.00108425
39,142.427,0.88669,5.4463,0.33614,0.42736,0.02717,5.91021,0.99397,1,0.995,0.83277,0.40687,0.46952,0.23124,0.03467,0.66369,4.98923,0.38903,0.20493,0.02513,0,0.0010595,0.0010595,0.0010595
40,145.924,0.87219,5.77061,0.32431,0.46235,0.0265,5.98213,0.99535,1,0.995,0.83952,0.4486,0.47368,0.244,0.03627,0.66399,4.99618,0.38895,0.18352,0.02505,0,0.00103475,0.00103475,0.00103475
41,149.402,0.89862,5.83916,0.32455,0.42057,0.02933,6.33363,0.99547,1,0.995,0.84253,0.47123,0.47368,0.25395,0.03458,0.66118,4.94866,0.3861,0.18032,0.0248,0,0.00101,0.00101,0.00101
42,152.888,0.92587,5.84977,0.30917,0.50701,0.02854,6.11193,0.99679,1,0.995,0.8396,0.44921,0.47224,0.244,0.03367,0.66332,5.00615,0.38392,0.1712,0.02493,0,0.00098525,0.00098525,0.00098525
43,156.358,0.85651,5.63791,0.33918,0.42126,0.02688,6.14839,0.99374,1,0.995,0.84461,0.46821,0.47368,0.26079,0.03678,0.66734,4.959,0.3841,0.19678,0.02499,0,0.0009605,0.0009605,0.0009605
44,159.836,0.83341,5.77733,0.33309,0.43554,0.02523,6.2505,0.99739,1,0.995,0.83756,0.48328,0.47368,0.3242,0.04429,0.67366,4.94636,0.38283,0.16984,0.02525,0,0.00093575,0.00093575,0.00093575
45,163.31,0.88641,5.57767,0.31888,0.46751,0.0269,5.94831,0.9974,1,0.995,0.83398,0.48781,0.47368,0.33567,0.04566,0.67526,4.94389,0.38181,0.17125,0.02535,0,0.000911,0.000911,0.000911
46,166.795,0.86316,5.58855,0.31712,0.48523,0.026,5.783,0.99702,1,0.995,0.83165,0.47225,0.47368,0.32252,0.0469,0.67932,4.92098,0.37936,0.17351,0.0255,0,0.00088625,0.00088625,0.00088625
47,170.26,0.8795,5.63008,0.31798,0.45735,0.02665,5.92638,0.99708,1,0.995,0.83442,0.41933,0.42105,0.25016,0.03957,0.67668,4.9146,0.37607,0.18409,0.02543,0,0.0008615,0.0008615,0.0008615
48,173.752,0.86338,5.41864,0.33194,0.45174,0.02605,5.68461,0.99904,1,0.995,0.84054,0.41791,0.42105,0.25439,0.04033,0.67039,4.94884,0.37095,0.19936,0.02518,0,0.00083675,0.00083675,0.00083675
49,177.232,0.89144,5.48127,0.34821,0.45619,0.02735,5.9591,0.99675,1,0.995,0.84036,0.41953,0.42105,0.24737,0.03598,0.67449,4.9603,0.37061,0.17703,0.02535,0,0.000812,0.000812,0.000812
50,180.725,0.87093,5.65449,0.31444,0.40139,0.02717,5.80361,0.99478,1,0.995,0.84416,0.42,0.42105,0.25833,0.03737,0.67043,4.96935,0.37119,0.18645,0.02525,0,0.00078725,0.00078725,0.00078725
51,184.25,0.83512,5.527,0.32901,0.44149,0.02506,5.80789,0.99554,1,0.995,0.83754,0.3677,0.36842,0.20976,0.03269,0.67127,4.9742,0.37116,0.18293,0.02528,0,0.0007625,0.0007625,0.0007625
