epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9975,0.77834,4.07301,0.21531,0.41907,0.01904,1.32024,1,0.99738,0.995,0.85334,0.9599,0.95757,0.95217,0.35405,0.61341,2.62485,0.17484,0.17646,0.01707,0,0.0005,0.0005,0.0005
2,26.6056,0.78735,4.06484,0.21459,0.4274,0.01825,1.04335,0.99995,1,0.995,0.85512,0.97987,0.98,0.9746,0.36594,0.61506,2.64125,0.17461,0.16732,0.01694,0,0.00100738,0.00100738,0.00100738
3,35.2065,0.76408,3.80621,0.20609,0.41258,0.01769,0.95934,0.99738,1,0.995,0.85931,0.97732,0.98,0.9746,0.37052,0.62,2.66184,0.17392,0.17296,0.01701,0,0.00150189,0.00150189,0.00150189
4,43.9171,0.72698,3.84482,0.21156,0.36079,0.01645,0.91672,0.98032,0.99614,0.99461,0.85824,0.94096,0.95625,0.95216,0.37711,0.60944,2.616,0.17496,0.1832,0.0168,0,0.00192575,0.00192575,0.00192575
5,52.5494,0.75898,3.82218,0.20861,0.38705,0.01751,0.85835,0.99881,1,0.995,0.86668,0.97884,0.98,0.9742,0.3621,0.5921,2.63314,0.17614,0.15529,0.01635,0,0.001901,0.001901,0.001901
6,61.1843,0.73477,3.62665,0.20455,0.37355,0.01591,0.6822,0.99847,1,0.995,0.86487,0.95853,0.96,0.9513,0.35826,0.59363,2.63025,0.1771,0.15889,0.01633,0,0.00187625,0.00187625,0.00187625
7,69.7886,0.75942,3.68443,0.20859,0.37195,0.01765,0.82557,0.99902,1,0.995,0.85334,0.95902,0.96,0.9517,0.36887,0.62394,2.61704,0.17761,0.16639,0.0174,0,0.0018515,0.0018515,0.0018515
8,78.3886,0.72754,3.6269,0.20691,0.33758,0.01648,0.98858,0.99938,1,0.995,0.85169,0.95933,0.96,0.95253,0.35936,0.60231,2.64739,0.17715,0.15875,0.01684,0,0.00182675,0.00182675,0.00182675
9,87.0123,0.75389,3.8757,0.19949,0.35629,0.01783,0.98029,0.9982,1,0.995,0.85778,0.95827,0.96,0.95255,0.35742,0.5783,2.64158,0.176,0.15603,0.01596,0,0.001802,0.001802,0.001802
10,95.6347,0.72566,3.64975,0.19488,0.38917,0.01685,0.94617,0.99994,0.98,0.99423,0.85612,0.95902,0.94,0.95179,0.35988,0.58314,2.61316,0.17592,0.19188,0.01614,0,0.00177725,0.00177725,0.00177725
11,104.197,0.72282,3.75166,0.20065,0.3601,0.01631,0.83711,1,0.99879,0.995,0.84837,0.95995,0.95881,0.95337,0.36778,0.61985,2.62009,0.17661,0.18151,0.01731,0,0.0017525,0.0017525,0.0017525
12,112.803,0.75776,3.89235,0.2048,0.36638,0.01703,0.92108,0.99885,1,0.995,0.85134,0.95889,0.96,0.95295,0.35317,0.61796,2.64694,0.17719,0.16135,0.0174,0,0.00172775,0.00172775,0.00172775
13,121.377,0.75633,3.79179,0.20513,0.34949,0.01761,0.89857,1,0.9985,0.995,0.8594,0.95994,0.95856,0.95255,0.3652,0.59838,2.62639,0.17738,0.16397,0.01666,0,0.001703,0.001703,0.001703
14,129.985,0.7984,3.94762,0.20327,0.41781,0.01774,0.85528,1,0.99968,0.995,0.85163,0.95999,0.95981,0.95173,0.35806,0.60748,2.63598,0.17672,0.16719,0.01689,0,0.00167825,0.00167825,0.00167825
15,138.599,0.75534,3.77719,0.20078,0.36587,0.01712,0.76351,1,0.99885,0.995,0.85645,0.95995,0.95885,0.95295,0.35244,0.60652,2.63671,0.17652,0.17626,0.01709,0,0.0016535,0.0016535,0.0016535
16,147.225,0.77433,3.8364,0.21231,0.37586,0.01796,1.03402,1,0.9998,0.995,0.85912,0.96,0.9599,0.95337,0.35334,0.58336,2.66681,0.17659,0.1569,0.0163,0,0.00162875,0.00162875,0.00162875
17,155.842,0.74621,3.97173,0.20352,0.36509,0.01721,1.07172,1,0.99888,0.995,0.86239,0.95996,0.9589,0.95337,0.35183,0.56614,2.66507,0.17692,0.16575,0.0158,0,0.001604,0.001604,0.001604
18,164.47,0.73178,3.75857,0.21061,0.35937,0.01649,0.73254,1,0.99984,0.995,0.84115,0.95996,0.96,0.95295,0.36182,0.62813,2.64293,0.17613,0.16856,0.01769,0,0.00157925,0.00157925,0.00157925
19,173.056,0.73418,3.57761,0.20291,0.37711,0.01712,0.87962,0.99995,1,0.995,0.85112,0.95986,0.96,0.95337,0.36279,0.60949,2.64633,0.17569,0.16328,0.01724,0,0.0015545,0.0015545,0.0015545
20,181.682,0.718,3.81964,0.20031,0.36852,0.0169,0.8117,0.99974,1,0.995,0.8564,0.95964,0.96,0.95255,0.36237,0.6032,2.6258,0.17553,0.16261,0.01703,0,0.00152975,0.00152975,0.00152975
21,190.333,0.77197,3.67227,0.21095,0.36742,0.01741,0.7871,0.99857,1,0.995,0.85185,0.95863,0.96,0.95253,0.35991,0.60878,2.64289,0.17556,0.16151,0.01718,0,0.001505,0.001505,0.001505
22,198.917,0.75397,3.82074,0.20071,0.39829,0.01691,0.89093,0.99713,1,0.995,0.85613,0.95724,0.96,0.95173,0.36071,0.60442,2.61985,0.17623,0.16601,0.017,0,0.00148025,0.00148025,0.00148025
23,207.498,0.75433,3.77606,0.20061,0.37626,0.01725,0.85955,0.99894,0.98,0.99423,0.85436,0.93773,0.92,0.93142,0.35354,0.59525,2.64545,0.17648,0.19176,0.01666,0,0.0014555,0.0014555,0.0014555
24,216.12,0.72444,3.7261,0.20087,0.34041,0.01657,0.81528,0.99954,1,0.995,0.85945,0.95948,0.96,0.95255,0.3613,0.5955,2.65056,0.17658,0.15903,0.01665,0,0.00143075,0.00143075,0.00143075
25,224.777,0.7528,3.64412,0.20449,0.3598,0.01736,0.81306,0.99893,1,0.995,0.86327,0.95895,0.96,0.95255,0.36212,0.58517,2.62234,0.17661,0.15472,0.01622,0,0.001406,0.001406,0.001406
26,233.442,0.7274,3.70059,0.20386,0.32464,0.01657,0.7979,1,0.99918,0.995,0.85939,0.95997,0.95924,0.95297,0.36089,0.58069,2.63766,0.17706,0.16236,0.01615,0,0.00138125,0.00138125,0.00138125
27,242.049,0.75567,3.78852,0.20084,0.35007,0.0173,0.74204,0.99904,0.98,0.99461,0.86028,0.95819,0.94,0.95176,0.36041,0.59425,2.63861,0.17707,0.17026,0.01665,0,0.0013565,0.0013565,0.0013565
28,250.671,0.75098,3.7701,0.19733,0.38046,0.01707,0.8873,1,0.99907,0.995,0.85569,0.95997,0.95915,0.9526,0.36662,0.59866,2.6286,0.17747,0.16377,0.01678,0,0.00133175,0.00133175,0.00133175
