epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8757,1.33401,7.05976,0.03561,0.84786,0.23554,0.59514,0.24534,1.60817,8.60513,0.05309,0.000412582,0.000412582,0.000412582
2,43.06,1.32334,4.58801,0.03444,0.69653,0.73731,0.74704,0.37918,1.54418,4.73044,0.05125,0.000821039,0.000821039,0.000821039
3,56.5039,1.32213,3.03587,0.03504,0.73082,0.6927,0.80229,0.46046,1.51786,2.77755,0.04982,0.00122125,0.00122125,0.00122125
4,75.3363,1.30319,2.08216,0.03484,0.86284,0.82291,0.92327,0.5266,1.52577,1.69719,0.051,0.00121287,0.00121287,0.00121287
5,89.2785,1.30258,1.54078,0.0343,0.75542,0.82261,0.81503,0.52838,1.30832,1.38314,0.04114,0.0012005,0.0012005,0.0012005
6,107.931,1.26792,1.28006,0.03277,0.82959,0.92873,0.94485,0.60213,1.44355,0.97225,0.04641,0.00118812,0.00118812,0.00118812
7,121.623,1.26248,1.16104,0.03222,0.91698,0.83346,0.94918,0.62324,1.25507,0.84292,0.03933,0.00117575,0.00117575,0.00117575
8,135.785,1.2377,1.04973,0.03212,0.96656,0.91426,0.98556,0.67201,1.25024,0.64324,0.03892,0.00116337,0.00116337,0.00116337
9,150.051,1.22276,0.96564,0.03108,0.9003,0.91256,0.95937,0.66781,1.17135,0.62739,0.03641,0.001151,0.001151,0.001151
10,169.803,1.22208,0.87614,0.03154,0.92373,0.90185,0.97343,0.64383,1.29186,0.64215,0.04015,0.00113863,0.00113863,0.00113863
11,183.491,1.18436,0.87051,0.03061,0.89994,0.91336,0.96314,0.68214,1.16511,0.57438,0.03447,0.00112625,0.00112625,0.00112625
12,197.966,1.17839,0.82215,0.02983,0.87264,0.93307,0.96506,0.5975,1.3273,0.58636,0.04077,0.00111388,0.00111388,0.00111388
13,234.141,1.13137,0.81731,0.02916,0.97132,0.89049,0.979,0.70138,1.13662,0.50526,0.03467,0.0011015,0.0011015,0.0011015
14,259.202,1.14132,0.85185,0.02847,0.91596,0.95033,0.98064,0.75233,0.97819,0.42116,0.0276,0.00108913,0.00108913,0.00108913
15,272.52,1.12934,0.78704,0.02849,0.90399,0.9336,0.97934,0.65578,1.25488,0.51785,0.03768,0.00107675,0.00107675,0.00107675
16,285.603,1.13359,0.7624,0.02835,0.97339,0.92443,0.98243,0.6765,1.153,0.42095,0.03434,0.00106437,0.00106437,0.00106437
17,298.712,1.10096,0.72137,0.02787,0.91588,0.92642,0.9716,0.71527,0.94682,0.44765,0.02871,0.001052,0.001052,0.001052
18,311.827,1.10388,0.67506,0.02809,0.9322,0.93304,0.98139,0.75321,0.9806,0.503,0.02819,0.00103962,0.00103962,0.00103962
19,324.902,1.09733,0.67954,0.02749,0.94945,0.98763,0.9928,0.74309,1.01722,0.3488,0.02873,0.00102725,0.00102725,0.00102725
20,338.128,1.08668,0.69972,0.02691,0.89949,0.93667,0.95759,0.68793,1.09744,0.43832,0.0325,0.00101488,0.00101488,0.00101488
21,351.337,1.03954,0.62249,0.02563,0.94955,0.963,0.99092,0.72787,0.96453,0.35015,0.02834,0.0010025,0.0010025,0.0010025
22,364.433,1.07053,0.65494,0.02656,0.97538,0.9667,0.99107,0.72916,1.02981,0.34023,0.02999,0.000990125,0.000990125,0.000990125
23,378.023,1.07179,0.65668,0.02669,0.92901,0.95887,0.98894,0.71337,0.99679,0.35703,0.03013,0.00097775,0.00097775,0.00097775
24,391.379,1.0676,0.64881,0.02654,0.97224,0.94758,0.9905,0.73555,1.02529,0.32884,0.03017,0.000965375,0.000965375,0.000965375
25,404.763,1.02529,0.62197,0.0253,0.96667,0.98391,0.99368,0.73836,1.00387,0.31259,0.0297,0.000953,0.000953,0.000953
26,417.825,1.02174,0.60191,0.0251,0.97667,0.9715,0.99287,0.74389,0.91409,0.28931,0.02678,0.000940625,0.000940625,0.000940625
27,430.734,1.01545,0.60775,0.02457,0.95287,0.9322,0.98213,0.72245,1.06423,0.36057,0.03117,0.00092825,0.00092825,0.00092825
