epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1553,1.62246,11.0176,0.54906,1.02364,0.07649,15.8494,0.98915,0.99505,0.99149,0.42295,0,0,0,0,2.03867,11.4611,0.32353,0.46451,0.08123,0,0.000653595,0.000653595,0.000653595
2,33.0211,1.05437,9.48922,0.34076,0.26546,0.04583,7.87177,0.99019,0.99955,0.99495,0.60314,0,0,0,0,1.30689,10.3221,0.32256,0.30424,0.04857,0,0.00131155,0.00131155,0.00131155
3,40.38,0.94052,8.78218,0.32656,0.24459,0.04065,6.84936,0.97366,0.99505,0.99435,0.63973,0,0,0,0,1.24072,11.2007,0.28821,0.31479,0.04337,0,0.0019607,0.0019607,0.0019607
4,47.5013,0.97721,8.54561,0.307,0.25805,0.04226,6.46707,0.96057,0.98515,0.98724,0.39758,0,0,0,0,2.05834,11.0193,0.28855,0.63931,0.08144,0,0.0019604,0.0019604,0.0019604
5,54.397,0.93619,8.05294,0.29376,0.25585,0.04025,6.02855,0.89807,0.88119,0.84822,0.26774,0.00575,0.00495,4e-05,0,2.31021,8.66261,0.26077,0.61711,0.09465,0,0.0019472,0.0019472,0.0019472
6,61.1649,0.80755,7.58969,0.2884,0.23552,0.03429,5.55163,0.99504,0.99303,0.99485,0.4975,0,0,0,0,1.64183,8.99368,0.25567,0.39285,0.06027,0,0.001934,0.001934,0.001934
7,67.9572,0.82556,7.21823,0.28191,0.23597,0.03469,5.05474,0.9798,1,0.99465,0.67649,0,0,0,0,1.15231,8.39504,0.24338,0.29129,0.0401,0,0.0019208,0.0019208,0.0019208
8,74.675,0.7792,7.01454,0.27128,0.22964,0.03296,4.80721,0.98047,0.99404,0.99446,0.71954,0.07616,0.06436,0.00561,0.00056,1.00782,6.95277,0.23767,0.25711,0.03384,0,0.0019076,0.0019076,0.0019076
9,81.594,0.80607,6.64431,0.26109,0.23297,0.0342,4.37019,0.99704,0.9703,0.99442,0.69399,0.0917,0.08911,0.01109,0.00118,1.23301,6.98736,0.22669,0.32024,0.04257,0,0.0018944,0.0018944,0.0018944
10,88.4342,0.71369,6.27406,0.24987,0.2109,0.02992,3.96679,0.99988,0.9802,0.99485,0.68015,0.00794,0.0099,4e-05,1e-05,1.07746,7.838,0.22081,0.27369,0.03705,0,0.0018812,0.0018812,0.0018812
11,95.2612,0.68768,5.88051,0.2462,0.21144,0.02858,3.57828,0.98936,0.9901,0.9949,0.71222,0.06305,0.05941,0.00405,0.00044,1.02396,7.12937,0.23459,0.30661,0.03471,0,0.001868,0.001868,0.001868
12,102.089,0.6473,5.83522,0.24252,0.21456,0.02724,3.57515,0.98991,0.97096,0.99418,0.72269,0.02045,0.0198,0.00031,4e-05,1.0797,7.58274,0.24061,0.307,0.03689,0,0.0018548,0.0018548,0.0018548
13,108.785,0.66647,5.60517,0.23763,0.22043,0.02794,3.30949,0.98026,0.9833,0.99422,0.79713,0.10816,0.11881,0.01941,0.00224,0.73967,6.52806,0.21949,0.2567,0.02422,0,0.0018416,0.0018416,0.0018416
14,115.53,0.63692,5.58001,0.23659,0.1971,0.02669,3.25902,0.98525,0.99188,0.9949,0.77013,0.22987,0.23267,0.062,0.01001,0.93169,6.18089,0.22244,0.24849,0.03286,0,0.0018284,0.0018284,0.0018284
15,122.202,0.5978,5.32903,0.23326,0.18314,0.02448,2.937,0.99279,0.97525,0.99441,0.73572,0.07778,0.10396,0.01179,0.00147,0.9242,6.59185,0.21956,0.25692,0.03186,0,0.0018152,0.0018152,0.0018152
16,128.906,0.65244,5.3481,0.23061,0.19464,0.02686,2.98153,0.99327,0.96535,0.994,0.6831,0.19374,0.18812,0.04581,0.00547,1.09779,6.17879,0.22339,0.29329,0.0388,0,0.001802,0.001802,0.001802
