measure,n,mcc,prevalence_non_measurable,accuracy,recall_non_measurable,precision_non_measurable,recall_measurable,tn,fp,fn,tp
left hind wing length,1194,0.9414265044262787,0.7361809045226131,0.9773869346733668,0.9897610921501706,0.9797297297297297,0.9428571428571428,297,18,9,870
left hind wing width,1194,0.936247365846912,0.7579564489112228,0.9765494137353434,0.9834254143646409,0.9856035437430787,0.9550173010380623,276,13,15,890
right hind wing width,1194,0.9351465828509319,0.7487437185929648,0.97571189279732,0.9865771812080537,0.9810901001112347,0.9433333333333334,283,17,12,882
right hind wing length,1194,0.9223132290775172,0.7328308207705193,0.9698492462311558,0.9885714285714285,0.9708193041526375,0.9184952978056427,293,26,10,865
right hind leg tarsus length,1194,0.7793275470483837,0.6415410385259631,0.8994974874371859,0.9399477806788512,0.906801007556675,0.8271028037383178,354,74,46,720
inter ocular distance,1194,0.702570910315588,0.2663316582914573,0.8886097152428811,0.6540880503144654,0.9004329004329005,0.973744292237443,853,23,110,208
left hind leg tarsus length,1194,0.697169247395487,0.6507537688442211,0.8626465661641541,0.8970398970398971,0.8924455825864277,0.7985611510791367,333,84,80,697
right hind leg tibia length,1194,0.6935254220556933,0.6666666666666666,0.8659966499162479,0.9685929648241206,0.8509933774834437,0.6608040201005025,263,135,25,771
left hind leg tibia length,1194,0.6803589459053176,0.6515912897822446,0.855108877721943,0.890745501285347,0.8873239436619719,0.7884615384615384,328,88,85,693
head width,1194,0.664998607815026,0.23283082077051925,0.8877721943048577,0.5899280575539568,0.8913043478260869,0.9781659388646288,896,20,114,164
right fore wing width,1194,0.6298546754870872,0.4455611390284757,0.8123953098827471,0.8571428571428571,0.7549668874172185,0.7764350453172205,514,148,76,456
head length,1194,0.6275930843244084,0.1457286432160804,0.9103852596314908,0.6494252873563219,0.710691823899371,0.9549019607843138,974,46,61,113
right fore wing length,1194,0.562709623843268,0.16666666666666666,0.8509212730318257,0.7839195979899497,0.5360824742268041,0.864321608040201,860,135,43,156
intertegular distance,1194,0.5474052366021482,0.1474036850921273,0.8919597989949749,0.5681818181818182,0.6535947712418301,0.9479371316306483,965,53,76,100
left fore wing length,1194,0.5470060994569442,0.16666666666666666,0.8458961474036851,0.7688442211055276,0.5257731958762887,0.8613065326633166,857,138,46,153
right hind leg length,1194,0.5334483839148785,0.9790619765494137,0.964824120603015,0.9674935842600513,0.9964757709251101,0.84,21,4,38,1131
left fore wing width,1194,0.5032292324872332,0.44137353433835846,0.7495812395309883,0.7855787476280834,0.69,0.7211394302848576,481,186,113,414
left antenna length,1194,0.4830356254501683,0.12562814070351758,0.9028475711892797,0.4066666666666667,0.6931818181818182,0.9741379310344828,1017,27,89,61
thorax width,1194,0.4818765703098042,0.16666666666666666,0.8785594639865997,0.3015075376884422,0.9090909090909091,0.9939698492462311,989,6,139,60
right antenna length,1194,0.46750032550642806,0.1507537688442211,0.8835845896147404,0.3888888888888889,0.7070707070707071,0.9714003944773175,985,29,110,70
total length,1194,0.4395422717504378,0.26214405360134,0.788107202680067,0.5591054313099042,0.603448275862069,0.8694665153234961,766,115,138,175
left hind leg femur length,1194,0.4049357899921411,0.9681742043551089,0.9472361809045227,0.9593425605536332,0.9857777777777778,0.5789473684210527,22,16,47,1109
left hind leg length,1194,0.3528890676824665,0.97571189279732,0.9011725293132329,0.9030042918454936,0.9952696310312205,0.8275862068965517,24,5,113,1052
right hind leg femur length,1194,0.34983113187532555,0.9706867671691792,0.949748743718593,0.9637618636755824,0.9841409691629956,0.4857142857142857,17,18,42,1117
abdomen width,1194,0.34130389796967114,0.21608040201005024,0.8056951423785594,0.34108527131782945,0.5866666666666667,0.9337606837606838,874,62,170,88
abdomen length,1194,0.2874873354705847,0.12562814070351758,0.8324958123953099,0.41333333333333333,0.3563218390804598,0.89272030651341,932,112,88,62
