image_name,length [px],value [mm],scale_value,insect_group,split,total length [px],head width [px],head length [px],inter ocular distance [px],right antenna length [px],left antenna length [px],thorax width [px],thorax length [px],abdomen width [px],abdomen length [px],intertegular distance [px],left hind wing length [px],right hind wing length [px],left hind wing width [px],right hind wing width [px],left fore wing length [px],right fore wing length [px],left fore wing width [px],right fore wing width [px],left hind leg length [px],left hind leg femur length [px],left hind leg tibia length [px],left hind leg tarsus length [px],right hind leg length [px],right hind leg femur length [px],right hind leg tibia length [px],right hind leg tarsus length [px],total length [mm],head width [mm],head length [mm],inter ocular distance [mm],right antenna length [mm],left antenna length [mm],thorax width [mm],thorax length [mm],abdomen width [mm],abdomen length [mm],intertegular distance [mm],left hind wing length [mm],right hind wing length [mm],left hind wing width [mm],right hind wing width [mm],left fore wing length [mm],right fore wing length [mm],left fore wing width [mm],right fore wing width [mm],left hind leg length [mm],left hind leg femur length [mm],left hind leg tibia length [mm],left hind leg tarsus length [mm],right hind leg length [mm],right hind leg femur length [mm],right hind leg tibia length [mm],right hind leg tarsus length [mm]
EB6.0OU.jpg,1400,10,140,coleoptera,val,440.21,130.25,49.22,80.21,109.06,112.66,201.91,65.06,253.62,325.93,140.31,,,,,338.3,344.15,133.76,120.04,,,,79.82,,,,87.88,3.14435714285714,0.930357142857143,0.351571428571429,0.572928571428571,0.779,0.804714285714286,1.44221428571429,0.464714285714286,1.81157142857143,2.32807142857143,1.00221428571429,0,0,0,0,2.41642857142857,2.45821428571429,0.955428571428571,0.857428571428571,0,0,0,0.570142857142857,0,0,0,0.627714285714286
EB6.01C.jpg,930,30,31,coleoptera,val,154.44,41.12,21.41,19.98,45.11,46.25,34.17,22.78,46.58,110.25,17.68,,,,,98.22,97.3,21.51,23.43,,,39.04,40.56,,,30.66,28.57,4.98193548387097,1.32645161290323,0.690645161290323,0.644516129032258,1.45516129032258,1.49193548387097,1.10225806451613,0.734838709677419,1.50258064516129,3.55645161290323,0.570322580645161,0,0,0,0,3.16838709677419,3.13870967741936,0.693870967741936,0.755806451612903,0,0,1.25935483870968,1.30838709677419,0,0,0.989032258064516,0.921612903225807
EB6.05O.jpg,3480,25,139,coleoptera,train,544.69,118.22,93.99,60.66,227.57,233.11,151.32,109,213.54,341.71,79.93,,,,,336.83,331.25,104.54,106.8,,,116.11,85.21,,,122.49,92,3.91863309352518,0.850503597122302,0.676187050359712,0.436402877697842,1.63719424460432,1.67705035971223,1.08863309352518,0.784172661870504,1.53625899280576,2.45834532374101,0.575035971223022,0,0,0,0,2.42323741007194,2.38309352517986,0.752086330935252,0.768345323741007,0,0,0.835323741007194,0.613021582733813,0,0,0.881223021582734,0.661870503597122
EB6.06O.jpg,820,30,27,coleoptera,val,158.93,27.44,28.18,11.78,62.95,70.18,30.31,28.92,54.43,101.83,17.13,,,,,96.93,99.34,14.58,37.59,,,37.26,33.07,,,46.07,35.75,5.8862962962963,1.0162962962963,1.0437037037037,0.436296296296296,2.33148148148148,2.59925925925926,1.12259259259259,1.07111111111111,2.01592592592593,3.77148148148148,0.634444444444444,0,0,0,0,3.59,3.67925925925926,0.54,1.39222222222222,0,0,1.38,1.22481481481481,0,0,1.7062962962963,1.32407407407407
IMG_0123_specimen_2_MECKON_NEON.BET.D20.000308.png,156,2,78,coleoptera,val,337.89,69.08,53.87,49.12,117.59,116.05,93.34,73.09,148.48,210.93,40.34,,,,,200.02,204.85,75.31,64,,,,,,,,,4.33192307692308,0.885641025641026,0.690641025641026,0.62974358974359,1.5075641025641,1.48782051282051,1.19666666666667,0.937051282051282,1.90358974358974,2.70423076923077,0.517179487179487,0,0,0,0,2.56435897435897,2.62628205128205,0.965512820512821,0.820512820512821,0,0,0,0,0,0,0,0
IMG_0172_specimen_4_TREOBT_NEON.BET.D20.001904.png,156,2,78,coleoptera,val,312.5,64.53,48.04,45.86,148.43,141.89,86.3,59.36,119.84,205.09,41.01,,,,,187.66,189.13,69.03,55.53,,,,,,,,,4.00641025641026,0.827307692307692,0.615897435897436,0.587948717948718,1.90294871794872,1.81910256410256,1.10641025641026,0.761025641025641,1.53641025641026,2.62935897435897,0.525769230769231,0,0,0,0,2.40589743589744,2.42474358974359,0.885,0.711923076923077,0,0,0,0,0,0,0,0
IMG_0246_specimen_1_AGOMUE_NEON.BET.D20.003167.png,156,2,78,coleoptera,val,580.41,114.01,98.39,76.67,284.25,251.92,161.08,116.8,245.42,365.21,96.63,,,,,354.46,346.53,129.25,105.77,,,,,,,,,7.44115384615385,1.46166666666667,1.26141025641026,0.982948717948718,3.64423076923077,3.22974358974359,2.06512820512821,1.4974358974359,3.14641025641026,4.68217948717949,1.23884615384615,0,0,0,0,4.54435897435897,4.44269230769231,1.65705128205128,1.35602564102564,0,0,0,0,0,0,0,0
IMG_0310_specimen_2_TREOBT_NEON.BET.D20.002052.png,156,2,78,coleoptera,val,313.32,64.29,47.86,46.66,,137.35,92.64,59.38,118.41,206.09,58.26,,,,,193.64,193.45,71.17,58.68,,,,,,,,,4.01692307692308,0.824230769230769,0.613589743589744,0.598205128205128,0,1.76089743589744,1.18769230769231,0.761282051282051,1.51807692307692,2.64217948717949,0.746923076923077,0,0,0,0,2.4825641025641,2.48012820512821,0.912435897435898,0.752307692307692,0,0,0,0,0,0,0,0
IMG_0547_specimen_3_TREOBT_NEON.BET.D20.001629.png,156,2,78,coleoptera,val,334.33,69.69,47.61,50.88,121.05,114.15,96.32,69.07,115.46,217.65,42.59,,,,,204.49,207.6,67.07,72.31,,,,,,,,20.9,4.28628205128205,0.893461538461538,0.610384615384615,0.652307692307692,1.55192307692308,1.46346153846154,1.23487179487179,0.88551282051282,1.48025641025641,2.79038461538462,0.546025641025641,0,0,0,0,2.62166666666667,2.66153846153846,0.859871794871795,0.927051282051282,0,0,0,0,0,0,0,0.267948717948718
IMG_0258_specimen_3_MECKON_NEON.BET.D20.003092.png,156,2,78,coleoptera,val,295.49,64.89,23.85,45.8,98.23,117.49,90.89,69.87,124.95,201.76,46.17,,,,,194.7,194.46,80.11,51.63,,,,,,,,,3.78833333333333,0.831923076923077,0.305769230769231,0.587179487179487,1.25935897435897,1.50628205128205,1.16525641025641,0.895769230769231,1.60192307692308,2.58666666666667,0.591923076923077,0,0,0,0,2.49615384615385,2.49307692307692,1.02705128205128,0.661923076923077,0,0,0,0,0,0,0,0
