epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,127.478,2.14102,11.7866,0.7049,1.6192,0.04464,32.664,1,0.4633,0.7899,0.32553,0,0,0,0,2.02548,11.8082,0.69366,1.53487,0.05579,0,0.0001,0.0001,0.0001
2,230.936,1.72261,11.7467,0.70922,0.86776,0.0353,25.542,1,0.99583,0.995,0.57108,0,0,0,0,1.65517,11.7379,0.68972,0.40707,0.05066,0,0.000217822,0.000217822,0.000217822
3,338.432,1.39416,11.3522,0.71522,0.76227,0.02809,20.0062,0.99375,1,0.995,0.71345,0,0,0,0,1.09208,11.3583,0.66197,0.35802,0.02788,0,0.000333268,0.000333268,0.000333268
4,438.194,1.28376,10.8172,0.69539,0.63651,0.02493,17.1193,0.99637,0.93333,0.94661,0.61812,0,0,0,0,1.35708,10.9746,0.6001,0.58328,0.03742,0,0.000446338,0.000446338,0.000446338
5,539.399,1.24174,10.3977,0.65352,0.53273,0.02504,14.1366,0.99642,1,0.995,0.56034,0,0,0,0,1.562,9.54451,0.47879,0.42773,0.04255,0,0.000557032,0.000557032,0.000557032
6,644.603,1.19859,10.2566,0.58734,0.49786,0.02279,12.2301,0.99793,1,0.995,0.65273,0,0,0,0,1.26215,10.1653,0.3533,0.40466,0.03011,0,0.00066535,0.00066535,0.00066535
7,745.079,1.23564,10.0597,0.56673,0.50641,0.0243,11.3949,0.99508,1,0.995,0.6251,0,0,0,0,1.51262,9.27919,0.30573,0.33647,0.04039,0,0.000771292,0.000771292,0.000771292
8,860.108,1.09958,9.63535,0.51978,0.49235,0.02068,10.5422,0.99587,1,0.995,0.74336,0,0,0,0,0.99985,9.17319,0.28343,0.24492,0.02498,0,0.000874858,0.000874858,0.000874858
9,976.826,1.26677,9.76977,0.53258,0.62614,0.02487,10.7888,0.99677,1,0.995,0.77449,0,0,0,0,0.924,9.51975,0.25424,0.22285,0.02336,0,0.000976048,0.000976048,0.000976048
10,1087.88,1.13039,9.31462,0.49108,0.50791,0.02215,10.4103,0.99635,1,0.995,0.71883,0,0,0,0,1.25191,10.3494,0.23212,0.31643,0.03163,0,0.00107486,0.00107486,0.00107486
11,1203.63,1.12406,9.37251,0.51072,0.51948,0.02166,10.6008,1,0.98842,0.995,0.63655,0,0,0,0,1.43693,9.35062,0.23709,0.40795,0.04198,0,0.0011713,0.0011713,0.0011713
12,1320.91,1.27314,9.46243,0.49348,0.54632,0.02725,9.8448,0.99923,1,0.995,0.6633,0,0,0,0,1.26814,10.0606,0.23743,0.33295,0.03402,0,0.00126536,0.00126536,0.00126536
13,1424.8,1.10559,9.17231,0.47756,0.49625,0.0211,9.54025,0.99637,1,0.995,0.61319,0,0,0,0,1.50604,10.4004,0.24449,0.35719,0.04312,0,0.00135705,0.00135705,0.00135705
14,1534.71,1.33845,9.01758,0.48964,0.64617,0.02782,10.2749,0.99961,1,0.995,0.76777,0,0,0,0,0.94099,10.9262,0.28051,0.25368,0.02263,0,0.00144636,0.00144636,0.00144636
15,1646,1.15703,9.4123,0.47497,0.52309,0.02231,10.6576,0.99788,1,0.995,0.80078,0,0,0,0,0.83672,10.8568,0.33492,0.23141,0.02111,0,0.00153329,0.00153329,0.00153329
16,1758.98,1.20308,9.15268,0.45398,0.50234,0.0232,10.1502,0.99611,1,0.995,0.66328,0,0,0,0,1.20831,10.3141,0.37745,0.29447,0.03026,0,0.00161785,0.00161785,0.00161785
17,1868.64,1.22966,8.87908,0.44374,0.51991,0.02606,10.1592,0.99587,1,0.995,0.47862,0,0,0,0,1.95453,10.8407,0.42577,0.44739,0.06139,0,0.0016832,0.0016832,0.0016832
18,1980.6,1.31224,9.00772,0.44535,0.50872,0.02738,10.1874,0.99494,1,0.995,0.72901,0,0,0,0,1.03792,10.3251,0.37037,0.29201,0.02641,0,0.0016634,0.0016634,0.0016634
19,2081.72,1.35944,9.26497,0.43794,0.45349,0.03009,10.0974,1,0.99765,0.995,0.67891,0,0,0,0,1.24684,11.1152,0.32279,0.36305,0.03471,0,0.0016436,0.0016436,0.0016436
