epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,3.02059,2.29183,11.6162,0.70444,1.80361,0.04754,27.6151,0.94504,0.86022,0.97833,0.43308,0,0,0,0,1.97086,11.8839,0.69662,0.80964,0.05292,0,0.00018,0.00018,0.00018
2,6.13158,1.5653,11.1566,0.69189,0.8199,0.03128,17.6836,0.99867,1,0.995,0.70771,0,0,0,0,1.17261,11.2083,0.64052,0.28432,0.03034,0,0.000377492,0.000377492,0.000377492
3,8.98508,1.39298,10.1216,0.64178,0.58547,0.02803,11.1767,0.99721,1,0.995,0.65697,0,0,0,0,1.33668,10.0695,0.5186,0.33354,0.0347,0,0.000572344,0.000572344,0.000572344
4,11.754,1.31257,9.84275,0.57228,0.53791,0.02617,9.62368,0.99576,1,0.995,0.6081,0,0,0,0,1.39581,9.53902,0.40067,0.35254,0.03837,0,0.000764556,0.000764556,0.000764556
5,14.5206,1.27395,9.32344,0.49581,0.52736,0.02605,8.18784,0.99651,1,0.995,0.58009,0,0,0,0,1.51196,7.74401,0.26798,0.37333,0.04454,0,0.000954128,0.000954128,0.000954128
6,17.3203,1.26571,8.59991,0.46413,0.53714,0.02626,7.02209,0.99719,1,0.995,0.6933,0,0,0,0,1.17934,7.94298,0.24262,0.27311,0.03025,0,0.00114106,0.00114106,0.00114106
7,20.0001,1.21662,8.62636,0.45426,0.49934,0.02489,6.8611,0.99622,1,0.995,0.64158,0,0,0,0,1.40071,9.45074,0.25554,0.43925,0.04192,0,0.00132535,0.00132535,0.00132535
8,22.6873,1.14834,8.74815,0.43181,0.45584,0.02348,7.03275,0.99744,1,0.995,0.72014,0,0,0,0,1.10984,8.25406,0.25959,0.25562,0.03056,0,0.001507,0.001507,0.001507
9,25.4134,1.32662,8.82709,0.43051,0.51184,0.02667,6.67374,0.99747,1,0.995,0.74863,0,0,0,0,1.04303,10.4854,0.26201,0.24368,0.02776,0,0.00168602,0.00168602,0.00168602
10,28.1174,1.22361,8.37817,0.40913,0.51143,0.02414,6.37074,0.99335,1,0.995,0.64605,0,0,0,0,1.35878,11.0577,0.31396,0.35577,0.03835,0,0.00186239,0.00186239,0.00186239
