epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,4.30083,2.38104,11.4506,0.69616,1.8647,0.05096,28.4845,0.99683,1,0.995,0.64121,0,0,0,0,1.48228,11.5428,0.69657,0.32171,0.04065,0,0.00018,0.00018,0.00018
2,8.11316,1.62981,10.5515,0.70468,0.76784,0.03303,20.3442,0.98529,0.95,0.98204,0.33691,0,0,0,0,2.51136,10.1875,0.63677,0.7995,0.08682,0,0.000379248,0.000379248,0.000379248
3,11.8579,1.48308,9.29027,0.72714,0.60593,0.02995,14.0972,0.99517,1,0.995,0.62372,0,0,0,0,1.43584,8.84504,0.59083,0.34456,0.04133,0,0.000577703,0.000577703,0.000577703
4,15.5601,1.50767,8.32954,0.68923,0.53655,0.03179,10.3668,0.99578,1,0.995,0.60394,0,0,0,0,1.43242,7.35108,0.46332,0.34091,0.04251,0,0.000775367,0.000775367,0.000775367
5,19.2479,1.54308,8.07042,0.61362,0.65268,0.0325,8.7599,0.94419,0.95,0.98598,0.45297,0,0,0,0,2.08982,8.81843,0.32476,0.54645,0.07613,0,0.000972238,0.000972238,0.000972238
6,22.9289,1.62754,7.55463,0.60377,0.57256,0.03406,7.59889,0.99539,1,0.995,0.58722,0,0,0,0,1.69316,9.38783,0.20516,0.36907,0.05608,0,0.00116832,0.00116832,0.00116832
7,26.5906,1.48979,7.24541,0.58529,0.59179,0.02998,7.10443,0.98806,1,0.995,0.46264,0,0,0,0,2.07222,10.5245,0.1738,0.46738,0.06741,0,0.00136361,0.00136361,0.00136361
8,30.2542,1.50428,7.12939,0.57302,0.59633,0.03355,7.45239,0.95106,1,0.99024,0.66433,0,0,0,0,1.33312,6.35829,0.2389,0.3648,0.03938,0,0.0015581,0.0015581,0.0015581
9,33.9551,1.45486,6.68414,0.55836,0.56521,0.0294,6.7752,0.99772,1,0.995,0.53763,0,0,0,0,1.63973,10.6104,0.17036,0.47541,0.04972,0,0.0017518,0.0017518,0.0017518
10,37.6658,1.44852,7.22438,0.53999,0.63299,0.02899,7.12034,0.66535,1,0.83985,0.37466,0,0,0,0,1.82681,11.4935,0.12149,0.87772,0.06059,0,0.00194472,0.00194472,0.00194472
11,41.4404,1.57175,6.50165,0.53141,0.63686,0.03159,6.54973,0.8961,0.95,0.92847,0.5194,0,0,0,0,1.60475,10.8524,0.11673,0.66202,0.04781,0,0.0019604,0.0019604,0.0019604
12,45.1718,1.32146,6.47181,0.52501,0.504,0.02595,6.30584,0.83724,0.95,0.91412,0.32599,0,0,0,0,2.22098,11.0835,0.12976,1.23489,0.07589,0,0.00195644,0.00195644,0.00195644
13,48.9303,1.43336,5.89641,0.50412,0.48323,0.02838,5.69682,0.98705,1,0.995,0.59309,0,0,0,0,1.47985,9.6884,0.17833,1.27275,0.04361,0,0.00195248,0.00195248,0.00195248
