epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,6.72156,2.33738,11.5785,0.69895,1.77383,0.04963,28.0422,1,0.99678,0.995,0.58006,0,0,0,0,1.49066,11.7024,0.6846,0.37126,0.04174,0,0.00018,0.00018,0.00018
2,10.8985,1.47561,10.9967,0.67801,0.60467,0.03041,17.3541,0.84918,1,0.97932,0.61219,0,0,0,0,1.49411,10.9574,0.61868,0.44055,0.04253,0,0.000379248,0.000379248,0.000379248
3,15.0566,1.46435,10.4392,0.62976,0.53913,0.02887,12.5728,1,0.94753,0.99262,0.70495,0,0,0,0,1.05402,10.6309,0.52732,0.51937,0.02583,0,0.000577703,0.000577703,0.000577703
4,19.2199,1.47875,10.1165,0.55191,0.53277,0.03082,10.4643,1,0.99471,0.995,0.64936,0,0,0,0,1.37128,10.3041,0.36568,0.3589,0.03419,0,0.000775367,0.000775367,0.000775367
5,23.3486,1.55781,9.70615,0.48413,0.6163,0.03387,8.97752,0.98671,1,0.995,0.44517,0,0,0,0,2.03865,9.45823,0.23756,0.65875,0.06445,0,0.000972238,0.000972238,0.000972238
6,27.474,1.4542,9.17008,0.45512,0.55617,0.03033,7.55153,0.99247,1,0.995,0.51677,0,0,0,0,1.80826,10.1907,0.20724,0.54369,0.05115,0,0.00116832,0.00116832,0.00116832
7,31.5541,1.54742,9.46046,0.44169,0.58324,0.03165,7.60934,0.99368,1,0.995,0.5692,0,0,0,0,1.52587,9.51639,0.22327,0.39707,0.03982,0,0.00136361,0.00136361,0.00136361
8,35.6589,1.59747,9.23985,0.42866,0.62315,0.03523,7.50404,1,0.9946,0.995,0.36555,0,0,0,0,2.53608,10.2463,0.23615,0.61712,0.07892,0,0.0015581,0.0015581,0.0015581
9,39.7613,1.52425,9.0717,0.41313,0.59928,0.03061,6.94397,0.94861,1,0.99262,0.41971,0,0,0,0,2.14622,11.5781,0.23158,0.5021,0.06697,0,0.0017518,0.0017518,0.0017518
10,43.8634,1.48503,8.94984,0.39114,0.58209,0.03082,6.85908,1,0.99492,0.995,0.5859,0,0,0,0,1.62747,11.3493,0.25455,0.66178,0.04786,0,0.00194472,0.00194472,0.00194472
11,47.9231,1.45294,9.24147,0.38266,0.60728,0.02912,7.29106,0.99407,1,0.995,0.67993,0,0,0,0,1.09046,10.5411,0.25148,0.41518,0.02953,0,0.0019604,0.0019604,0.0019604
12,52.0244,1.42354,8.8662,0.37841,0.62072,0.02896,6.77991,0.95122,1,0.98786,0.52102,0,0,0,0,1.734,11.2595,0.23322,0.44255,0.05556,0,0.00195644,0.00195644,0.00195644
13,56.0958,1.52822,8.62696,0.37034,0.62775,0.03278,6.57988,0.90513,1,0.96545,0.40298,0,0,0,0,2.3637,9.81932,0.22948,0.60516,0.07026,0,0.00195248,0.00195248,0.00195248
14,60.1966,1.36215,8.6066,0.36086,0.57147,0.02659,6.37124,0.99554,1,0.995,0.65009,0,0,0,0,1.38351,9.45611,0.19938,0.33602,0.03456,0,0.00194852,0.00194852,0.00194852
15,64.264,1.47809,9.03947,0.37637,0.51264,0.03104,6.85423,0.99602,1,0.995,0.61918,0,0,0,0,1.42929,10.5456,0.19851,0.33374,0.04235,0,0.00194456,0.00194456,0.00194456
16,68.3656,1.40299,8.34951,0.36645,0.48728,0.0278,5.92311,0.99212,0.95,0.99262,0.57252,0,0,0,0,1.58837,8.45416,0.24102,0.48346,0.04532,0,0.0019406,0.0019406,0.0019406
17,72.4247,1.34747,8.97004,0.36173,0.50167,0.02559,6.44883,0.99515,0.95,0.99045,0.4673,0,0,0,0,1.95083,10.5906,0.23027,0.47792,0.06063,0,0.00193664,0.00193664,0.00193664
18,76.5201,1.32317,8.72715,0.34966,0.52433,0.02766,6.45111,0.98481,1,0.995,0.64435,0,0,0,0,1.35879,7.89292,0.24054,0.42632,0.03816,0,0.00193268,0.00193268,0.00193268
19,80.5891,1.38103,8.63361,0.36019,0.53748,0.02732,6.30569,0.99479,0.95,0.96881,0.65681,0,0,0,0,1.23707,7.70086,0.23394,0.3991,0.03368,0,0.00192872,0.00192872,0.00192872
20,84.6901,1.35597,8.1112,0.34836,0.52247,0.02681,5.70549,0.99401,1,0.995,0.683,0,0,0,0,1.18077,8.57401,0.22067,0.66273,0.03205,0,0.00192476,0.00192476,0.00192476
21,88.7676,1.25439,7.64841,0.33995,0.50107,0.02512,5.44761,0.9945,1,0.995,0.66401,0,0,0,0,1.20323,7.89384,0.21318,0.70175,0.03274,0,0.0019208,0.0019208,0.0019208
22,92.8579,1.21747,7.80967,0.32595,0.45931,0.02499,5.66935,0.99269,0.95,0.98667,0.7171,0.05894,0.05,0.00919,0.00092,0.99432,6.27466,0.21375,0.39395,0.02589,0,0.00191684,0.00191684,0.00191684
23,96.9621,1.24514,7.46246,0.34098,0.5185,0.0247,5.33548,0.94808,0.9,0.95159,0.73446,0,0,0,0,0.80799,7.31588,0.20511,0.77322,0.02101,0,0.00191288,0.00191288,0.00191288
24,101.076,1.2889,7.46728,0.34422,0.5244,0.02621,5.34756,0.99415,0.95,0.95993,0.54273,0,0,0,0,1.67515,7.9828,0.20219,0.52899,0.049,0,0.00190892,0.00190892,0.00190892
25,105.154,1.30668,7.48078,0.32289,0.53008,0.02738,5.46147,0.93915,1,0.99024,0.67702,0.51639,0.55,0.29346,0.04394,1.10728,4.83612,0.22188,0.38304,0.02721,0,0.00190496,0.00190496,0.00190496
26,109.245,1.10651,7.137,0.32201,0.45202,0.02271,5.03459,0.99861,1,0.995,0.70776,0,0,0,0,1.10481,6.93816,0.22006,0.4006,0.02703,0,0.001901,0.001901,0.001901
27,113.324,1.27869,7.38512,0.32918,0.52076,0.02565,5.15307,0.99916,1,0.995,0.76871,0,0,0,0,0.91266,7.62653,0.23336,0.28362,0.02262,0,0.00189704,0.00189704,0.00189704
28,117.455,1.28617,7.27884,0.32009,0.48563,0.02508,4.85044,0.95932,1,0.995,0.76302,0.09497,0.1,0.01649,0.00209,0.95765,5.91395,0.26428,0.29119,0.02384,0,0.00189308,0.00189308,0.00189308
29,121.524,1.21495,7.11771,0.31125,0.51006,0.02276,4.57317,0.97677,1,0.995,0.83482,0.40753,0.37899,0.29941,0.03797,0.74544,5.05221,0.26858,1.32169,0.01837,0,0.00188912,0.00188912,0.00188912
