epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,3.92047,2.36729,0.95349,0.69612,1.84542,0.05065,28.3826,0.99712,1,0.995,0.63345,0,0,0,0,1.46895,0.97093,0.69523,0.32169,0.04043,0,0.00018,0.00018,0.00018
2,7.73935,1.63609,0.8824,0.69666,0.66268,0.03348,19.5616,0.9487,1,0.97595,0.45076,0,0,0,0,1.99697,0.90165,0.58392,0.63712,0.06396,0,0.000379248,0.000379248,0.000379248
3,11.5035,1.41466,0.78225,0.69252,0.52291,0.02825,13.5381,1,0.99536,0.995,0.63229,0,0,0,0,1.41998,0.85782,0.57753,0.39789,0.04397,0,0.000577703,0.000577703,0.000577703
4,15.2652,1.55031,0.72505,0.66487,0.55256,0.03379,11.1469,0.99566,1,0.995,0.63593,0,0,0,0,1.38146,0.75617,0.48156,0.44996,0.04362,0,0.000775367,0.000775367,0.000775367
5,19.0653,1.46734,0.66195,0.60092,0.57645,0.03091,8.49431,1,0.98158,0.995,0.60934,0,0,0,0,1.45837,0.57188,0.3251,0.50217,0.04431,0,0.000972238,0.000972238,0.000972238
6,22.8443,1.45612,0.64047,0.57986,0.53749,0.03084,7.67744,1,0.99726,0.995,0.68373,0,0,0,0,1.18568,0.63055,0.21913,0.32086,0.0339,0,0.00116832,0.00116832,0.00116832
7,26.6038,1.60527,0.6346,0.54616,0.58271,0.03372,7.26505,0.95225,0.9972,0.99262,0.54674,0,0,0,0,1.631,0.5878,0.32395,0.43608,0.04916,0,0.00136361,0.00136361,0.00136361
8,30.3323,1.46099,0.63087,0.53116,0.57221,0.03165,7.50924,0.98479,1,0.995,0.5268,0.05506,0.05,0.00697,0.0007,1.66821,0.54277,0.24676,0.40927,0.05322,0,0.0015581,0.0015581,0.0015581
9,34.071,1.41715,0.5849,0.54418,0.54549,0.02957,7.09495,0.98525,0.95,0.96038,0.463,0,0,0,0,2.03415,0.82881,0.15945,0.46365,0.07396,0,0.0017518,0.0017518,0.0017518
10,37.8266,1.54531,0.60285,0.52476,0.5967,0.03172,7.28468,0.94075,0.85,0.91343,0.26585,0,0,0,0,2.74679,0.88141,0.12797,0.71433,0.09674,0,0.00194472,0.00194472,0.00194472
11,41.5517,1.43005,0.58764,0.50796,0.53428,0.02743,6.48078,0.94347,0.95,0.98795,0.695,0,0,0,0,1.17393,0.79691,0.13988,0.38692,0.03452,0,0.0019604,0.0019604,0.0019604
12,45.3126,1.29415,0.54404,0.50218,0.48127,0.02629,6.2167,0.97573,0.9,0.97583,0.40118,0,0,0,0,2.21461,0.91549,0.11996,1.32805,0.0841,0,0.00195644,0.00195644,0.00195644
13,49.0457,1.32578,0.56186,0.48747,0.50674,0.0269,6.42269,0.74079,0.75,0.83757,0.48935,0.03439,0.1,0.00546,0.00055,1.51965,0.59575,0.30312,3.02406,0.04477,0,0.00195248,0.00195248,0.00195248
14,52.8028,1.3656,0.54705,0.47272,0.52167,0.02687,6.25813,0.86056,0.92634,0.93221,0.53423,0,0,0,0,1.39734,0.76667,0.17998,2.18911,0.04297,0,0.00194852,0.00194852,0.00194852
15,56.5201,1.31046,0.56689,0.45614,0.52503,0.02804,6.66124,0.92924,0.9,0.97833,0.46631,0,0,0,0,1.56938,0.84904,0.17245,2.11105,0.04705,0,0.00194456,0.00194456,0.00194456
16,60.2445,1.34693,0.52659,0.45984,0.5264,0.02567,5.73817,0.72832,0.85,0.75067,0.25656,0,0,0,0,2.60461,0.82501,0.20217,1.54512,0.08733,0,0.0019406,0.0019406,0.0019406
