epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,9.16361,2.32965,96.7513,0.69874,1.79137,0.0495,28.2667,0.99577,1,0.995,0.59413,0,0,0,0,1.60616,98.2898,0.68631,0.36137,0.04709,0,0.00018,0.00018,0.00018
2,13.4141,1.58379,93.7265,0.69705,0.75081,0.03212,19.1309,1,0.99445,0.995,0.37206,0,0,0,0,2.34248,97.2013,0.63269,0.5255,0.06668,0,0.000379248,0.000379248,0.000379248
3,17.4301,1.60256,91.6335,0.63708,0.78358,0.03134,15.6122,0.99726,1,0.995,0.6372,0,0,0,0,1.41468,83.1657,0.5428,0.37238,0.03748,0,0.000577703,0.000577703,0.000577703
4,21.5089,1.6539,89.0333,0.58491,0.78138,0.03557,13.091,0.92959,0.95,0.98167,0.55933,0,0,0,0,1.61758,78.3798,0.39007,0.55648,0.04558,0,0.000775367,0.000775367,0.000775367
5,25.6727,1.77347,85.118,0.51421,0.83633,0.04052,10.7204,0.85103,0.9,0.95716,0.49174,0,0,0,0,1.76173,83.0582,0.30594,0.731,0.05031,0,0.000972238,0.000972238,0.000972238
6,29.81,1.70657,81.8146,0.49324,0.87839,0.03617,9.37974,0.87577,0.8,0.92002,0.38653,0,0,0,0,2.04536,91.7928,0.24628,1.14832,0.05924,0,0.00116832,0.00116832,0.00116832
7,33.9099,1.7734,84.3375,0.49572,0.88618,0.03712,9.2964,0.97721,0.65,0.89098,0.42622,0,0,0,0,1.59741,79.4704,0.2716,1.33249,0.04306,0,0.00136361,0.00136361,0.00136361
8,38.0161,1.72348,81.9266,0.49799,0.86143,0.03805,9.10862,0.78844,1,0.81618,0.36979,0,0,0,0,1.81144,91.6568,0.25058,0.80828,0.04768,0,0.0015581,0.0015581,0.0015581
9,42.1192,1.84053,79.599,0.46526,0.85667,0.03751,8.12639,0.60402,1,0.70682,0.23097,0,0,0,0,2.18683,94.9536,0.25485,1.9071,0.06393,0,0.0017518,0.0017518,0.0017518
10,46.2344,1.87249,77.08,0.45248,0.84737,0.03951,7.99118,0.42721,0.89511,0.71666,0.23534,0,0,0,0,2.27808,95.3181,0.26848,3.18977,0.07591,0,0.00194472,0.00194472,0.00194472
11,50.3161,1.81229,77.9363,0.45147,0.84652,0.03788,8.03777,0.31425,0.65,0.28933,0.07318,0,0,0,0,2.73052,96.8597,0.22564,2.61926,0.09493,0,0.0019604,0.0019604,0.0019604
12,54.4139,1.72511,78.3881,0.43978,0.8566,0.03556,7.99964,0.75633,0.55,0.68956,0.27924,0,0,0,0,1.92696,97.7214,0.30707,1.95806,0.0516,0,0.00195644,0.00195644,0.00195644
