epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,8.95797,2.32965,96.7513,0.69874,1.79137,0.0495,28.2667,0.99577,1,0.995,0.59413,0,0,0,0,1.60616,98.2898,0.68631,0.36137,0.04709,0,0.00018,0.00018,0.00018
2,13.1331,1.59484,93.4887,0.6984,0.74891,0.03214,18.9294,0.9947,1,0.995,0.37524,0,0,0,0,2.53716,99.1568,0.62832,0.55394,0.07509,0,0.000377492,0.000377492,0.000377492
3,17.2102,1.6482,90.3625,0.63732,0.80174,0.03293,14.8949,1,0.79731,0.95462,0.34627,0,0,0,0,2.30355,97.3199,0.57335,1.08747,0.07004,0,0.000572344,0.000572344,0.000572344
4,21.2849,1.68719,88.9105,0.59966,0.92393,0.03611,13.7665,0.70443,0.8,0.78035,0.33508,0,0,0,0,1.91901,86.0282,0.4955,1.37745,0.0573,0,0.000764556,0.000764556,0.000764556
5,25.3604,1.61621,87.2581,0.52911,0.98312,0.0353,11.421,0.6531,1,0.83704,0.39766,0,0,0,0,1.86178,87.3523,0.29521,0.98783,0.05574,0,0.000954128,0.000954128,0.000954128
6,29.4397,1.64386,85.945,0.50123,1.04731,0.03637,10.1139,0.76943,0.83478,0.87293,0.39018,0,0,0,0,1.78049,70.6921,0.28371,1.10532,0.048,0,0.00114106,0.00114106,0.00114106
7,33.5049,1.78422,86.113,0.49442,0.92669,0.03761,9.35742,0.94002,0.95,0.96,0.40989,0,0,0,0,1.99148,95.9677,0.24087,0.78673,0.06337,0,0.00132535,0.00132535,0.00132535
8,37.5713,1.69845,83.4548,0.47883,0.78381,0.03721,8.89859,0.86239,0.95,0.95471,0.46786,0,0,0,0,1.81416,91.9744,0.27208,0.95184,0.0513,0,0.001507,0.001507,0.001507
9,41.6359,1.73666,80.2342,0.46781,0.82132,0.0361,8.26921,0.9007,0.9074,0.96359,0.32308,0,0,0,0,2.3227,96.2109,0.26031,0.72546,0.06822,0,0.00168602,0.00168602,0.00168602
10,45.6992,1.85399,78.6024,0.45895,0.78835,0.0387,8.03513,0.90101,0.91056,0.98372,0.43839,0,0,0,0,2.05137,65.1908,0.24108,0.66128,0.05604,0,0.00186239,0.00186239,0.00186239
11,49.7208,1.88709,81.6992,0.46535,0.79758,0.03861,8.27979,0.9959,0.9,0.98096,0.57281,0,0,0,0,1.43008,90.0803,0.22136,0.67604,0.03801,0,0.001868,0.001868,0.001868
12,53.7804,1.74807,76.0891,0.45158,0.67703,0.03617,7.69737,0.9246,0.85,0.94315,0.38911,0,0,0,0,2.10057,84.0601,0.22994,0.75467,0.05815,0,0.0018548,0.0018548,0.0018548
13,57.8276,1.62569,74.0867,0.43162,0.67542,0.03306,7.28148,0.33472,0.6,0.30623,0.13683,0,0,0,0,2.04774,76.524,0.27268,1.96177,0.0591,0,0.0018416,0.0018416,0.0018416
14,61.9441,1.64178,71.924,0.43627,0.6582,0.03266,6.98119,0.74373,0.95,0.935,0.51876,0,0,0,0,1.63477,72.2919,0.26577,0.72811,0.04555,0,0.0018284,0.0018284,0.0018284
15,66.007,1.7069,72.2689,0.42429,0.67917,0.03612,7.24791,0.94292,0.82666,0.96055,0.49627,0,0,0,0,1.80799,73.6996,0.27293,0.68375,0.04913,0,0.0018152,0.0018152,0.0018152
16,70.1191,1.58513,69.2743,0.42175,0.63921,0.03087,6.58992,0.93498,1,0.995,0.47833,0,0,0,0,1.86651,75.6152,0.25634,0.79331,0.04967,0,0.001802,0.001802,0.001802
17,74.182,1.53414,72.2702,0.40979,0.67582,0.02984,6.57092,0.94912,0.95,0.98667,0.41059,0,0,0,0,1.99613,81.4484,0.25291,0.73196,0.06555,0,0.0017888,0.0017888,0.0017888
18,78.2363,1.6965,71.8766,0.41869,0.80191,0.03604,7.05357,0.94993,0.9486,0.94254,0.39895,0,0,0,0,2.14863,83.9845,0.28028,0.86465,0.06267,0,0.0017756,0.0017756,0.0017756
19,82.2359,1.58123,71.2446,0.39728,0.70821,0.03218,6.58033,0.85008,0.9,0.94199,0.47842,0,0,0,0,1.75199,70.0321,0.28876,0.71138,0.04754,0,0.0017624,0.0017624,0.0017624
20,86.3174,1.57636,67.6401,0.39737,0.6855,0.03215,6.27465,0.79907,1,0.95951,0.55451,0,0,0,0,1.61676,73.4251,0.26972,0.57284,0.04395,0,0.0017492,0.0017492,0.0017492
21,90.381,1.58804,67.1664,0.38736,0.67731,0.03223,6.23628,0.80129,0.9,0.93863,0.5518,0,0,0,0,1.48401,68.6473,0.25259,0.83358,0.0388,0,0.001736,0.001736,0.001736
22,94.4534,1.60708,64.0574,0.37512,0.71591,0.03443,6.09429,0.98621,0.9,0.98591,0.39605,0,0,0,0,2.32768,65.2943,0.23455,0.63375,0.07037,0,0.0017228,0.0017228,0.0017228
23,98.4659,1.72632,67.1911,0.39409,0.72083,0.03807,6.48044,0.89783,1,0.98328,0.56675,0,0,0,0,1.61559,69.1096,0.23748,0.51106,0.04258,0,0.0017096,0.0017096,0.0017096
24,102.521,1.63292,65.7071,0.39014,0.64581,0.03378,6.09839,0.9455,0.95,0.98667,0.59945,0.0662,0.05,0.00684,0.00122,1.53922,56.2081,0.24751,0.62271,0.04253,0,0.0016964,0.0016964,0.0016964
25,106.624,1.68955,66.1592,0.38585,0.66899,0.03617,6.10685,0.82166,1,0.97485,0.5727,0.03837,0.05,0.00297,0.0003,1.56142,56.6797,0.23928,0.49075,0.04135,0,0.0016832,0.0016832,0.0016832
26,110.723,1.55385,61.5596,0.38166,0.6529,0.03302,5.71649,0.9187,0.9,0.96971,0.57889,0.18117,0.2,0.04455,0.00537,1.52313,48.4789,0.28232,0.50616,0.04163,0,0.00167,0.00167,0.00167
27,114.797,1.75327,63.8371,0.38569,0.68608,0.03679,5.856,0.95017,1,0.995,0.57474,0,0,0,0,1.60314,57.7964,0.29905,0.49068,0.0418,0,0.0016568,0.0016568,0.0016568
28,118.903,1.55298,62.7202,0.38328,0.61441,0.03138,5.36257,0.95229,0.99814,0.99262,0.58462,0.2129,0.2,0.0768,0.0089,1.63977,49.2607,0.29532,0.43901,0.04688,0,0.0016436,0.0016436,0.0016436
29,122.978,1.57192,62.7283,0.39116,0.67539,0.03045,5.23207,1,0.99184,0.995,0.60517,0.2539,0.25,0.12495,0.02348,1.53023,49.872,0.29452,0.49388,0.04256,0,0.0016304,0.0016304,0.0016304
30,127.125,1.54875,59.6056,0.38864,0.57914,0.03092,5.20606,1,0.89321,0.96759,0.5772,0.44509,0.3,0.18484,0.02652,1.54281,43.9477,0.31419,0.55575,0.04007,0,0.0016172,0.0016172,0.0016172
31,131.214,1.49107,60.052,0.37891,0.56427,0.03004,5.04591,0.93924,0.95,0.98795,0.57986,0.03093,0.15,0.01783,0.00235,1.55652,68.378,0.26957,0.48649,0.04282,0,0.001604,0.001604,0.001604
32,135.343,1.59803,63.2103,0.38168,0.64015,0.03353,5.75105,0.94718,0.89671,0.93367,0.50518,0,0,0,0,1.45258,68.3763,0.49079,1.28892,0.0409,0,0.0015908,0.0015908,0.0015908
33,139.45,1.61886,61.7604,0.37938,0.64742,0.03484,5.45413,0.9444,1,0.99024,0.59684,0.24125,0.2,0.08367,0.01225,1.48615,51.3121,0.32418,0.8247,0.04589,0,0.0015776,0.0015776,0.0015776
34,143.568,1.57996,61.0454,0.39601,0.64288,0.03378,5.59737,1,0.99014,0.995,0.44279,0.05856,0.05,0.00805,0.0008,2.05511,53.5253,0.25652,0.80337,0.05845,0,0.0015644,0.0015644,0.0015644
35,147.664,1.67429,63.4492,0.39821,0.66784,0.0352,5.78835,0.99119,1,0.995,0.3256,0.14986,0.15,0.0359,0.00487,2.46023,51.0094,0.2578,0.6371,0.07224,0,0.0015512,0.0015512,0.0015512
36,151.787,1.57511,68.3156,0.38954,0.6771,0.03173,5.85621,0.95865,1,0.995,0.4989,0.14456,0.15,0.06086,0.01201,1.77862,49.2633,0.24826,0.45427,0.05387,0,0.001538,0.001538,0.001538
37,155.904,1.58197,62.4952,0.38221,0.63906,0.03134,5.13028,0.99016,1,0.995,0.6047,0.4477,0.45,0.36431,0.07259,1.5438,41.0684,0.24325,0.4395,0.04307,0,0.0015248,0.0015248,0.0015248
38,160.079,1.60145,63.5382,0.37202,0.67448,0.0327,5.37048,0.99543,1,0.995,0.57521,0,0,0,0,1.60658,71.9249,0.2423,0.45689,0.04665,0,0.0015116,0.0015116,0.0015116
39,164.18,1.62198,62.4889,0.38052,0.66765,0.03517,5.60073,0.94737,1,0.99024,0.52061,0.0814,0.05,0.05297,0.0053,1.77671,56.764,0.26296,0.64054,0.05064,0,0.0014984,0.0014984,0.0014984
40,168.302,1.65866,61.787,0.38161,0.64886,0.03622,5.43867,1,0.9468,0.99045,0.56608,0.28537,0.2,0.165,0.0165,1.65168,49.3492,0.26858,0.45608,0.04563,0,0.0014852,0.0014852,0.0014852
41,172.337,1.61509,57.7071,0.36723,0.59663,0.03321,4.78416,0.9964,1,0.995,0.65037,0.53219,0.45,0.41323,0.08352,1.40943,41.8513,0.26572,0.31033,0.03813,0,0.001472,0.001472,0.001472
