epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,7.43939,2.33738,11.5785,0.69895,1.77383,0.04963,28.0422,1,0.99678,0.995,0.58006,0,0,0,0,1.49066,11.7024,0.6846,0.37126,0.04174,0,0.00018,0.00018,0.00018
2,11.7053,1.45104,10.8471,0.68054,0.60941,0.02965,16.3432,0.94068,0.9,0.95408,0.64018,0,0,0,0,1.29951,11.2742,0.6094,0.64908,0.03544,0,0.000377492,0.000377492,0.000377492
3,16.0095,1.377,10.2713,0.63882,0.54212,0.02688,11.9294,0.9038,0.93994,0.95325,0.64149,0,0,0,0,1.23126,11.0608,0.51109,0.50598,0.03361,0,0.000572344,0.000572344,0.000572344
4,20.2944,1.32185,9.97163,0.55451,0.52732,0.02677,9.99069,0.90901,0.99902,0.98591,0.62833,0,0,0,0,1.27208,9.77748,0.35472,0.38504,0.0328,0,0.000764556,0.000764556,0.000764556
5,24.5415,1.38209,9.59521,0.48142,0.51131,0.02877,8.51225,1,0.99091,0.995,0.66123,0,0,0,0,1.39404,9.44016,0.22574,0.35678,0.04025,0,0.000954128,0.000954128,0.000954128
6,28.8411,1.43438,9.4554,0.44345,0.58772,0.02961,7.82448,0.94895,1,0.98548,0.56877,0,0,0,0,1.52568,11.18,0.22291,0.42593,0.04176,0,0.00114106,0.00114106,0.00114106
7,33.0493,1.36826,9.17871,0.44269,0.58065,0.02752,7.38134,0.99057,1,0.995,0.6485,0,0,0,0,1.28998,10.3491,0.26854,0.4113,0.03622,0,0.00132535,0.00132535,0.00132535
8,37.2082,1.48138,9.46388,0.43073,0.6063,0.03239,7.86566,0.78963,0.85,0.91857,0.44278,0,0,0,0,1.88241,10.3656,0.25055,1.99609,0.05191,0,0.001507,0.001507,0.001507
9,41.3229,1.56348,9.56992,0.41772,0.61104,0.03201,7.46778,1,0.99912,0.995,0.47927,0,0,0,0,1.7994,11.5581,0.25034,0.50737,0.05501,0,0.00168602,0.00168602,0.00168602
10,45.4482,1.59965,9.10686,0.39485,0.65725,0.03327,7.06939,0.94879,0.8,0.92946,0.56156,0,0,0,0,1.37889,10.8866,0.26902,1.31293,0.03614,0,0.00186239,0.00186239,0.00186239
11,49.581,1.4748,9.05737,0.40356,0.65116,0.02956,6.86242,0.94923,1,0.97119,0.5271,0,0,0,0,1.59553,10.9798,0.27488,0.84056,0.04221,0,0.001868,0.001868,0.001868
12,53.7892,1.37876,8.83199,0.38586,0.56876,0.02801,6.62563,0.99702,1,0.995,0.4153,0,0,0,0,2.08265,11.2787,0.2043,0.47305,0.05807,0,0.0018548,0.0018548,0.0018548
