epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1925,1.86243,11.4346,0.73652,1.31617,0.0406,21.8044,0.94498,0.95,0.93064,0.31955,0,0,0,0,2.52568,10.6683,0.68768,0.52572,0.08126,0,0.000649573,0.000649573,0.000649573
2,31.2744,1.80383,10.8334,0.61785,0.80574,0.03808,12.2483,0.38439,0.45,0.30773,0.06134,0,0,0,0,3.47379,11.2125,0.35158,1.33784,0.10962,0,0.00130755,0.00130755,0.00130755
3,44.6765,2.30785,10.5461,0.52423,1.10858,0.05223,10.3285,0.93324,0.95,0.96453,0.36744,0,0,0,0,2.21483,10.9788,0.2722,1.53455,0.06729,0,0.00195673,0.00195673,0.00195673
4,58.3629,2.41688,11.1259,0.49019,1.41302,0.05595,11.9218,0.42692,0.35,0.29094,0.06957,0,0,0,0,3.12333,11.5435,0.26087,1.74348,0.09822,0,0.0019604,0.0019604,0.0019604
5,71.839,2.50478,10.8005,0.47732,1.62599,0.05589,10.9654,0,0,0,0,0,0,0,0,5.3503,11.7093,0.47292,6.06262,0.25738,0,0.0019472,0.0019472,0.0019472
6,85.2989,2.18587,10.4105,0.47793,1.47693,0.04908,10.2059,0.01235,0.2,0.00952,0.00169,0,0,0,0,3.3243,11.8138,0.30793,4.75896,0.11323,0,0.001934,0.001934,0.001934
7,98.4298,2.35404,10.7865,0.48046,1.48311,0.05435,10.9097,0.35154,0.38004,0.20037,0.04685,0,0,0,0,3.26873,10.7683,0.2972,1.82722,0.09514,0,0.0019208,0.0019208,0.0019208
8,111.628,2.12017,10.6616,0.46762,1.42966,0.04642,10.8417,0.02281,0.35,0.01647,0.00384,0,0,0,0,3.19089,11.5818,0.36059,13.5723,0.1091,0,0.0019076,0.0019076,0.0019076
9,124.768,2.02737,10.4283,0.45372,1.39271,0.04164,9.84816,0.12752,0.45,0.13407,0.04534,0,0,0,0,2.01415,11.7313,0.28961,3.14412,0.05664,0,0.0018944,0.0018944,0.0018944
10,137.887,2.06772,10.4658,0.43601,1.38793,0.0441,9.67459,0.07388,0.45,0.06741,0.02529,0,0,0,0,1.89541,10.7565,0.33562,3.67517,0.05324,0,0.0018812,0.0018812,0.0018812
11,151.071,1.99545,10.0017,0.42027,1.28242,0.0416,8.53849,0.82817,0.8,0.77442,0.33481,0,0,0,0,1.76143,9.76682,0.28228,1.75715,0.0511,0,0.001868,0.001868,0.001868
12,164.223,1.89705,9.63854,0.4124,1.26249,0.03935,8.14371,0.3081,0.45,0.30376,0.08355,0,0,0,0,2.40598,11.1515,0.23277,2.39287,0.0709,0,0.0018548,0.0018548,0.0018548
