epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,7.61633,2.16906,94.3718,0.69551,1.45623,0.04635,24.7197,0.98813,0.94444,0.97488,0.46687,0,0,0,0,1.85597,94.0991,0.64087,0.73741,0.06174,0,0.00034,0.00034,0.00034
2,14.8701,1.56857,85.8081,0.62202,0.65604,0.03272,13.2537,0.90798,0.94444,0.9622,0.42176,0,0,0,0,2.03217,81.7817,0.45319,0.55842,0.07041,0,0.000698614,0.000698614,0.000698614
3,21.8857,1.68887,81.8662,0.51464,0.63456,0.03575,9.75499,0.99635,1,0.995,0.45909,0,0,0,0,1.58993,85.3343,0.23945,0.52237,0.05046,0,0.0010558,0.0010558,0.0010558
4,28.8252,1.81436,80.1227,0.48128,0.68738,0.03858,8.42438,0.8543,0.91667,0.86299,0.27516,0,0,0,0,2.55085,95.7683,0.2414,0.69373,0.09323,0,0.00141157,0.00141157,0.00141157
5,35.7493,1.8144,80.9135,0.46341,0.68385,0.03718,8.3772,0.76124,0.88889,0.83124,0.3354,0,0,0,0,2.05613,96.0911,0.28221,0.96636,0.06713,0,0.0017659,0.0017659,0.0017659
6,42.6706,2.02431,83.8593,0.4396,0.8831,0.04297,8.91732,0.67265,0.66667,0.72827,0.1803,0,0,0,0,2.49662,89.6036,0.29816,1.70787,0.09103,0,0.0019802,0.0019802,0.0019802
7,49.5793,1.80163,79.1686,0.42803,0.77886,0.03741,8.31572,0.97057,0.91621,0.95169,0.49935,0,0,0,0,1.68294,91.2682,0.25627,0.75671,0.05428,0,0.00197624,0.00197624,0.00197624
8,56.6278,1.82032,73.6547,0.41727,0.77637,0.03805,7.46187,0.55305,0.55556,0.42684,0.0793,0,0,0,0,3.03686,92.5225,0.21879,0.81889,0.12837,0,0.00197228,0.00197228,0.00197228
9,63.5327,1.8711,72.3725,0.4096,0.79978,0.04001,6.98808,1,0.92911,0.95856,0.48586,0,0,0,0,1.69495,83.9495,0.24024,0.56868,0.05225,0,0.00196832,0.00196832,0.00196832
10,70.461,1.86641,74.5207,0.40747,0.79774,0.03936,7.03539,0.94582,0.96987,0.95843,0.34628,0,0,0,0,2.51405,77.8962,0.30303,0.6476,0.08873,0,0.00196436,0.00196436,0.00196436
11,77.3655,1.76753,67.6098,0.39345,0.76978,0.03637,6.28256,0.93242,0.97222,0.98709,0.55066,0,0,0,0,1.44922,71.5414,0.30587,0.49872,0.04398,0,0.0019604,0.0019604,0.0019604
12,84.3697,1.79989,73.7682,0.399,0.85863,0.03909,7.25968,0.75633,0.86225,0.8556,0.28876,0,0,0,0,2.5638,85.63,0.40167,0.88017,0.09433,0,0.00195644,0.00195644,0.00195644
13,91.2604,1.82281,69.313,0.39324,0.82387,0.03917,6.70758,0.21415,0.52778,0.21955,0.06776,0,0,0,0,2.50279,73.6965,0.38431,2.07935,0.09145,0,0.00195248,0.00195248,0.00195248
14,98.1974,1.66883,63.9485,0.37569,0.79708,0.03594,6.10634,0.95775,0.97222,0.95472,0.49965,0.06495,0.02778,0.00429,0.00043,1.64602,62.3988,0.21248,0.63908,0.0534,0,0.00194852,0.00194852,0.00194852
15,105.109,1.77101,64.3403,0.39792,0.76333,0.03796,5.86117,0.94577,0.96899,0.9675,0.47726,0,0,0,0,1.78619,65.071,0.23801,0.74965,0.05814,0,0.00194456,0.00194456,0.00194456
16,112.02,1.71917,62.5218,0.39105,0.76026,0.0351,5.66456,0.96965,1,0.99446,0.44931,0.20071,0.22222,0.085,0.01365,1.91478,47.9792,0.25828,0.48796,0.06465,0,0.0019406,0.0019406,0.0019406
17,118.881,1.6804,59.6649,0.37948,0.69866,0.03498,5.30624,0.97273,0.99119,0.99446,0.53691,0.18436,0.19444,0.05637,0.01014,1.75266,47.078,0.28596,0.42041,0.05765,0,0.00193664,0.00193664,0.00193664
18,125.805,1.7312,64.4735,0.38098,0.67532,0.03645,5.79502,0.98379,0.94444,0.9856,0.45453,0.06638,0.02778,0.01599,0.0016,2.01202,51.9206,0.27441,0.52793,0.06726,0,0.00193268,0.00193268,0.00193268
19,132.704,1.7532,64.1575,0.37792,0.74875,0.03821,5.85334,0.97054,0.91523,0.98486,0.43524,0.27091,0.30556,0.10651,0.01644,1.94343,45.1087,0.26888,0.53176,0.06116,0,0.00192872,0.00192872,0.00192872
20,139.61,1.58296,59.4682,0.36737,0.66407,0.03312,5.1791,0.97217,0.97039,0.99006,0.52483,0.24645,0.22222,0.11154,0.01909,1.76294,46.3908,0.25555,0.43953,0.05776,0,0.00192476,0.00192476,0.00192476
21,146.488,1.62215,58.6003,0.37835,0.72397,0.03387,5.11766,0.97217,0.97049,0.98578,0.59584,0.39723,0.38889,0.26198,0.03547,1.35198,44.2288,0.26371,0.49559,0.03966,0,0.0019208,0.0019208,0.0019208
22,153.428,1.65275,57.4412,0.36595,0.69125,0.03442,5.09645,0.99531,1,0.995,0.57002,0.35364,0.30556,0.14228,0.02162,1.50635,43.6069,0.26784,0.44676,0.04679,0,0.00191684,0.00191684,0.00191684
23,160.322,1.54423,53.9937,0.36265,0.60256,0.03206,4.57108,0.9484,0.94444,0.98749,0.56706,0.42183,0.41667,0.24353,0.04267,1.27972,41.5526,0.27373,0.56927,0.03883,0,0.00191288,0.00191288,0.00191288
24,167.254,1.56101,54.6679,0.36044,0.65934,0.03285,4.48832,1,0.96954,0.99214,0.52421,0.34242,0.3327,0.19492,0.03194,1.4598,43.3578,0.26644,0.53948,0.04458,0,0.00190892,0.00190892,0.00190892
25,174.146,1.60027,58.2625,0.36939,0.6228,0.03263,4.825,0.99126,0.97222,0.98885,0.51091,0.48043,0.47222,0.3097,0.05102,1.6569,40.9911,0.26623,0.58475,0.05177,0,0.00190496,0.00190496,0.00190496
26,181.057,1.62369,58.4041,0.35968,0.63418,0.0341,4.9264,0.98715,0.97222,0.99346,0.56318,0.50556,0.5,0.42895,0.07337,1.59225,39.7304,0.27269,0.5876,0.0515,0,0.001901,0.001901,0.001901
27,187.978,1.52771,54.8573,0.34842,0.61828,0.03119,4.52171,0.95705,0.97222,0.96092,0.54898,0.2179,0.19444,0.09614,0.01071,1.45183,47.8191,0.28473,0.39918,0.04516,0,0.00189704,0.00189704,0.00189704
28,194.901,1.58986,54.7619,0.34157,0.6337,0.03399,4.42799,1,0.99929,0.995,0.63444,0.63741,0.63889,0.45346,0.08296,1.35261,37.8537,0.27191,0.3394,0.04229,0,0.00189308,0.00189308,0.00189308
29,201.842,1.45516,53.9474,0.34185,0.60318,0.02998,4.3261,1,0.97041,0.99395,0.65998,0.26408,0.25,0.09939,0.01457,1.18219,46.0382,0.28935,0.30465,0.03509,0,0.00188912,0.00188912,0.00188912
30,208.77,1.44466,53.9298,0.34537,0.56913,0.02998,4.34071,0.99841,1,0.995,0.4736,0.48257,0.47222,0.29522,0.05368,1.94705,39.1272,0.24259,0.44572,0.06278,0,0.00188516,0.00188516,0.00188516
31,215.765,1.53862,55.6099,0.34002,0.62914,0.03143,4.50831,1,0.99902,0.995,0.54656,0.216,0.22222,0.08145,0.00994,1.72497,45.4146,0.24715,0.39926,0.05487,0,0.0018812,0.0018812,0.0018812
32,222.683,1.55972,56.0619,0.33425,0.64986,0.03294,4.6313,0.91683,0.97222,0.98625,0.58075,0.40686,0.45747,0.24714,0.04081,1.45694,43.0192,0.26867,0.4975,0.04555,0,0.00187724,0.00187724,0.00187724
33,229.582,1.48307,54.3982,0.33333,0.62053,0.03061,4.28078,0.97217,0.9703,0.99284,0.48857,0.28946,0.25,0.13755,0.02253,1.86382,41.5308,0.2649,0.48384,0.06035,0,0.00187328,0.00187328,0.00187328
34,236.503,1.49402,54.9643,0.3368,0.60136,0.03092,4.28873,0.94733,0.99921,0.98756,0.55556,0.20852,0.22222,0.12582,0.02127,1.49145,51.7,0.34302,0.49608,0.04385,0,0.00186932,0.00186932,0.00186932
35,243.407,1.52788,51.7318,0.33476,0.55776,0.03183,4.24712,0.99113,1,0.995,0.65935,0.27997,0.25,0.16218,0.02021,1.13978,47.6034,0.30949,0.44222,0.03413,0,0.00186536,0.00186536,0.00186536
36,250.345,1.45107,51.389,0.33089,0.58201,0.02989,4.0032,0.99147,1,0.995,0.68935,0.73457,0.72222,0.59092,0.10418,1.13335,36.6873,0.27769,0.27727,0.03423,0,0.0018614,0.0018614,0.0018614
37,257.308,1.4113,49.6383,0.32967,0.6089,0.02861,3.67764,0.94347,1,0.97588,0.6145,0.7067,0.75,0.60305,0.124,1.23992,35.0451,0.26897,0.35709,0.03793,0,0.00185744,0.00185744,0.00185744
38,264.242,1.44248,49.9516,0.31872,0.56926,0.0298,3.786,1,0.99772,0.995,0.58824,0.56961,0.52778,0.38239,0.06407,1.42292,38.1233,0.25232,0.32969,0.04409,0,0.00185348,0.00185348,0.00185348
39,271.131,1.4448,50.9709,0.32482,0.53635,0.0313,4.29579,0.99108,0.97222,0.99395,0.46328,0.036,0.02778,0.00595,0.0006,1.97682,50.8511,0.25206,0.54628,0.06602,0,0.00184952,0.00184952,0.00184952
40,278.079,1.44888,54.3894,0.3215,0.5438,0.03051,4.6542,0.9981,1,0.995,0.634,0.52656,0.52778,0.38269,0.06772,1.30169,42.8993,0.24223,0.30948,0.0405,0,0.00184556,0.00184556,0.00184556
41,285.007,1.44007,51.5113,0.31306,0.56736,0.02998,4.12583,0.99771,1,0.995,0.60944,0.63692,0.63889,0.48114,0.07503,1.38362,39.9606,0.2299,0.34141,0.0423,0,0.0018416,0.0018416,0.0018416
42,291.939,1.49204,51.9898,0.32209,0.59058,0.03078,4.13169,0.99745,1,0.995,0.62744,0.7015,0.72222,0.58683,0.09001,1.27323,38.0593,0.2237,0.44318,0.03919,0,0.00183764,0.00183764,0.00183764
43,298.822,1.47286,51.4183,0.31728,0.58204,0.03111,4.11375,1,0.99776,0.995,0.60857,0.34826,0.33333,0.16509,0.02248,1.37906,43.9228,0.24033,0.33469,0.04086,0,0.00183368,0.00183368,0.00183368
44,305.733,1.43288,49.7734,0.31628,0.55358,0.02982,4.01724,0.99865,0.97222,0.99446,0.68355,0.76971,0.75,0.67331,0.15666,1.10136,35.4236,0.2387,0.29565,0.03258,0,0.00182972,0.00182972,0.00182972
45,312.662,1.44014,49.2982,0.31286,0.55961,0.02911,3.66531,0.96945,1,0.99365,0.61826,0.13473,0.13889,0.05206,0.00819,1.39271,45.6717,0.22906,0.36495,0.04079,0,0.00182576,0.00182576,0.00182576
46,319.596,1.40352,48.0078,0.31438,0.53377,0.02863,3.68431,0.96961,1,0.99446,0.59251,0.62836,0.58333,0.44507,0.09962,1.44517,38.2543,0.23725,0.40891,0.04536,0,0.0018218,0.0018218,0.0018218
47,326.502,1.47858,47.8275,0.31126,0.52316,0.03086,3.51183,0.9729,0.99745,0.99149,0.60717,0.82228,0.77127,0.72751,0.18898,1.27366,33.2623,0.24342,0.32873,0.03718,0,0.00181784,0.00181784,0.00181784
48,333.418,1.49746,47.105,0.31097,0.53104,0.02971,3.37087,0.97281,0.99381,0.99446,0.66371,0.59394,0.60949,0.44744,0.08321,1.17731,39.3322,0.26707,0.31673,0.03551,0,0.00181388,0.00181388,0.00181388
49,340.382,1.42533,48.9602,0.30567,0.52858,0.02791,3.7633,0.99606,0.97222,0.99446,0.68235,0.66111,0.72222,0.59463,0.13472,0.96485,36.495,0.25422,0.30785,0.02787,0,0.00180992,0.00180992,0.00180992
50,347.308,1.38507,49.6269,0.31064,0.55117,0.02764,3.6789,0.99046,0.88889,0.98359,0.67208,0.74999,0.77778,0.66794,0.13903,1.03804,36.1604,0.26081,0.43124,0.03033,0,0.00180596,0.00180596,0.00180596
51,354.267,1.37591,49.6354,0.30879,0.51571,0.0283,3.89412,1,0.96629,0.97648,0.63963,0.68414,0.66192,0.47397,0.09738,1.20774,39.1851,0.25998,0.40613,0.03622,0,0.001802,0.001802,0.001802
52,361.2,1.3773,50.7611,0.29514,0.55011,0.0282,3.86351,0.99411,1,0.995,0.59912,0.72121,0.72222,0.56945,0.11525,1.50011,35.8508,0.24981,0.36964,0.04534,0,0.00179804,0.00179804,0.00179804
53,368.134,1.39254,49.0888,0.31308,0.53092,0.02911,3.84101,0.99742,1,0.995,0.63109,0.77549,0.77778,0.69023,0.14791,1.37258,34.319,0.25187,0.35829,0.04191,0,0.00179408,0.00179408,0.00179408
54,375.059,1.36225,48.7521,0.3087,0.56625,0.02728,3.55595,0.99818,1,0.995,0.67531,0.72074,0.72222,0.63403,0.13121,1.18262,35.4649,0.22707,0.27143,0.03485,0,0.00179012,0.00179012,0.00179012
55,381.953,1.34331,46.102,0.31461,0.51774,0.02728,3.54471,0.99787,1,0.995,0.65488,0.74819,0.75,0.65555,0.13668,1.17425,35.9731,0.22105,0.28022,0.03499,0,0.00178616,0.00178616,0.00178616
56,388.874,1.34157,47.4497,0.30873,0.50904,0.0267,3.55283,0.94358,1,0.99311,0.68967,0.88691,0.80556,0.81523,0.1708,1.06816,33.4268,0.22104,0.28389,0.03079,0,0.0017822,0.0017822,0.0017822
57,395.812,1.2869,47.5266,0.29653,0.54713,0.02568,3.61283,0.97256,0.98463,0.99446,0.68279,0.48477,0.38889,0.28153,0.0553,1.07856,38.1099,0.23446,0.27411,0.03119,0,0.00177824,0.00177824,0.00177824
58,402.863,1.31749,47.1876,0.30805,0.51275,0.02612,3.31945,0.99335,1,0.995,0.65737,0.77639,0.77778,0.69187,0.14666,1.1311,34.6367,0.22976,0.29867,0.03316,0,0.00177428,0.00177428,0.00177428
59,409.823,1.30232,46.0577,0.31931,0.47848,0.02541,3.02763,0.94437,0.94313,0.98762,0.67598,0.76975,0.69444,0.67556,0.13923,1.02697,34.9939,0.26837,0.4998,0.02976,0,0.00177032,0.00177032,0.00177032
60,416.823,1.30498,47.3566,0.29685,0.53763,0.0271,3.34508,0.98717,1,0.995,0.65889,0.78715,0.75,0.67093,0.14818,1.19775,34.1996,0.28655,0.35759,0.03626,0,0.00176636,0.00176636,0.00176636
61,423.746,1.36735,46.582,0.3034,0.55368,0.02779,3.33276,0.99653,1,0.995,0.65827,0.81221,0.80556,0.77833,0.15757,1.09229,34.7359,0.24098,0.32436,0.03317,0,0.0017624,0.0017624,0.0017624
62,430.696,1.35712,46.1733,0.29666,0.51644,0.02796,3.41899,0.99752,1,0.995,0.65819,0.77732,0.77778,0.70844,0.12577,0.99821,36.4619,0.22271,0.25331,0.02974,0,0.00175844,0.00175844,0.00175844
63,437.605,1.36664,47.6668,0.29656,0.54097,0.02796,3.58165,0.94593,1,0.99237,0.71231,0.26804,0.27778,0.18649,0.02462,0.91006,41.856,0.22548,0.29527,0.02592,0,0.00175448,0.00175448,0.00175448
