epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6744,2.51605,83.3714,0.69964,2.23834,0.07016,28.1221,0.41418,0.45455,0.30136,0.06182,0,0,0,0,3.16689,90.975,0.65123,1.93188,0.13574,0,0.00044,0.00044,0.00044
2,21.1632,2.13793,77.7127,0.68921,1.17018,0.05943,19.4231,0.89073,0.93182,0.9019,0.32013,0,0,0,0,2.26039,84.849,0.36953,0.88313,0.07925,0,0.000898218,0.000898218,0.000898218
3,28.6345,2.2044,73.0664,0.65304,1.3132,0.06137,14.9257,0.08194,0.04545,0.02034,0.00393,0,0,0,0,3.36377,93.218,0.3147,3.49877,0.1494,0,0.00135461,0.00135461,0.00135461
4,36.0591,2.27272,72.5685,0.62225,1.36291,0.06312,13.0528,0.27958,0.29545,0.21493,0.04481,0,0,0,0,3.486,85.6335,0.27171,1.81763,0.142,0,0.00180919,0.00180919,0.00180919
5,43.4805,2.37347,68.7683,0.60817,1.54474,0.06969,12.5326,0.12807,0.18182,0.04694,0.01424,0,0,0,0,4.47218,93.0761,0.36181,2.18287,0.2516,0,0.00198416,0.00198416,0.00198416
6,50.9218,2.32873,66.5957,0.61842,1.47742,0.06549,11.7604,0.31864,0.34091,0.2376,0.06326,0,0,0,0,2.70325,81.8559,0.40483,2.48919,0.10384,0,0.0019802,0.0019802,0.0019802
7,58.3793,2.2596,63.5306,0.59283,1.45486,0.06374,11.1357,0.28742,0.27273,0.21907,0.0397,0,0,0,0,3.36918,82.9724,0.25311,3.56862,0.14471,0,0.00197624,0.00197624,0.00197624
8,65.8113,2.17064,64.3579,0.61643,1.42351,0.06066,10.6204,0.23692,0.45455,0.18763,0.04608,0.01362,0.06818,0.0035,0.00061,2.61301,77.9752,0.36192,2.17186,0.09697,0,0.00197228,0.00197228,0.00197228
9,73.2149,2.29889,61.4349,0.58538,1.47337,0.06481,10.4502,0.00591,0.20455,0.00418,0.0008,0,0,0,0,4.23812,84.214,0.3556,4.9287,0.24286,0,0.00196832,0.00196832,0.00196832
10,80.6467,2.25346,62.2233,0.58936,1.46919,0.06512,10.3338,0.59357,0.38636,0.46523,0.0974,0,0,0,0,2.97039,90.5376,0.39732,1.49908,0.11856,0,0.00196436,0.00196436,0.00196436
11,88.0697,2.218,59.177,0.57252,1.50789,0.0639,10.0734,0.49248,0.74984,0.50614,0.11404,0.03027,0.02273,0.00123,0.00012,2.56061,66.5387,0.40365,1.80004,0.09582,0,0.0019604,0.0019604,0.0019604
12,95.4886,2.16662,61.0646,0.59947,1.5129,0.06042,9.89416,0.0801,0.04545,0.02272,0.00636,0,0,0,0,3.3706,93.1842,0.56933,4.2841,0.1444,0,0.00195644,0.00195644,0.00195644
13,102.88,2.2295,59.5245,0.58845,1.52921,0.06287,9.98915,0.15757,0.15732,0.046,0.0095,0.00032,0.02273,0.00017,3e-05,3.96632,87.7201,0.39127,2.86127,0.20815,0,0.00195248,0.00195248,0.00195248
14,110.296,2.18472,59.3849,0.59584,1.54289,0.06206,9.93361,0.55717,0.52273,0.45394,0.11407,0.00019,0.02273,0.00011,1e-05,2.95426,65.1115,0.37856,3.47866,0.11718,0,0.00194852,0.00194852,0.00194852
15,117.765,2.1716,58.6548,0.5955,1.55215,0.0619,9.93697,0.59118,0.77273,0.75842,0.23934,0.36582,0.13636,0.08926,0.0107,2.41638,54.2519,0.45407,1.33622,0.08697,0,0.00194456,0.00194456,0.00194456
16,125.193,2.21127,57.8859,0.56874,1.60335,0.06238,9.55414,0.39841,0.18182,0.15577,0.02982,0.1798,0.20455,0.05895,0.01696,3.81699,73.3625,0.52627,2.99265,0.18387,0,0.0019406,0.0019406,0.0019406
17,132.603,2.12039,56.5534,0.56544,1.50263,0.06087,9.40249,0.78243,0.52273,0.58392,0.15416,0.75648,0.45455,0.44667,0.12204,3.00513,42.9225,0.29215,1.17344,0.12009,0,0.00193664,0.00193664,0.00193664
18,140.044,2.11476,56.642,0.56824,1.52845,0.05958,9.50376,0.74672,0.79545,0.81496,0.22222,0.83017,0.59091,0.61286,0.11203,2.82141,42.4556,0.30003,1.13521,0.10985,0,0.00193268,0.00193268,0.00193268
19,147.504,2.04572,55.9916,0.56491,1.48356,0.05694,9.35933,0.51005,0.52273,0.53162,0.11033,0.50731,0.34091,0.26922,0.03847,3.02959,48.7267,0.34039,1.8142,0.12613,0,0.00192872,0.00192872,0.00192872
20,154.977,2.00611,56.1462,0.55724,1.46161,0.05609,9.10614,0.8249,0.88636,0.86577,0.20562,0.66556,0.49759,0.45322,0.09108,2.87542,40.4785,0.31496,1.18405,0.11203,0,0.00192476,0.00192476,0.00192476
21,163.004,2.08511,54.7357,0.54413,1.46885,0.05824,8.87889,0.16949,0.25,0.0914,0.02045,0.25933,0.25,0.10209,0.01799,3.78079,52.7326,0.37326,2.2397,0.18753,0,0.0019208,0.0019208,0.0019208
22,170.432,2.09673,53.9251,0.54763,1.51354,0.06033,8.94956,0.18251,0.15909,0.08427,0.02116,0,0,0,0,3.82831,77.7374,0.55073,2.54296,0.18458,0,0.00191684,0.00191684,0.00191684
23,177.878,2.02946,53.1123,0.55571,1.47707,0.05703,8.56376,0.79694,0.62453,0.79335,0.22924,0.27086,0.15909,0.06912,0.00748,2.3677,46.0998,0.38311,1.14229,0.0834,0,0.00191288,0.00191288,0.00191288
24,185.344,2.03821,51.408,0.53558,1.56548,0.0563,8.44081,0.11724,0.20455,0.07194,0.01437,0.39129,0.36364,0.21318,0.03673,3.59565,50.8451,0.43017,2.62182,0.17101,0,0.00190892,0.00190892,0.00190892
25,193.029,1.96856,53.1983,0.55158,1.54927,0.05556,8.89387,0.55694,0.40014,0.42828,0.09272,0.74568,0.53329,0.50193,0.10512,3.0456,44.5809,0.30941,2.52401,0.12362,0,0.00190496,0.00190496,0.00190496
26,200.51,1.91672,53.102,0.56556,1.5644,0.05309,8.68989,0.65564,0.45455,0.48299,0.09921,0.36227,0.15909,0.09742,0.01161,3.14574,50.8114,0.23846,3.31226,0.13164,0,0.001901,0.001901,0.001901
27,207.965,1.92861,51.761,0.55555,1.49367,0.05319,8.45827,0.69086,0.5,0.46998,0.08878,0.60096,0.40909,0.28828,0.05677,3.31157,43.0625,0.25505,3.20448,0.14551,0,0.00189704,0.00189704,0.00189704
28,215.434,1.94859,51.1902,0.54047,1.53183,0.05444,8.40697,0.03601,0.15909,0.0111,0.00244,0,0,0,0,4.25384,72.8914,0.43215,4.69009,0.226,0,0.00189308,0.00189308,0.00189308
29,222.853,1.94032,51.1798,0.54711,1.51136,0.05397,8.22613,0.85194,0.78478,0.81883,0.24084,0.8535,0.65909,0.64008,0.18284,2.68124,34.5729,0.31061,0.85727,0.1022,0,0.00188912,0.00188912,0.00188912
30,230.307,1.90088,52.3765,0.55443,1.52497,0.05245,8.53922,0.71032,0.81818,0.80251,0.20445,0.71944,0.54545,0.57068,0.15727,2.89069,36.078,0.2934,0.96157,0.11203,0,0.00188516,0.00188516,0.00188516
31,237.762,1.88344,49.3832,0.53581,1.56389,0.05282,8.32796,0.82928,0.81818,0.88016,0.26217,0.88916,0.59091,0.6933,0.2328,2.51416,31.8396,0.25488,1.0345,0.0879,0,0.0018812,0.0018812,0.0018812
32,245.25,1.94059,51.0004,0.53643,1.55446,0.05343,8.03282,0.91961,0.81818,0.92303,0.26777,0.72109,0.45455,0.44761,0.11848,2.58586,37.9545,0.25274,1.26638,0.09699,0,0.00187724,0.00187724,0.00187724
33,252.693,1.93485,50.3767,0.52795,1.50051,0.05294,8.23793,0.75026,0.70455,0.67497,0.17983,0.67956,0.5,0.45662,0.1059,3.00334,36.7089,0.22834,1.34585,0.12344,0,0.00187328,0.00187328,0.00187328
34,260.145,1.89424,49.0119,0.53435,1.55283,0.05137,8.14401,0.80334,0.74284,0.82809,0.23074,0.88522,0.63636,0.66652,0.16803,2.6477,34.4786,0.26103,0.92669,0.10119,0,0.00186932,0.00186932,0.00186932
35,267.608,1.85925,46.1226,0.52158,1.59239,0.05056,7.62608,0.80744,0.68182,0.80374,0.21835,0.69545,0.52273,0.51586,0.09968,2.58284,39.2584,0.41498,1.42074,0.09628,0,0.00186536,0.00186536,0.00186536
36,275.086,1.78353,48.3093,0.53399,1.60417,0.04845,7.66647,0.57166,0.59091,0.63652,0.20098,0.53297,0.54545,0.44106,0.09027,2.4796,40.1056,0.29511,1.77147,0.09259,0,0.0018614,0.0018614,0.0018614
37,282.531,1.90703,47.2584,0.52828,1.57004,0.05349,7.88055,0.47939,0.60699,0.50494,0.11242,0.74711,0.56818,0.57423,0.18786,3.17035,31.9857,0.25791,1.4698,0.13269,0,0.00185744,0.00185744,0.00185744
38,289.988,1.94964,46.7865,0.51394,1.46872,0.05198,7.58483,0.86428,0.72727,0.80054,0.26004,0.83504,0.70455,0.66433,0.28301,2.51941,28.6675,0.21898,0.87724,0.09299,0,0.00185348,0.00185348,0.00185348
39,297.474,1.87615,47.2364,0.51367,1.48328,0.05124,7.67708,0.92887,0.84091,0.93988,0.28384,0.60548,0.40909,0.37556,0.06893,2.47999,37.677,0.25313,0.91588,0.08958,0,0.00184952,0.00184952,0.00184952
40,304.946,1.83441,47.9133,0.52243,1.49487,0.0503,7.83455,0.75817,0.85514,0.87622,0.25222,0.80549,0.56818,0.58808,0.11423,2.65277,36.9176,0.29931,0.8681,0.10007,0,0.00184556,0.00184556,0.00184556
41,312.403,1.86791,48.879,0.50624,1.54076,0.05153,7.91565,0.79929,0.75,0.73809,0.21709,0.72998,0.54545,0.57524,0.2,2.83435,33.5614,0.26685,1.0645,0.11344,0,0.0018416,0.0018416,0.0018416
42,319.883,1.89353,46.5261,0.48368,1.52996,0.05208,7.68888,0.75801,0.56958,0.6208,0.17264,0.62467,0.45393,0.37047,0.11309,2.79137,40.8741,0.31678,1.54377,0.11169,0,0.00183764,0.00183764,0.00183764
43,327.369,1.80727,47.1166,0.50415,1.47113,0.05016,7.42304,0.68982,0.65712,0.63685,0.14542,0.77746,0.59091,0.61981,0.1967,3.20483,31.5298,0.24583,1.09338,0.13457,0,0.00183368,0.00183368,0.00183368
44,334.851,1.87134,46.7094,0.50319,1.41128,0.05123,7.20838,0.76235,0.80209,0.79601,0.2211,0.70563,0.68182,0.70172,0.20726,2.83382,31.9461,0.27644,0.96649,0.11125,0,0.00182972,0.00182972,0.00182972
45,342.339,1.86143,44.6035,0.47828,1.41391,0.05228,7.06677,0.83304,0.68044,0.73782,0.18715,0.83202,0.63636,0.65771,0.24654,2.95192,29.7771,0.29131,1.00662,0.11911,0,0.00182576,0.00182576,0.00182576
46,349.82,1.88501,44.8465,0.47714,1.33632,0.05141,7.18406,0.63092,0.63636,0.61102,0.14308,0.25567,0.22727,0.13525,0.01973,3.10922,45.0499,0.25831,1.2297,0.12752,0,0.0018218,0.0018218,0.0018218
47,357.299,1.91797,45.6767,0.47053,1.33059,0.0523,6.93988,0.63404,0.70455,0.64058,0.15722,0.64892,0.47727,0.40527,0.07607,3.0608,38.0969,0.2196,1.12557,0.12903,0,0.00181784,0.00181784,0.00181784
48,364.796,1.92866,46.1183,0.48582,1.3986,0.05338,7.29675,0.85215,0.65506,0.76942,0.19379,0.76191,0.58201,0.60945,0.24064,2.6476,33.1354,0.32576,1.5892,0.10178,0,0.00181388,0.00181388,0.00181388
49,372.263,1.87148,47.8409,0.47898,1.44698,0.05288,7.55763,0.8379,0.82243,0.86371,0.28187,0.90352,0.65909,0.67528,0.1907,2.3078,34.1828,0.27407,1.13283,0.08049,0,0.00180992,0.00180992,0.00180992
50,379.727,1.87059,43.7632,0.46822,1.37869,0.05104,7.06476,0.57204,0.65909,0.56896,0.12726,0.87196,0.70455,0.68203,0.22306,3.18775,33.6902,0.20079,1.16571,0.13652,0,0.00180596,0.00180596,0.00180596
51,387.208,1.93001,44.0917,0.4591,1.38699,0.05274,6.97956,0.81942,0.75,0.81424,0.22505,0.83781,0.70455,0.72502,0.19359,2.81281,32.9283,0.26075,1.07108,0.11144,0,0.001802,0.001802,0.001802
52,394.7,1.86714,46.4325,0.46938,1.42337,0.05177,7.34052,0.83942,0.83179,0.81257,0.23689,0.65992,0.59091,0.5767,0.12829,2.7399,35.2484,0.299,0.869,0.1064,0,0.00179804,0.00179804,0.00179804
53,402.171,1.87151,42.3709,0.45812,1.45493,0.05125,6.96254,0.10051,0.04545,0.03508,0.01207,0,0,0,0,4.49253,95.5558,0.76667,5.53115,0.25198,0,0.00179408,0.00179408,0.00179408
54,409.657,1.81004,43.486,0.43657,1.52552,0.05048,7.23686,0.11694,0.04545,0.04709,0.02002,0,0,0,0,4.22087,87.9348,0.94759,3.30098,0.2265,0,0.00179012,0.00179012,0.00179012
55,417.137,1.84754,42.0669,0.45588,1.47499,0.05221,6.97416,0.80139,0.82545,0.81655,0.19072,0.65859,0.47727,0.49771,0.11334,2.94396,36.0794,0.23269,1.14453,0.11827,0,0.00178616,0.00178616,0.00178616
56,424.651,1.86937,44.2724,0.46722,1.3719,0.05164,6.89564,0.91424,0.72689,0.81251,0.24753,0.77521,0.61364,0.62911,0.17681,2.66155,31.5987,0.30973,1.22588,0.10146,0,0.0017822,0.0017822,0.0017822
57,432.114,1.88002,43.7669,0.44469,1.43367,0.05234,7.1806,0.85102,0.70455,0.80668,0.22533,0.86432,0.47727,0.57982,0.10716,2.58838,36.0374,0.25986,1.20659,0.09594,0,0.00177824,0.00177824,0.00177824
58,439.592,1.88874,45.1633,0.45181,1.41453,0.05081,6.9189,0.88088,0.75,0.85189,0.27262,0.8165,0.6069,0.68626,0.25427,2.55773,29.8636,0.24123,1.18524,0.09482,0,0.00177428,0.00177428,0.00177428
59,447.08,1.85255,43.257,0.45345,1.37392,0.05148,6.81305,0.83344,0.84091,0.8143,0.20438,0.70576,0.70876,0.68688,0.16933,2.75567,33.5779,0.25473,0.93089,0.10576,0,0.00177032,0.00177032,0.00177032
60,454.572,1.91106,42.434,0.44396,1.45875,0.05382,6.80064,0.87454,0.79222,0.8139,0.24149,0.8148,0.72727,0.75022,0.28055,2.60036,27.6822,0.24129,1.11745,0.09566,0,0.00176636,0.00176636,0.00176636
61,462.055,1.85262,43.4883,0.44743,1.35143,0.05109,6.49603,0.7992,0.8142,0.79299,0.2066,0.83943,0.68182,0.73808,0.25526,2.82893,27.8958,0.2426,1.08358,0.11335,0,0.0017624,0.0017624,0.0017624
62,469.548,1.8442,41.7532,0.42215,1.32183,0.05113,6.45293,0.71703,0.86364,0.81577,0.20452,0.91672,0.56818,0.62076,0.18063,2.8104,32.6737,0.25974,0.93386,0.11303,0,0.00175844,0.00175844,0.00175844
63,477.066,1.95061,42.8144,0.43341,1.35765,0.05363,6.69799,0.86983,0.75,0.85532,0.27703,0.82072,0.43182,0.50939,0.19287,2.48414,33.2485,0.30025,0.89901,0.08926,0,0.00175448,0.00175448,0.00175448
64,484.58,1.95157,42.2374,0.41974,1.3612,0.05389,6.72973,0.89296,0.94814,0.90169,0.2835,0.59058,0.31818,0.26329,0.04042,2.49315,40.2696,0.30306,0.65268,0.0851,0,0.00175052,0.00175052,0.00175052
65,492.059,1.85709,41.5655,0.45198,1.3555,0.05112,6.56337,0.75282,0.83073,0.85504,0.23033,0.84299,0.5,0.54909,0.14702,2.64003,33.6024,0.36632,0.9632,0.09986,0,0.00174656,0.00174656,0.00174656
66,499.582,1.83623,41.7605,0.44377,1.33848,0.05022,6.38159,0.84108,0.88636,0.88605,0.28548,0.79143,0.70455,0.65187,0.20832,2.40118,30.0313,0.27,0.87748,0.08605,0,0.0017426,0.0017426,0.0017426
67,507.096,1.80488,41.6269,0.42334,1.3896,0.04904,6.48021,0.81814,0.92031,0.89063,0.25572,0.83945,0.68182,0.70698,0.23712,2.59294,28.7769,0.2723,0.88165,0.09801,0,0.00173864,0.00173864,0.00173864
68,514.602,1.82132,41.618,0.41991,1.38304,0.04999,6.42205,0.89993,0.81756,0.90126,0.27883,0.84894,0.76649,0.79634,0.27719,2.45178,26.914,0.26112,0.92482,0.08781,0,0.00173468,0.00173468,0.00173468
69,522.139,1.81583,40.0216,0.42212,1.35427,0.04997,6.23034,0.86751,0.89298,0.9371,0.30265,0.75381,0.72727,0.69933,0.26196,2.31065,28.5473,0.23734,0.828,0.07961,0,0.00173072,0.00173072,0.00173072
70,529.644,1.8068,39.5219,0.43648,1.34305,0.04949,6.40521,0.88405,0.86644,0.89957,0.24294,0.87561,0.64004,0.71206,0.21996,2.57983,30.6159,0.23388,1.06917,0.09453,0,0.00172676,0.00172676,0.00172676
71,537.152,1.81434,41.5512,0.42942,1.31128,0.05021,6.46238,0.85331,0.79332,0.81747,0.23111,0.82365,0.75,0.74366,0.27365,2.73366,28.1651,0.19975,0.85553,0.10472,0,0.0017228,0.0017228,0.0017228
72,544.653,1.81607,40.874,0.41445,1.33931,0.04924,6.25984,0.73337,0.70455,0.6342,0.18036,0.78595,0.58431,0.63041,0.15819,2.86735,32.8625,0.26159,1.09003,0.11514,0,0.00171884,0.00171884,0.00171884
73,552.131,1.86373,42.5629,0.43491,1.36684,0.05248,6.94335,0.7585,0.71393,0.78901,0.27262,0.77842,0.63636,0.67405,0.19979,2.62233,31.3174,0.23688,0.93036,0.09978,0,0.00171488,0.00171488,0.00171488
74,559.622,1.83688,44.2845,0.41137,1.43163,0.05218,7.03062,0.90242,0.8407,0.84662,0.25978,0.9318,0.72727,0.76233,0.28371,2.66114,26.9716,0.207,0.83333,0.10212,0,0.00171092,0.00171092,0.00171092
75,567.12,1.82585,40.6097,0.41538,1.37751,0.0504,6.41857,0.85324,0.70455,0.78558,0.25941,0.79681,0.71315,0.70604,0.27997,2.4963,28.3033,0.20097,1.1122,0.09255,0,0.00170696,0.00170696,0.00170696
