epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,8.95478,2.56597,87.8614,0.69929,2.13793,0.06685,25.9699,0.2134,0.25641,0.06961,0.0108,0,0,0,0,3.74644,95.9488,0.64244,1.69719,0.17354,0,0.00042,0.00042,0.00042
2,17.3077,2.09795,84.6421,0.62716,1.08269,0.05461,16.3453,0.52389,0.53846,0.31904,0.05428,0,0,0,0,3.74585,88.4032,0.33743,1.03861,0.16327,0,0.000858297,0.000858297,0.000858297
3,25.6265,2.08216,82.9255,0.54419,1.18962,0.05332,12.5377,0.86559,0.84615,0.83916,0.2117,0,0,0,0,3.12706,94.7585,0.28468,0.66309,0.12098,0,0.00129485,0.00129485,0.00129485
4,33.8844,2.20712,82.6432,0.50564,1.2351,0.05789,11.7088,0.27715,0.22623,0.13045,0.03315,0,0,0,0,3.58367,92.1109,0.3458,2.17284,0.15322,0,0.00172966,0.00172966,0.00172966
5,42.0979,2.27228,78.2772,0.48396,1.31066,0.05864,10.8512,0.11877,0.30769,0.13042,0.03831,0,0,0,0,2.79473,91.8094,0.30656,2.82186,0.10611,0,0.00198416,0.00198416,0.00198416
6,50.2915,2.24787,81.4214,0.46859,1.29619,0.05927,10.8298,0.38403,0.4359,0.33006,0.07441,0,0,0,0,2.83072,93.8341,0.33662,2.79454,0.10956,0,0.0019802,0.0019802,0.0019802
7,58.4478,2.21831,77.9958,0.46699,1.44739,0.06034,10.7226,0.03621,0.02564,0.00603,0.00091,0,0,0,0,4.81385,94.906,0.33824,4.57802,0.27772,0,0.00197624,0.00197624,0.00197624
8,66.6377,2.17987,78.8883,0.45937,1.39536,0.05477,10.1379,0.04697,0.05128,0.00811,0.00168,0,0,0,0,4.5761,91.27,0.25152,2.361,0.26029,0,0.00197228,0.00197228,0.00197228
9,74.8045,2.16783,75.8233,0.44424,1.4509,0.0564,9.86878,0.86626,0.87179,0.82506,0.23687,0,0,0,0,2.82524,77.4847,0.22677,1.91802,0.11294,0,0.00196832,0.00196832,0.00196832
10,83.0424,2.16307,73.0955,0.4428,1.35848,0.05652,9.33931,0.33809,0.51282,0.31586,0.09313,0,0,0,0,2.6344,83.0589,0.31319,2.2783,0.10121,0,0.00196436,0.00196436,0.00196436
11,91.1997,2.1693,73.093,0.4399,1.45874,0.05721,9.40695,0.46642,0.51282,0.36972,0.10393,0,0,0,0,3.3685,77.9434,0.2502,2.09354,0.14418,0,0.0019604,0.0019604,0.0019604
12,99.3862,2.12021,73.6345,0.43327,1.48356,0.0554,9.2642,0.7673,0.67654,0.77164,0.2374,0,0,0,0,3.00757,80.5557,0.26215,2.69696,0.12279,0,0.00195644,0.00195644,0.00195644
13,107.615,2.07667,70.6107,0.43547,1.5018,0.05366,8.74309,0.71677,0.58414,0.63721,0.16352,0.09852,0.10256,0.0293,0.00379,2.82722,64.5594,0.31095,3.17316,0.11058,0,0.00195248,0.00195248,0.00195248
14,115.986,2.07175,68.8293,0.42618,1.41158,0.05239,8.37743,0.76843,0.5641,0.60903,0.12887,0.13067,0.05128,0.01049,0.0021,3.41546,61.8244,0.26169,1.17303,0.15052,0,0.00194852,0.00194852,0.00194852
15,124.2,2.14042,67.8639,0.42957,1.3131,0.05733,8.65113,0.56791,0.51282,0.48099,0.11526,0,0,0,0,3.44258,64.5165,0.26265,1.63559,0.14862,0,0.00194456,0.00194456,0.00194456
16,132.426,2.08064,69.8629,0.43032,1.36982,0.05401,8.41314,0.47285,0.4359,0.42096,0.10771,0,0,0,0,3.26501,82.6269,0.28466,2.86433,0.1376,0,0.0019406,0.0019406,0.0019406
17,140.62,2.07747,68.7413,0.43043,1.42362,0.05377,8.18943,0.84853,0.89744,0.84111,0.22787,0,0,0,0,2.87192,61.4881,0.28443,0.8584,0.11148,0,0.00193664,0.00193664,0.00193664
18,148.828,2.01621,67.2545,0.42605,1.39539,0.05392,8.19592,0.81296,0.89168,0.91305,0.29681,0,0,0,0,2.46869,82.0964,0.35251,1.22842,0.08415,0,0.00193268,0.00193268,0.00193268
19,157.099,2.01082,68.9484,0.42257,1.30183,0.05174,8.04997,0.33627,0.62363,0.49384,0.12943,0.02155,0.02564,0.00101,0.0001,2.47292,59.3743,0.29718,2.20333,0.08777,0,0.00192872,0.00192872,0.00192872
20,165.388,2.07509,66.7565,0.42563,1.33033,0.05466,7.896,0.93156,0.89744,0.96771,0.23297,0,0,0,0,2.90439,76.3507,0.47526,0.98976,0.1116,0,0.00192476,0.00192476,0.00192476
21,173.581,2.0611,64.8515,0.40714,1.23804,0.05303,7.22628,0.70993,0.66667,0.68971,0.1865,0.07918,0.10256,0.01471,0.00235,3.13348,56.0099,0.31384,0.91952,0.12829,0,0.0019208,0.0019208,0.0019208
22,181.812,2.08281,65.9609,0.41913,1.32359,0.05392,7.62619,0.97344,0.93976,0.9781,0.30401,0.07969,0.07692,0.01265,0.00152,2.70311,66.0295,0.40353,0.94053,0.10084,0,0.00191684,0.00191684,0.00191684
23,190.039,2.02505,62.2833,0.40719,1.25348,0.05255,7.035,0.94731,0.92206,0.9501,0.20281,0.14407,0.12821,0.02151,0.00434,2.91634,52.3938,0.3466,0.90374,0.10674,0,0.00191288,0.00191288,0.00191288
24,198.244,1.99124,61.2552,0.40251,1.30028,0.05185,7.19308,0.88532,0.79183,0.84487,0.27552,0,0,0,0,2.70098,68.6464,0.46745,1.22173,0.10248,0,0.00190892,0.00190892,0.00190892
25,206.484,2.00552,62.6724,0.40025,1.37303,0.05286,7.21763,0.73686,0.69231,0.70911,0.21521,0.1697,0.12821,0.0327,0.00499,2.93308,48.9428,0.28476,1.35936,0.12071,0,0.00190496,0.00190496,0.00190496
26,214.754,1.97963,62.4481,0.4021,1.4142,0.05092,7.16771,0.94777,0.93071,0.97819,0.31006,0,0,0,0,2.74011,77.3975,0.30385,1.05045,0.10553,0,0.001901,0.001901,0.001901
27,222.984,1.99717,63.1179,0.40119,1.29267,0.05295,7.22694,0.77312,0.69231,0.76418,0.21606,0.13747,0.20513,0.03619,0.0052,3.09517,52.5877,0.25862,0.99709,0.12952,0,0.00189704,0.00189704,0.00189704
28,231.192,2.02829,62.0952,0.40157,1.34813,0.05257,7.05008,0.93747,0.94872,0.94278,0.33288,0.02775,0.02564,0.00156,0.00016,2.49995,61.3527,0.22853,0.74392,0.09097,0,0.00189308,0.00189308,0.00189308
29,239.432,2.07829,60.8659,0.39063,1.34234,0.05391,6.90047,0.69726,0.84615,0.756,0.19701,0.00084,0.02564,0.00068,7e-05,2.6195,63.4756,0.33656,1.49867,0.09671,0,0.00188912,0.00188912,0.00188912
30,247.628,1.98343,61.2133,0.40358,1.34988,0.05058,6.93823,0.64057,0.46154,0.55298,0.11629,0.1014,0.05128,0.00756,0.00083,3.18114,65.384,0.26339,2.44801,0.13226,0,0.00188516,0.00188516,0.00188516
31,255.81,2.02905,63.1015,0.40232,1.42739,0.05127,7.15237,0.89733,0.94872,0.94574,0.27028,0.01162,0.02564,0.00122,0.00012,2.87301,62.0741,0.28322,0.96922,0.10888,0,0.0018812,0.0018812,0.0018812
32,263.996,1.98556,60.845,0.39398,1.32143,0.05091,6.8508,0.91596,0.83857,0.89595,0.24568,0.00112,0.02564,0.00061,0.00018,2.7946,62.5884,0.3013,1.1212,0.10953,0,0.00187724,0.00187724,0.00187724
33,272.172,1.99836,60.115,0.38187,1.32906,0.05195,6.65983,0.78095,0.63993,0.6403,0.16241,0,0,0,0,2.86751,77.6447,0.29191,1.37706,0.11613,0,0.00187328,0.00187328,0.00187328
34,280.386,1.93728,60.5439,0.38954,1.35536,0.05048,6.7037,0.87178,0.87168,0.91125,0.27905,0.06648,0.07692,0.01017,0.00139,2.42472,61.0132,0.25085,1.11618,0.08663,0,0.00186932,0.00186932,0.00186932
35,288.556,1.91263,59.0309,0.38725,1.26152,0.04893,6.41698,0.78012,0.84615,0.86902,0.25529,0.28442,0.30769,0.14635,0.02096,2.73966,47.8407,0.25756,1.07586,0.10629,0,0.00186536,0.00186536,0.00186536
36,296.752,1.99073,59.4701,0.37518,1.28795,0.05259,6.64534,0.83197,0.82051,0.78371,0.21328,0.05194,0.05128,0.00472,0.00066,2.9672,52.4691,0.23711,0.7876,0.11989,0,0.0018614,0.0018614,0.0018614
37,304.926,1.92711,58.9605,0.38659,1.22329,0.05019,6.49981,0.88965,0.92308,0.92908,0.2939,0.27177,0.30769,0.09757,0.01408,2.66476,44.6562,0.26481,0.63277,0.09926,0,0.00185744,0.00185744,0.00185744
38,313.129,1.9435,56.249,0.3668,1.28524,0.0494,5.94432,0.64595,0.79529,0.74879,0.17984,0.09906,0.17949,0.0324,0.00525,3.00676,53.6689,0.25734,0.90381,0.11764,0,0.00185348,0.00185348,0.00185348
39,321.347,1.8281,55.8724,0.36576,1.29479,0.04752,6.01157,0.84794,0.79487,0.86053,0.20709,0.50508,0.38462,0.28164,0.05403,3.06993,41.5502,0.27231,0.84791,0.11759,0,0.00184952,0.00184952,0.00184952
40,329.549,1.98107,55.8615,0.36239,1.2756,0.05196,6.13801,0.70508,0.69231,0.60511,0.1555,0.0121,0.02564,0.00273,0.00027,3.25726,77.4821,0.28501,0.74663,0.13894,0,0.00184556,0.00184556,0.00184556
41,337.721,1.90297,57.7843,0.36209,1.21009,0.04878,6.08436,0.93537,0.94872,0.9635,0.33648,0.15383,0.15385,0.05451,0.0076,2.59614,46.8796,0.24819,0.64403,0.09754,0,0.0018416,0.0018416,0.0018416
42,345.962,1.86977,56.1649,0.35003,1.26557,0.04796,5.94716,0.63901,0.64103,0.66582,0.19014,0.20072,0.25641,0.0873,0.01585,3.02732,53.6073,0.29803,1.17243,0.12338,0,0.00183764,0.00183764,0.00183764
43,354.125,1.85678,55.902,0.36297,1.26267,0.04793,6.02993,0.69069,0.41026,0.45426,0.1403,0.45972,0.30769,0.21411,0.02704,3.19545,59.3142,0.34634,1.92567,0.14266,0,0.00183368,0.00183368,0.00183368
44,362.348,1.90438,54.12,0.34158,1.194,0.04864,5.66212,0.92517,0.95115,0.96587,0.29709,0.24193,0.23077,0.0806,0.01982,2.66561,44.9873,0.2276,0.69685,0.10049,0,0.00182972,0.00182972,0.00182972
45,370.525,1.94684,55.2719,0.34803,1.23293,0.05025,5.97254,0.87443,0.89288,0.89854,0.25484,0.03798,0.02564,0.00161,0.00016,2.88962,56.8062,0.21439,0.67443,0.11438,0,0.00182576,0.00182576,0.00182576
46,378.734,1.90542,54.9326,0.33991,1.20298,0.04946,5.87692,0.90383,0.96402,0.9718,0.27605,0.41375,0.4359,0.19929,0.03684,2.77589,39.5219,0.23982,0.71515,0.10504,0,0.0018218,0.0018218,0.0018218
47,386.895,1.90911,52.6938,0.34625,1.22464,0.0481,5.56974,0.89935,0.92308,0.88634,0.22286,0.22002,0.12821,0.04657,0.00682,3.10881,47.9812,0.23761,0.77707,0.1229,0,0.00181784,0.00181784,0.00181784
48,395.14,1.87807,52.7495,0.34341,1.20296,0.04866,5.2352,0.97425,0.97027,0.98852,0.36464,0.00136,0.02564,0.0007,7e-05,2.59449,63.5014,0.30111,0.61253,0.09684,0,0.00181388,0.00181388,0.00181388
49,403.362,1.83558,53.6099,0.34565,1.2033,0.04665,5.64326,0.99254,1,0.995,0.33833,0.24439,0.23077,0.08682,0.01198,2.61571,47.8137,0.3199,0.59459,0.09678,0,0.00180992,0.00180992,0.00180992
50,411.608,1.8969,53.436,0.33563,1.16725,0.04847,5.55022,0.74133,0.74359,0.65037,0.19327,0.19735,0.12821,0.05139,0.00725,3.10595,53.883,0.28855,0.72801,0.12919,0,0.00180596,0.00180596,0.00180596
51,419.78,1.95767,52.2303,0.34117,1.15181,0.05083,5.37584,0.81006,0.76558,0.76348,0.21045,0.32319,0.30769,0.13011,0.02015,2.99906,44.184,0.24221,0.7385,0.12238,0,0.001802,0.001802,0.001802
52,427.984,1.95804,51.0385,0.33286,1.06573,0.05121,5.32427,0.96367,0.97436,0.97784,0.31259,0.35531,0.35897,0.13658,0.02448,2.67148,40.4738,0.22196,0.78284,0.10174,0,0.00179804,0.00179804,0.00179804
53,436.194,1.88813,51.5487,0.33498,1.17162,0.04943,5.31021,0.6516,0.69231,0.58829,0.13243,0.29087,0.30769,0.17249,0.02373,3.34258,44.5763,0.30873,1.38811,0.14102,0,0.00179408,0.00179408,0.00179408
54,444.39,1.87302,52.433,0.33258,1.18588,0.04779,5.54935,0.86759,0.84014,0.78656,0.22273,0.03848,0.05128,0.00662,0.00066,2.89739,54.0198,0.38071,1.19308,0.11621,0,0.00179012,0.00179012,0.00179012
