epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,9.29793,2.66193,83.5729,0.69584,2.47776,0.06874,27.8864,0.04425,0.3125,0.03266,0.00495,0,0,0,0,4.44873,92.7167,0.66059,1.36527,0.22924,0,0.00032,0.00032,0.00032
2,15.3747,1.98773,78.5941,0.68202,0.9072,0.05147,20.4017,0.59514,0.5625,0.4284,0.06994,0,0,0,0,3.53615,80.0424,0.49124,1.24759,0.14553,0,0.000658693,0.000658693,0.000658693
3,21.5102,2.16292,72.7117,0.64388,1.15275,0.0557,16.121,0.3172,0.30505,0.17541,0.02032,0,0,0,0,3.53836,88.6116,0.28022,1.84626,0.15918,0,0.00099604,0.00099604,0.00099604
4,27.3786,2.19845,71.1748,0.63518,1.14229,0.05795,13.3752,0.32533,0.1875,0.15412,0.04194,0,0,0,0,3.35833,92.7783,0.31901,2.60845,0.13553,0,0.00133204,0.00133204,0.00133204
5,33.3452,2.19991,70.2441,0.62862,1.27411,0.05714,12.3025,0.43783,0.5,0.44187,0.13293,0,0,0,0,2.73463,95.8418,0.21763,1.37931,0.09915,0,0.00166669,0.00166669,0.00166669
6,39.3895,2.31953,66.3954,0.60602,1.24916,0.06147,11.4883,0.49813,0.49638,0.41556,0.09882,0,0,0,0,2.50856,89.5156,0.41854,2.19807,0.09107,0,0.0019802,0.0019802,0.0019802
7,45.2575,2.31654,64.3903,0.59396,1.18327,0.06061,10.4843,0.52291,0.5625,0.33652,0.1145,0,0,0,0,2.89234,89.9162,0.28355,1.0789,0.11227,0,0.00197624,0.00197624,0.00197624
8,51.2432,2.36339,64.6685,0.58026,1.13429,0.06223,10.1549,0.45689,0.8125,0.49035,0.14146,0.02313,0.03125,0.00174,0.00017,2.60213,65.8172,0.27831,1.56341,0.0885,0,0.00197228,0.00197228,0.00197228
9,57.2664,2.38975,59.612,0.57131,1.27611,0.06459,9.81474,0.14204,0.1875,0.08623,0.01722,0,0,0,0,3.8448,96.194,0.27863,1.84695,0.15632,0,0.00196832,0.00196832,0.00196832
10,63.0803,2.2824,58.0581,0.56838,1.14154,0.05976,8.89233,0.33162,0.03125,0.02065,0.00206,0,0,0,0,3.80699,95.7693,0.26481,4.50419,0.15381,0,0.00196436,0.00196436,0.00196436
