epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,2.94166,2.30502,93.6061,0.69317,1.90932,0.04747,26.9785,0.61758,0.17055,0.35383,0.10505,0,0,0,0,3.21514,94.9475,0.69417,2.18136,0.09853,0,8e-05,8e-05,8e-05
2,4.23155,2.13598,95.1484,0.69837,1.62556,0.04543,28.0097,1,0.87569,0.98591,0.4441,0,0,0,0,1.86691,94.4582,0.69618,0.68676,0.05598,0,0.000177624,0.000177624,0.000177624
3,5.87024,1.76796,90.8987,0.72629,0.84016,0.03474,21.3427,1,0.99338,0.995,0.55796,0,0,0,0,1.57042,93.5279,0.70458,0.43969,0.04765,0,0.000272608,0.000272608,0.000272608
4,7.18799,1.585,85.9965,0.7475,0.85221,0.03447,20.1777,1,0.95205,0.995,0.58059,0,0,0,0,1.6954,91.5244,0.70681,0.51468,0.05246,0,0.000364952,0.000364952,0.000364952
5,8.50733,1.44805,80.4473,0.73495,0.65468,0.0277,16.0621,0.99086,1,0.995,0.52225,0,0,0,0,1.81756,89.3682,0.68642,0.42216,0.05526,0,0.000454656,0.000454656,0.000454656
6,9.81908,1.54078,77.6812,0.71483,0.75337,0.02993,15.15,0.83086,1,0.96167,0.57346,0,0,0,0,1.48593,86.6101,0.66106,0.55509,0.04456,0,0.00054172,0.00054172,0.00054172
7,11.1297,1.44747,73.6612,0.69709,0.79369,0.03025,15.0092,0.8289,0.97073,0.94833,0.48912,0,0,0,0,1.88254,76.7258,0.64137,0.73284,0.05431,0,0.000626144,0.000626144,0.000626144
8,12.4046,1.41795,71.2022,0.69657,0.76457,0.0291,13.3426,0.86502,0.9,0.92833,0.58669,0,0,0,0,1.38364,71.0209,0.6172,0.82363,0.03965,0,0.000707928,0.000707928,0.000707928
9,13.7947,1.32889,68.5888,0.6911,0.73948,0.02773,11.5537,0.92042,0.9,0.97833,0.73531,0,0,0,0,0.90402,60.0622,0.55771,0.43578,0.02753,0,0.000787072,0.000787072,0.000787072
10,15.0955,1.4275,63.1958,0.63691,0.7464,0.02826,9.90154,1,0.86896,0.97833,0.65731,0,0,0,0,1.32735,58.1459,0.45902,0.49084,0.04169,0,0.000863576,0.000863576,0.000863576
11,16.3756,1.34333,63.3363,0.62313,0.65931,0.02784,9.74579,0.97813,1,0.995,0.74116,0,0,0,0,1.02943,56.8028,0.44211,0.4537,0.03013,0,0.00093744,0.00093744,0.00093744
12,17.6655,1.37026,62.8168,0.6164,0.69466,0.02731,9.19018,0.99444,1,0.995,0.57322,0,0,0,0,1.7795,53.0133,0.40548,0.45368,0.05466,0,0.00100866,0.00100866,0.00100866
13,18.9424,1.4278,62.9683,0.63221,0.73119,0.02824,8.85484,0.99376,1,0.995,0.54362,0,0,0,0,1.83109,51.5697,0.3888,0.48311,0.05581,0,0.00107725,0.00107725,0.00107725
14,20.3171,1.4814,58.7544,0.62863,0.69747,0.02859,8.23105,0.90628,1,0.995,0.81717,0,0,0,0,0.79289,53.5285,0.28199,0.36754,0.02219,0,0.00114319,0.00114319,0.00114319
15,21.6084,1.47884,63.5461,0.65988,0.63378,0.03081,8.65284,0.99493,1,0.995,0.83186,0,0,0,0,0.78429,45.5011,0.25269,0.19473,0.02243,0,0.0012065,0.0012065,0.0012065
16,22.8868,1.49047,55.2262,0.6076,0.63425,0.02939,7.5047,0.98918,1,0.995,0.7767,0,0,0,0,0.99051,51.0197,0.26623,0.27434,0.03015,0,0.00126716,0.00126716,0.00126716
17,24.1725,1.48125,59.4434,0.60729,0.61116,0.02924,7.24812,0.88299,1,0.98591,0.6315,0.08284,0.1,0.01929,0.00193,1.36108,49.3685,0.21621,0.45368,0.0416,0,0.00132518,0.00132518,0.00132518
18,25.4306,1.60566,57.3398,0.57388,0.58911,0.03264,7.41581,0.96022,1,0.995,0.78099,0,0,0,0,0.9129,64.8896,0.1761,0.31795,0.02682,0,0.00138057,0.00138057,0.00138057
19,26.7958,1.38718,52.875,0.55442,0.55753,0.02689,7.01884,0.98367,1,0.995,0.68073,0,0,0,0,1.2565,62.4479,0.17503,0.32502,0.03914,0,0.00143331,0.00143331,0.00143331
20,28.0846,1.44989,51.7503,0.55125,0.54683,0.0286,6.92683,0.90407,1,0.94955,0.61537,0.0906,0.1,0.02087,0.00209,1.38133,49.9541,0.19346,0.40389,0.0389,0,0.00148342,0.00148342,0.00148342
21,29.3523,1.45131,50.1752,0.54167,0.60011,0.02721,6.45528,0.99483,1,0.995,0.54007,0,0,0,0,1.83948,55.9769,0.18719,0.38054,0.05543,0,0.001472,0.001472,0.001472
22,30.623,1.62292,49.3912,0.58121,0.63958,0.03246,6.63744,0.90254,1,0.98591,0.59406,0,0,0,0,1.61404,63.3131,0.18631,0.42094,0.05097,0,0.0014456,0.0014456,0.0014456
23,31.887,1.45478,48.2252,0.56178,0.4512,0.02797,6.34574,0.99384,1,0.995,0.62268,0,0,0,0,1.51778,68.2197,0.18546,0.3315,0.04737,0,0.0014192,0.0014192,0.0014192
24,33.2638,1.64348,51.1484,0.58943,0.53374,0.0332,6.2767,1,0.99847,0.995,0.68251,0,0,0,0,1.23953,60.2495,0.22026,0.3076,0.03592,0,0.0013928,0.0013928,0.0013928
25,34.5277,1.5398,50.7266,0.54384,0.50547,0.03125,6.50724,1,0.97842,0.995,0.73137,0,0,0,0,0.93485,53.5222,0.23537,0.41451,0.02668,0,0.0013664,0.0013664,0.0013664
26,35.7859,1.47566,51.9151,0.54102,0.49192,0.02822,6.2127,0.9921,1,0.995,0.69747,0.54254,0.6,0.3889,0.07795,1.071,36.8761,0.28288,0.27445,0.03215,0,0.00134,0.00134,0.00134
27,37.0671,1.41728,50.2909,0.53872,0.55572,0.02785,6.24409,0.99403,1,0.995,0.75192,0.54303,0.59467,0.37791,0.04658,1.08934,37.4898,0.2994,0.24887,0.03215,0,0.0013136,0.0013136,0.0013136
28,38.3549,1.36669,51.6064,0.55449,0.59397,0.02571,6.50413,0.9945,1,0.995,0.66746,0,0,0,0,1.32833,53.9384,0.26856,0.28868,0.03869,0,0.0012872,0.0012872,0.0012872
29,39.707,1.39927,51.1335,0.54668,0.48519,0.02867,6.36676,0.99441,1,0.995,0.66396,0,0,0,0,1.32367,50.607,0.27156,0.28818,0.03851,0,0.0012608,0.0012608,0.0012608
30,40.972,1.47675,48.7085,0.49098,0.55286,0.0289,6.20943,0.98867,1,0.995,0.60554,0,0,0,0,1.46021,50.9169,0.28769,0.34992,0.04631,0,0.0012344,0.0012344,0.0012344
31,42.2342,1.49022,46.241,0.52489,0.60625,0.0293,5.76471,0.99437,1,0.995,0.51107,0.10462,0.1,0.05145,0.01029,1.83558,45.9869,0.28099,0.39878,0.06622,0,0.001208,0.001208,0.001208
32,43.5203,1.51275,46.9353,0.52038,0.55678,0.03006,5.56976,0.99467,1,0.995,0.65797,0.59641,0.6,0.48627,0.05995,1.22906,39.512,0.28003,0.2866,0.04087,0,0.0011816,0.0011816,0.0011816
