epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0844,1.15535,11.2037,0.64396,5.91711,0.02432,19.5881,0.72574,0.41715,0.5033,0.3296,0,0,0,0,1.15792,9.56159,0.46422,7.44358,0.03517,0,0.000411523,0.000411523,0.000411523
2,47.0609,1.13106,9.80255,0.53652,3.97092,0.02213,9.35393,0.51498,0.67036,0.64067,0.39837,0.52546,0.00658,0.00158,0.00031,1.24697,8.98024,0.44464,5.41163,0.03986,0,0.00082409,0.00082409,0.00082409
3,68.2196,1.16493,9.12125,0.47936,3.04555,0.02342,7.60958,0.70793,0.71102,0.77839,0.51398,0.02713,0.01918,0.00314,0.00035,1.30344,7.51206,0.4305,3.92172,0.04132,0,0.00123253,0.00123253,0.00123253
4,89.2116,1.14092,8.66211,0.45061,2.33756,0.02301,6.78804,0.70153,0.71134,0.75595,0.51778,0.13702,0.14386,0.07688,0.0104,1.07588,6.66451,0.37299,2.94185,0.03311,0,0.00123144,0.00123144,0.00123144
5,110.46,1.12072,8.26291,0.41985,1.86797,0.02263,6.17838,0.71941,0.72795,0.77791,0.5604,0.2043,0.21125,0.11313,0.01824,1.0326,5.9132,0.35965,2.30572,0.03138,0,0.00122525,0.00122525,0.00122525
6,131.858,1.14284,7.98488,0.39079,1.55731,0.02295,5.62722,0.76942,0.84805,0.87638,0.62113,0.19932,0.23238,0.13478,0.01986,1.11607,6.10255,0.33751,1.86289,0.03399,0,0.00121906,0.00121906,0.00121906
7,152.961,1.10969,7.77094,0.37337,1.29232,0.02236,5.46934,0.81259,0.89306,0.90987,0.66361,0.2149,0.20121,0.10942,0.017,1.07281,5.8782,0.32459,1.42769,0.03349,0,0.00121287,0.00121287,0.00121287
8,174.238,1.07529,7.5221,0.36314,1.15837,0.02168,5.08537,0.94647,0.84228,0.95354,0.70378,0.32818,0.32166,0.24813,0.04145,0.95392,5.55352,0.29951,1.15562,0.02949,0,0.00120669,0.00120669,0.00120669
9,195.608,1.07911,7.36708,0.35234,1.02004,0.02151,4.87609,0.8558,0.90592,0.94258,0.67979,0.32234,0.30168,0.26664,0.05206,1.01887,5.49889,0.29159,1.19132,0.0303,0,0.0012005,0.0012005,0.0012005
10,216.792,1.0402,7.14014,0.33445,0.9231,0.02082,4.59137,0.83403,0.89117,0.93655,0.70639,0.29809,0.29877,0.21259,0.03491,0.95562,5.54381,0.31646,0.85733,0.02902,0,0.00119431,0.00119431,0.00119431
11,237.981,1.04253,7.11367,0.32714,0.84743,0.02028,4.41533,0.93396,0.84218,0.94061,0.67135,0.35898,0.35299,0.29614,0.05287,1.09543,5.18833,0.30117,0.80467,0.03441,0,0.00118812,0.00118812,0.00118812
12,259.148,0.99908,6.94397,0.32444,0.77445,0.01992,4.287,0.91229,0.83874,0.93546,0.73713,0.3312,0.34503,0.26717,0.05615,0.80913,4.85415,0.29627,0.73526,0.024,0,0.00118194,0.00118194,0.00118194
13,280.225,0.99749,6.83213,0.32363,0.72003,0.01989,4.16313,0.88011,0.96256,0.96758,0.748,0.38371,0.37619,0.31076,0.08139,0.86448,4.78671,0.29686,0.61118,0.02596,0,0.00117575,0.00117575,0.00117575
14,301.876,1.03286,6.88537,0.31275,0.71775,0.02061,4.20334,0.93283,0.89822,0.96568,0.7414,0.40532,0.38218,0.32634,0.06973,0.93298,4.87811,0.29132,0.61438,0.02796,0,0.00116956,0.00116956,0.00116956
15,322.99,1.00157,6.65618,0.30823,0.69737,0.02013,4.00566,0.92079,0.89971,0.96011,0.74316,0.39418,0.40264,0.35055,0.08167,0.82226,4.6159,0.28403,0.59694,0.02493,0,0.00116337,0.00116337,0.00116337
16,344.106,0.96118,6.56486,0.30065,0.64039,0.01931,3.88719,0.9397,0.82546,0.91899,0.73447,0.38778,0.38497,0.33713,0.08425,0.77816,4.6988,0.29795,0.59662,0.02301,0,0.00115719,0.00115719,0.00115719
17,365.648,1.00371,6.68785,0.30227,0.63636,0.02021,3.96456,0.9079,0.89028,0.95905,0.71265,0.39152,0.39581,0.34582,0.08411,0.91085,4.74556,0.27797,0.58206,0.02755,0,0.001151,0.001151,0.001151
18,387.147,0.9648,6.46371,0.29031,0.63465,0.01915,3.64441,0.91841,0.93965,0.97188,0.74797,0.42416,0.43733,0.39168,0.09953,0.9094,4.44828,0.28865,0.48767,0.02805,0,0.00114481,0.00114481,0.00114481
19,408.636,0.93782,6.39093,0.29717,0.58914,0.01823,3.59531,0.91345,0.95038,0.97334,0.76153,0.39792,0.39633,0.34973,0.08043,0.82994,4.49626,0.27783,0.47066,0.0248,0,0.00113863,0.00113863,0.00113863
20,430.451,0.94269,6.34936,0.29604,0.59928,0.01853,3.53619,0.94964,0.95179,0.9718,0.79005,0.41513,0.42137,0.40607,0.10883,0.73611,4.21267,0.27788,0.42097,0.02112,0,0.00113244,0.00113244,0.00113244
