epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.5549,1.08778,4.85475,0.02164,0.91185,0.5431,0.86285,0.55991,1.12819,7.54012,0.03344,0.000659004,0.000659004,0.000659004
2,64.082,1.19349,2.88611,0.02441,0.92685,0.87386,0.96792,0.62858,1.36381,3.54567,0.04404,0.00131255,0.00131255,0.00131255
3,74.2473,1.19849,1.79615,0.02504,0.92892,0.89655,0.97618,0.6088,1.32949,2.09155,0.04272,0.00195289,0.00195289,0.00195289
4,84.9663,1.19756,1.22184,0.02478,0.91581,0.93775,0.97823,0.64549,1.19842,1.19844,0.03672,0.0019406,0.0019406,0.0019406
5,95.4014,1.1875,0.92009,0.02396,0.95881,0.90304,0.97891,0.60276,1.39489,0.89285,0.04455,0.0019208,0.0019208,0.0019208
6,105.66,1.15357,0.76942,0.02343,0.9456,0.95259,0.98614,0.64428,1.19175,0.68374,0.03581,0.001901,0.001901,0.001901
7,116.475,1.11941,0.67979,0.02276,0.97004,0.96552,0.99092,0.69342,1.0457,0.61576,0.03141,0.0018812,0.0018812,0.0018812
8,127.315,1.12073,0.63996,0.02296,0.97276,0.9234,0.98551,0.73808,0.93547,0.46969,0.02758,0.0018614,0.0018614,0.0018614
9,137.454,1.10092,0.58212,0.0221,0.938,0.97818,0.98897,0.709,1.028,0.45166,0.03039,0.0018416,0.0018416,0.0018416
10,148.513,1.09743,0.58435,0.02223,0.99094,0.9426,0.99171,0.712,1.01915,0.43642,0.03106,0.0018218,0.0018218,0.0018218
11,159.037,1.07173,0.53431,0.02129,0.94264,0.99177,0.99163,0.72616,0.97351,0.37418,0.02754,0.001802,0.001802,0.001802
12,169.635,1.04667,0.51383,0.02109,0.93745,0.96902,0.98816,0.73632,0.97773,0.42557,0.02905,0.0017822,0.0017822,0.0017822
13,180.246,1.03503,0.49144,0.0207,0.98078,0.97414,0.99216,0.73347,1.0463,0.3578,0.03123,0.0017624,0.0017624,0.0017624
14,190.221,1.03075,0.4881,0.02058,0.96944,0.95715,0.99168,0.70572,1.09785,0.39547,0.03397,0.0017426,0.0017426,0.0017426
