epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1585,1.96363,10.6411,0.54556,1.12399,0.07817,23.6992,0.97853,0.98219,0.9936,0.54417,0,0,0,0,1.54383,9.63966,0.31755,0.39793,0.05477,0,0.000659004,0.000659004,0.000659004
2,44.8303,1.59919,8.92573,0.35916,0.40027,0.06231,11.8769,0.97587,0.99138,0.99014,0.52395,0,0,0,0,1.52466,9.34757,0.22708,0.36632,0.05459,0,0.00131255,0.00131255,0.00131255
3,64.6336,1.57229,8.26772,0.34023,0.40112,0.06182,10.4669,0.95118,0.96552,0.9904,0.47506,0.03387,0.02155,0.00611,0.00062,1.80844,8.0827,0.24668,0.51345,0.06927,0,0.00195289,0.00195289,0.00195289
4,84.3167,1.61021,7.7671,0.32896,0.42152,0.06358,9.62761,0.94196,0.98276,0.98679,0.45692,0.09157,0.09052,0.00967,0.00108,1.9698,7.62706,0.24234,0.55926,0.07217,0,0.0019406,0.0019406,0.0019406
5,103.984,1.51346,7.31066,0.32442,0.42717,0.05887,9.16706,0.94489,0.94397,0.97272,0.43804,0.15703,0.11207,0.03537,0.00477,1.97267,7.45075,0.24708,0.55225,0.07481,0,0.0019208,0.0019208,0.0019208
6,123.6,1.49203,7.10943,0.31743,0.40749,0.0582,8.9595,0.96061,0.98707,0.99324,0.55012,0.2076,0.15948,0.06469,0.00758,1.6093,6.75541,0.24813,0.4247,0.05721,0,0.001901,0.001901,0.001901
7,143.232,1.43697,6.90669,0.31708,0.37762,0.05551,8.53615,0.96951,0.95939,0.99044,0.53934,0.21579,0.21552,0.08411,0.01024,1.64462,6.73816,0.25184,0.42206,0.06015,0,0.0018812,0.0018812,0.0018812
8,162.861,1.41517,6.63944,0.31723,0.36731,0.05462,8.25935,0.97874,0.99196,0.99431,0.6066,0.22733,0.18103,0.06868,0.00991,1.38897,6.3677,0.23518,0.34711,0.04675,0,0.0018614,0.0018614,0.0018614
9,182.555,1.38175,6.48168,0.31255,0.3584,0.05252,8.08442,0.97389,0.97414,0.98991,0.54788,0.35389,0.34914,0.22667,0.04125,1.64546,5.92132,0.23126,0.41953,0.05787,0,0.0018416,0.0018416,0.0018416
10,202.263,1.31951,6.27186,0.30919,0.34587,0.05019,7.82141,0.99472,0.98276,0.99474,0.60908,0.50363,0.42241,0.3,0.05251,1.38707,5.60272,0.24229,0.33002,0.04741,0,0.0018218,0.0018218,0.0018218
