epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,90.5961,1.73705,10.8068,0.6475,1.17752,0.03881,16.4424,0.97236,0.97414,0.99123,0.5511,0,0,0,0,1.61043,8.79162,0.50903,0.45665,0.05141,0,0.000659004,0.000659004,0.000659004
2,124.51,1.53862,9.64147,0.51928,0.68235,0.03396,8.86106,0.95753,0.97176,0.9804,0.48469,0.00687,0.00431,0.00019,2e-05,1.78973,9.25961,0.38023,0.48403,0.06175,0,0.00131255,0.00131255,0.00131255
3,159.128,1.54625,9.36059,0.4768,0.66661,0.03433,7.89347,0.95462,0.94828,0.98419,0.55324,0.0162,0.01293,0.00051,7e-05,1.5779,8.40169,0.38072,0.46569,0.05298,0,0.00195289,0.00195289,0.00195289
4,193.048,1.53658,8.80919,0.43551,0.65383,0.03436,7.04651,0.9423,0.98543,0.98568,0.48957,0.17585,0.11638,0.03452,0.00385,1.80665,7.45936,0.39045,0.50626,0.06225,0,0.0019406,0.0019406,0.0019406
5,226.801,1.52931,8.50174,0.41709,0.67419,0.03342,6.51271,0.97352,0.9569,0.98493,0.5463,0.27915,0.21552,0.08832,0.01049,1.60633,6.77821,0.31771,0.44641,0.05497,0,0.0019208,0.0019208,0.0019208
6,260.734,1.44744,8.20883,0.38471,0.60058,0.0315,6.07136,0.93696,0.96096,0.97078,0.57037,0.21408,0.15948,0.07527,0.00879,1.46334,6.76528,0.29263,0.44971,0.04727,0,0.001901,0.001901,0.001901
7,294.3,1.47279,7.85986,0.36559,0.60734,0.03183,5.62294,0.98224,0.98276,0.99407,0.63045,0.45162,0.31897,0.18429,0.02702,1.35148,6.10458,0.30024,0.38222,0.0419,0,0.0018812,0.0018812,0.0018812
8,328.077,1.42934,8.0016,0.35406,0.59285,0.03071,5.66491,0.97177,0.99138,0.99382,0.58932,0.4845,0.37069,0.23922,0.03571,1.54956,5.97918,0.31101,0.40243,0.04979,0,0.0018614,0.0018614,0.0018614
9,361.853,1.41178,7.78363,0.34065,0.58921,0.02994,5.25806,0.97873,0.9918,0.99444,0.6143,0.48928,0.4181,0.25783,0.04188,1.45717,5.64353,0.29092,0.3927,0.04565,0,0.0018416,0.0018416,0.0018416
10,395.583,1.36734,7.67405,0.33021,0.58273,0.02942,5.254,0.96042,0.98276,0.9923,0.52229,0.3517,0.29741,0.17052,0.02821,1.76536,6.08443,0.32487,0.48463,0.05832,0,0.0018218,0.0018218,0.0018218
11,429.152,1.3649,7.42988,0.32198,0.55038,0.02877,4.86568,0.96301,0.96121,0.99086,0.58442,0.6018,0.47414,0.3494,0.07577,1.51854,5.32349,0.27575,0.4098,0.04851,0,0.001802,0.001802,0.001802
12,462.725,1.32442,7.23415,0.31691,0.54423,0.02838,4.76139,0.95418,0.98733,0.99052,0.5522,0.6097,0.49138,0.40563,0.08269,1.56992,5.36711,0.29541,0.45024,0.05117,0,0.0017822,0.0017822,0.0017822
13,496.263,1.32254,7.25717,0.30845,0.52294,0.0279,4.61504,0.97825,0.96934,0.99286,0.58844,0.5656,0.46121,0.37876,0.08076,1.55426,5.16959,0.25614,0.40992,0.05115,0,0.0017624,0.0017624,0.0017624
