epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,53.3915,2.1478,11.3324,0.63659,2.3129,0.05005,19.1802,0.66689,0.76724,0.72281,0.23094,0,0,0,0,2.3216,10.858,0.44073,1.18894,0.07881,0,0.000659004,0.000659004,0.000659004
2,68.9523,1.89611,10.6709,0.53837,1.35717,0.0435,11.7626,0.81707,0.76293,0.86584,0.31801,0.00923,0.00431,6e-05,1e-05,2.13299,9.64391,0.41223,0.93896,0.06982,0,0.00131255,0.00131255,0.00131255
3,84.5353,1.8264,10.2228,0.49412,1.13641,0.04161,10.6745,0.85793,0.76724,0.87989,0.29117,0,0,0,0,2.3259,9.64713,0.39515,0.88503,0.0835,0,0.00195289,0.00195289,0.00195289
4,100.081,1.78131,9.73467,0.44658,1.05405,0.04042,9.95254,0.85926,0.81897,0.91063,0.38212,0.07784,0.0431,0.00609,0.00069,1.94772,8.62865,0.34343,0.84529,0.06339,0,0.0019406,0.0019406,0.0019406
5,115.629,1.74184,9.54858,0.42132,1.01825,0.0381,9.35158,0.87991,0.87069,0.93703,0.3136,0.12458,0.08621,0.01122,0.0015,2.30189,8.05222,0.28292,0.82558,0.08303,0,0.0019208,0.0019208,0.0019208
6,131.173,1.66771,9.35058,0.39236,0.97341,0.03704,8.69474,0.84413,0.86369,0.94139,0.35094,0.1168,0.06466,0.01016,0.0011,2.14519,7.84378,0.28525,0.79894,0.07481,0,0.001901,0.001901,0.001901
7,146.733,1.63451,9.17132,0.37077,0.93684,0.03599,8.14687,0.91587,0.8319,0.94596,0.41239,0.13463,0.07759,0.01287,0.00157,1.94192,7.66273,0.26245,0.69898,0.06525,0,0.0018812,0.0018812,0.0018812
8,162.31,1.65388,9.09041,0.36776,0.96009,0.03679,7.96961,0.85625,0.87297,0.93844,0.44382,0.28144,0.1681,0.05634,0.00766,1.85555,7.15374,0.28033,0.73762,0.06112,0,0.0018614,0.0018614,0.0018614
9,177.962,1.65013,9.00342,0.35425,0.96828,0.03584,7.74658,0.8944,0.89655,0.95692,0.45939,0.19058,0.11638,0.03219,0.00389,1.79183,7.37767,0.26037,0.65159,0.05911,0,0.0018416,0.0018416,0.0018416
10,193.64,1.62009,8.90128,0.34576,0.93219,0.03585,7.55429,0.84054,0.91379,0.95271,0.46603,0.35375,0.20259,0.08259,0.01043,1.74739,7.07222,0.29342,0.64379,0.05606,0,0.0018218,0.0018218,0.0018218
11,209.441,1.60648,8.76355,0.33701,0.90632,0.03488,7.14865,0.88845,0.89256,0.957,0.45819,0.50218,0.28879,0.18862,0.03105,1.83696,6.61124,0.25665,0.64531,0.06067,0,0.001802,0.001802,0.001802
12,225.207,1.60606,8.58946,0.33877,0.91252,0.03588,7.18058,0.87726,0.89344,0.95391,0.48141,0.2805,0.18103,0.06253,0.00887,1.78881,6.88574,0.26558,0.64176,0.05908,0,0.0017822,0.0017822,0.0017822
13,241.026,1.58107,8.60174,0.33292,0.86971,0.0342,6.94669,0.88296,0.91053,0.96537,0.47509,0.5054,0.31897,0.20412,0.02937,1.77824,6.47927,0.24176,0.61808,0.05859,0,0.0017624,0.0017624,0.0017624
14,256.831,1.57312,8.57214,0.32654,0.85047,0.03446,6.86495,0.92837,0.88793,0.9716,0.46841,0.22599,0.14224,0.0442,0.00648,1.84416,6.83427,0.26762,0.61428,0.0614,0,0.0017426,0.0017426,0.0017426
15,272.686,1.58387,8.485,0.31706,0.84827,0.03448,6.65498,0.89156,0.90517,0.96762,0.51489,0.37321,0.22073,0.10583,0.01749,1.64807,6.71292,0.26421,0.59299,0.05314,0,0.0017228,0.0017228,0.0017228
16,288.476,1.56847,8.42825,0.3133,0.86543,0.03425,6.6627,0.89799,0.92672,0.96891,0.49418,0.4863,0.32328,0.18619,0.0322,1.72529,6.17933,0.26061,0.57494,0.05602,0,0.001703,0.001703,0.001703
17,304.329,1.53013,8.20988,0.30744,0.87678,0.03327,6.31359,0.91018,0.93534,0.97734,0.43086,0.45988,0.31034,0.17874,0.02996,1.91738,6.16444,0.23107,0.66009,0.06482,0,0.0016832,0.0016832,0.0016832
18,320.129,1.54949,8.23395,0.30516,0.86089,0.03349,6.38061,0.89763,0.94828,0.97402,0.50066,0.45805,0.29741,0.16476,0.0265,1.76236,6.06838,0.23947,0.58774,0.05809,0,0.0016634,0.0016634,0.0016634
