epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,50.4531,1.87358,10.8201,0.66901,1.24096,0.03471,15.7094,0.92236,0.96262,0.98816,0.6112,0,0,0,0,1.46399,9.45216,0.41929,0.43701,0.0371,0,0.000650407,0.000650407,0.000650407
2,59.3667,1.47809,9.3182,0.48794,0.61582,0.02578,7.42679,0.9804,0.93506,0.98825,0.61225,0,0,0,0,1.41172,10.4576,0.29169,0.43632,0.03582,0,0.00130403,0.00130403,0.00130403
3,68.4132,1.44588,9.00183,0.41065,0.64522,0.02628,6.59771,0.92642,0.92523,0.98127,0.44764,0,0,0,0,1.90012,10.5896,0.27643,0.73711,0.05677,0,0.00194446,0.00194446,0.00194446
4,77.3588,1.48255,8.85019,0.37944,0.62167,0.02709,6.38828,0.97194,0.97111,0.99191,0.45212,0,0,0,0,1.91553,7.78165,0.26014,0.58337,0.05663,0,0.0019406,0.0019406,0.0019406
5,86.3516,1.39896,8.18173,0.35778,0.54485,0.02579,5.52787,0.97679,0.96262,0.99116,0.56975,0,0,0,0,1.56961,8.30425,0.26874,0.48035,0.0399,0,0.0019208,0.0019208,0.0019208
6,95.378,1.34199,7.91976,0.33615,0.58606,0.02392,5.17644,0.92644,0.92523,0.97119,0.61499,0.23003,0.16822,0.08124,0.00835,1.35377,6.26009,0.23506,0.54512,0.03369,0,0.001901,0.001901,0.001901
7,104.408,1.34625,7.65982,0.33334,0.58999,0.02274,4.79397,0.91431,0.99715,0.98511,0.51625,0,0,0,0,1.70128,8.04993,0.25072,0.51215,0.0503,0,0.0018812,0.0018812,0.0018812
8,113.427,1.28063,7.07199,0.32774,0.52898,0.02221,4.29067,0.92953,0.97196,0.98862,0.55934,0.02745,0.01869,0.00429,0.00043,1.62328,6.87935,0.2381,0.49193,0.04306,0,0.0018614,0.0018614,0.0018614
9,122.452,1.35823,7.12966,0.3204,0.54304,0.02404,4.28718,0.98098,0.93458,0.99116,0.6774,0.58976,0.47664,0.33943,0.05648,1.18229,5.37412,0.24846,0.37504,0.02761,0,0.0018416,0.0018416,0.0018416
10,131.51,1.2822,6.79643,0.33546,0.51072,0.02188,3.85695,0.97886,0.93458,0.99057,0.48685,0.45428,0.34579,0.20697,0.0262,1.81807,5.60977,0.24216,0.54648,0.05192,0,0.0018218,0.0018218,0.0018218
